; Candidate 3512
; ADRP+ADD at VM 0xfffffff008743618 (fileoff 0x173f618): page=0x1fe9ee000 add_imm=0xd90

0xfffffff008743598: 605e40f9  ldr	x0, [x19, #0xb8]
0xfffffff00874359c: e10314aa  mov	x1, x20
0xfffffff0087435a0: ac280094  bl	#0xfffffff00874d850
0xfffffff0087435a4: e0000034  cbz	w0, #0xfffffff0087435c0
0xfffffff0087435a8: fa0300f9  str	x26, [sp]
0xfffffff0087435ac: e00315aa  mov	x0, x21
0xfffffff0087435b0: e10316aa  mov	x1, x22
0xfffffff0087435b4: 02008052  mov	w2, #0
0xfffffff0087435b8: e30318aa  mov	x3, x24
0xfffffff0087435bc: ddbeef97  bl	#0xfffffff008333130
0xfffffff0087435c0: 5a070091  add	x26, x26, #1
0xfffffff0087435c4: 68d271b9  ldr	w8, [x19, #0x31d0]
0xfffffff0087435c8: 94220191  add	x20, x20, #0x48
0xfffffff0087435cc: 5f0308eb  cmp	x26, x8
0xfffffff0087435d0: 83fdff54  b.lo	#0xfffffff008743580
0xfffffff0087435d4: 605a40f9  ldr	x0, [x19, #0xb0]
0xfffffff0087435d8: 100040f9  ldr	x16, [x0]
0xfffffff0087435dc: f10300aa  mov	x17, x0
0xfffffff0087435e0: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff0087435e4: 301ac1da  autda	x16, x17
0xfffffff0087435e8: 080e42f8  ldr	x8, [x16, #0x20]!
0xfffffff0087435ec: e90310aa  mov	x9, x16
0xfffffff0087435f0: 010080d2  mov	x1, #0
0xfffffff0087435f4: f10309aa  mov	x17, x9
0xfffffff0087435f8: 51dfecf2  movk	x17, #0x66fa, lsl #48
0xfffffff0087435fc: 11093fd7  blraa	x8, x17
0xfffffff008743600: e00313aa  mov	x0, x19
0xfffffff008743604: 01008052  mov	w1, #0
0xfffffff008743608: 70020094  bl	#0xfffffff008743fc8
0xfffffff00874360c: 48008052  mov	w8, #2
0xfffffff008743610: 68aa01b9  str	w8, [x19, #0x1a8]
0xfffffff008743614: f92300a9  stp	x25, x8, [sp]
0xfffffff008743618: 604fffd0  adrp	x0, #0xfffffff007131000
0xfffffff00874361c: 00403691  add	x0, x0, #0xd90
0xfffffff008743620: c195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008743624: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008743628: c34fffd0  adrp	x3, #0xfffffff00713d000
0xfffffff00874362c: 632c1b91  add	x3, x3, #0x6cb
0xfffffff008743630: 02008052  mov	w2, #0
0xfffffff008743634: bfbeef97  bl	#0xfffffff008333130
0xfffffff008743638: 00008052  mov	w0, #0
0xfffffff00874363c: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008743640: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008743644: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008743648: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00874364c: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff008743650: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff008743654: ff030291  add	sp, sp, #0x80
0xfffffff008743658: ff0f5fd6  retab	
0xfffffff00874365c: 7f2303d5  pacibsp	
0xfffffff008743660: ff8301d1  sub	sp, sp, #0x60
0xfffffff008743664: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff008743668: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00874366c: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008743670: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008743674: fd430191  add	x29, sp, #0x50
0xfffffff008743678: f40301aa  mov	x20, x1
0xfffffff00874367c: f30300aa  mov	x19, x0
0xfffffff008743680: 08b44639  ldrb	w8, [x0, #0x1ad]
0xfffffff008743684: 09a841b9  ldr	w9, [x0, #0x1a8]
0xfffffff008743688: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00874368c: b750ff90  adrp	x23, #0xfffffff007157000
0xfffffff008743690: f77a2f91  add	x23, x23, #0xbde
0xfffffff008743694: f70300f9  str	x23, [sp]
