; Candidate 16903
; ADRP+ADD at VM 0xfffffff009fd5444 (fileoff 0x2fd1444): page=0x1fd89c000 add_imm=0xd7d

0xfffffff009fd53c4: 8fa0ff97  bl	#0xfffffff009fbd600
0xfffffff009fd53c8: 80030035  cbnz	w0, #0xfffffff009fd5438
0xfffffff009fd53cc: e1430091  add	x1, sp, #0x10
0xfffffff009fd53d0: 00048052  mov	w0, #0x20
0xfffffff009fd53d4: 566aff97  bl	#0xfffffff009fafd2c
0xfffffff009fd53d8: 68c20291  add	x8, x19, #0xb0
0xfffffff009fd53dc: 09088052  mov	w9, #0x40
0xfffffff009fd53e0: e92300a9  stp	x9, x8, [sp]
0xfffffff009fd53e4: a2e20091  add	x2, x21, #0x38
0xfffffff009fd53e8: e00313aa  mov	x0, x19
0xfffffff009fd53ec: 010080d2  mov	x1, #0
0xfffffff009fd53f0: 030080d2  mov	x3, #0
0xfffffff009fd53f4: e40315aa  mov	x4, x21
0xfffffff009fd53f8: e50314aa  mov	x5, x20
0xfffffff009fd53fc: 06808052  mov	w6, #0x400
0xfffffff009fd5400: 07048052  mov	w7, #0x20
0xfffffff009fd5404: 6a04ff97  bl	#0xfffffff009f965ac
0xfffffff009fd5408: e0010035  cbnz	w0, #0xfffffff009fd5444
0xfffffff009fd540c: a8835df8  ldur	x8, [x29, #-0x28]
0xfffffff009fd5410: 69ebfef0  adrp	x9, #0xfffffff007d44000
0xfffffff009fd5414: 292d43f9  ldr	x9, [x9, #0x658]
0xfffffff009fd5418: 290140f9  ldr	x9, [x9]
0xfffffff009fd541c: 3f0108eb  cmp	x9, x8
0xfffffff009fd5420: 81010054  b.ne	#0xfffffff009fd5450
0xfffffff009fd5424: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff009fd5428: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff009fd542c: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff009fd5430: ffc30191  add	sp, sp, #0x70
0xfffffff009fd5434: ff0f5fd6  retab	
0xfffffff009fd5438: e0c4fe90  adrp	x0, #0xfffffff007871000
0xfffffff009fd543c: 00f83491  add	x0, x0, #0xd3e
0xfffffff009fd5440: 18deff97  bl	#0xfffffff009fccca0
0xfffffff009fd5444: e0c4fe90  adrp	x0, #0xfffffff007871000
0xfffffff009fd5448: 00f43591  add	x0, x0, #0xd7d
0xfffffff009fd544c: 15deff97  bl	#0xfffffff009fccca0
0xfffffff009fd5450: 7f227697  bl	#0xfffffff007d5de4c
0xfffffff009fd5454: 5f2403d5  bti	c
0xfffffff009fd5458: 00008052  mov	w0, #0
0xfffffff009fd545c: c0035fd6  ret	
0xfffffff009fd5460: 7f2303d5  pacibsp	
0xfffffff009fd5464: ffc306d1  sub	sp, sp, #0x1b0
0xfffffff009fd5468: fc6f19a9  stp	x28, x27, [sp, #0x190]
0xfffffff009fd546c: fd7b1aa9  stp	x29, x30, [sp, #0x1a0]
0xfffffff009fd5470: fd830691  add	x29, sp, #0x1a0
0xfffffff009fd5474: 080080d2  mov	x8, #0
0xfffffff009fd5478: 69ebfef0  adrp	x9, #0xfffffff007d44000
0xfffffff009fd547c: 292d43f9  ldr	x9, [x9, #0x658]
0xfffffff009fd5480: 290140f9  ldr	x9, [x9]
0xfffffff009fd5484: a9831ef8  stur	x9, [x29, #-0x18]
0xfffffff009fd5488: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009fd548c: e00307ad  stp	q0, q0, [sp, #0xe0]
0xfffffff009fd5490: e00306ad  stp	q0, q0, [sp, #0xc0]
0xfffffff009fd5494: e00305ad  stp	q0, q0, [sp, #0xa0]
0xfffffff009fd5498: e00304ad  stp	q0, q0, [sp, #0x80]
0xfffffff009fd549c: ff3b00f9  str	xzr, [sp, #0x70]
0xfffffff009fd54a0: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff009fd54a4: e013803d  str	q0, [sp, #0x40]
0xfffffff009fd54a8: ff1b00f9  str	xzr, [sp, #0x30]
0xfffffff009fd54ac: 89c5fe90  adrp	x9, #0xfffffff007885000
0xfffffff009fd54b0: 29e11791  add	x9, x9, #0x5f8
0xfffffff009fd54b4: e08300ad  stp	q0, q0, [sp, #0x10]
0xfffffff009fd54b8: 8ac5fe90  adrp	x10, #0xfffffff007885000
0xfffffff009fd54bc: 4ac11891  add	x10, x10, #0x630
0xfffffff009fd54c0: eb030191  add	x11, sp, #0x40
