; Candidate 13257
; ADRP+ADD at VM 0xfffffff00924858c (fileoff 0x224458c): page=0x1fe272000 add_imm=0xe25

0xfffffff00924850c: 1002118b  add	x16, x16, x17
0xfffffff009248510: 080240f9  ldr	x8, [x16]
0xfffffff009248514: e90310aa  mov	x9, x16
0xfffffff009248518: e00314aa  mov	x0, x20
0xfffffff00924851c: 41008052  mov	w1, #2
0xfffffff009248520: f10309aa  mov	x17, x9
0xfffffff009248524: 31abeff2  movk	x17, #0x7d59, lsl #48
0xfffffff009248528: 11093fd7  blraa	x8, x17
0xfffffff00924852c: 08a88052  mov	w8, #0x540
0xfffffff009248530: f92300a9  stp	x25, x8, [sp]
0xfffffff009248534: 8013ffd0  adrp	x0, #0xfffffff0074ba000
0xfffffff009248538: 00243c91  add	x0, x0, #0xf09
0xfffffff00924853c: 059cc897  bl	#0xfffffff00846f550
0xfffffff009248540: 34008052  mov	w20, #1
0xfffffff009248544: 13e4ffb5  cbnz	x19, #0xfffffff0092481c4
0xfffffff009248548: 29ffff17  b	#0xfffffff0092481ec
0xfffffff00924854c: 84090094  bl	#0xfffffff00924ab5c
0xfffffff009248550: 91090094  bl	#0xfffffff00924ab94
0xfffffff009248554: 9e090094  bl	#0xfffffff00924abcc
0xfffffff009248558: b9090094  bl	#0xfffffff00924ac3c
0xfffffff00924855c: c6090094  bl	#0xfffffff00924ac74
0xfffffff009248560: e10316aa  mov	x1, x22
0xfffffff009248564: 21b4f9f2  movk	x1, #0xcda1, lsl #48
0xfffffff009248568: e00316aa  mov	x0, x22
0xfffffff00924856c: d0090094  bl	#0xfffffff00924acac
0xfffffff009248570: 898a40f9  ldr	x9, [x20, #0x110]
0xfffffff009248574: caa38052  mov	w10, #0x51e
0xfffffff009248578: 8b13ffd0  adrp	x11, #0xfffffff0074ba000
0xfffffff00924857c: 6b012991  add	x11, x11, #0xa40
0xfffffff009248580: eb2b02a9  stp	x11, x10, [sp, #0x20]
0xfffffff009248584: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009248588: f92b00a9  stp	x25, x10, [sp]
0xfffffff00924858c: 8013ffd0  adrp	x0, #0xfffffff0074ba000
0xfffffff009248590: 00943891  add	x0, x0, #0xe25
0xfffffff009248594: de2fc997  bl	#0xfffffff00849450c
0xfffffff009248598: 9b090094  bl	#0xfffffff00924ac04
0xfffffff00924859c: 5f2403d5  bti	c
0xfffffff0092485a0: 200040b9  ldr	w0, [x1]
0xfffffff0092485a4: c0035fd6  ret	
0xfffffff0092485a8: 7f2303d5  pacibsp	
0xfffffff0092485ac: ff0302d1  sub	sp, sp, #0x80
0xfffffff0092485b0: fc6f02a9  stp	x28, x27, [sp, #0x20]
0xfffffff0092485b4: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff0092485b8: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff0092485bc: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0092485c0: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0092485c4: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0092485c8: fdc30191  add	x29, sp, #0x70
0xfffffff0092485cc: f30300aa  mov	x19, x0
0xfffffff0092485d0: 60008052  mov	w0, #3
0xfffffff0092485d4: 5b74c397  bl	#0xfffffff008325740
0xfffffff0092485d8: f40300aa  mov	x20, x0
0xfffffff0092485dc: 609a40f9  ldr	x0, [x19, #0x130]
0xfffffff0092485e0: 400100b4  cbz	x0, #0xfffffff009248608
0xfffffff0092485e4: 100040f9  ldr	x16, [x0]
0xfffffff0092485e8: f10300aa  mov	x17, x0
0xfffffff0092485ec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092485f0: 301ac1da  autda	x16, x17
0xfffffff0092485f4: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0092485f8: e90310aa  mov	x9, x16
0xfffffff0092485fc: f10309aa  mov	x17, x9
0xfffffff009248600: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009248604: 11093fd7  blraa	x8, x17
0xfffffff009248608: 749a00f9  str	x20, [x19, #0x130]
