; Candidate 13550
; ADRP+ADD at VM 0xfffffff009386694 (fileoff 0x2382694): page=0x1fe177000 add_imm=0xec5

0xfffffff009386614: 1002118b  add	x16, x16, x17
0xfffffff009386618: 080240f9  ldr	x8, [x16]
0xfffffff00938661c: e90310aa  mov	x9, x16
0xfffffff009386620: 10000090  adrp	x16, #0xfffffff009386000
0xfffffff009386624: 10023291  add	x16, x16, #0xc80
0xfffffff009386628: f15e82d2  mov	x17, #0x12f7
0xfffffff00938662c: 3002c1da  pacia	x16, x17
0xfffffff009386630: e30310aa  mov	x3, x16
0xfffffff009386634: e10313aa  mov	x1, x19
0xfffffff009386638: 02008052  mov	w2, #0
0xfffffff00938663c: f10309aa  mov	x17, x9
0xfffffff009386640: 717cf7f2  movk	x17, #0xbbe3, lsl #48
0xfffffff009386644: 11093fd7  blraa	x8, x17
0xfffffff009386648: 20310034  cbz	w0, #0xfffffff009386c6c
0xfffffff00938664c: 10000090  adrp	x16, #0xfffffff009386000
0xfffffff009386650: 10623391  add	x16, x16, #0xcd8
0xfffffff009386654: 117b8ed2  mov	x17, #0x73d8
0xfffffff009386658: 3002c1da  pacia	x16, x17
0xfffffff00938665c: e00310aa  mov	x0, x16
0xfffffff009386660: 36008052  mov	w22, #1
0xfffffff009386664: e10313aa  mov	x1, x19
0xfffffff009386668: 22008052  mov	w2, #1
0xfffffff00938666c: 23008052  mov	w3, #1
0xfffffff009386670: 1aa6a997  bl	#0xfffffff007defed8
0xfffffff009386674: 60ee00f9  str	x0, [x19, #0x1d8]
0xfffffff009386678: c02600b4  cbz	x0, #0xfffffff009386b50
0xfffffff00938667c: 76360691  add	x22, x19, #0x18d
0xfffffff009386680: 689e40f9  ldr	x8, [x19, #0x138]
0xfffffff009386684: 09314439  ldrb	w9, [x8, #0x10c]
0xfffffff009386688: 69220639  strb	w9, [x19, #0x188]
0xfffffff00938668c: e9000035  cbnz	w9, #0xfffffff0093866a8
0xfffffff009386690: 61a20791  add	x1, x19, #0x1e8
0xfffffff009386694: a00bfff0  adrp	x0, #0xfffffff0074fd000
0xfffffff009386698: 00143b91  add	x0, x0, #0xec5
0xfffffff00938669c: 22008052  mov	w2, #1
0xfffffff0093866a0: 469ac397  bl	#0xfffffff00846cfb8
0xfffffff0093866a4: 689e40f9  ldr	x8, [x19, #0x138]
0xfffffff0093866a8: 69260691  add	x9, x19, #0x189
0xfffffff0093866ac: 0051cc3c  ldur	q0, [x8, #0xc5]
0xfffffff0093866b0: 0111cd3c  ldur	q1, [x8, #0xd1]
0xfffffff0093866b4: 21c1803c  stur	q1, [x9, #0xc]
0xfffffff0093866b8: 2001803d  str	q0, [x9]
0xfffffff0093866bc: e00313aa  mov	x0, x19
0xfffffff0093866c0: bc010094  bl	#0xfffffff009386db0
0xfffffff0093866c4: 689e40f9  ldr	x8, [x19, #0x138]
0xfffffff0093866c8: 08f940b9  ldr	w8, [x8, #0xf8]
0xfffffff0093866cc: 68be01b9  str	w8, [x19, #0x1bc]
0xfffffff0093866d0: 700240f9  ldr	x16, [x19]
0xfffffff0093866d4: f10313aa  mov	x17, x19
0xfffffff0093866d8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093866dc: 301ac1da  autda	x16, x17
0xfffffff0093866e0: f10310aa  mov	x17, x16
0xfffffff0093866e4: f147c1da  xpacd	x17
0xfffffff0093866e8: 1f0211eb  cmp	x16, x17
0xfffffff0093866ec: 40000054  b.eq	#0xfffffff0093866f4
0xfffffff0093866f0: 408e38d4  brk	#0xc472
0xfffffff0093866f4: 08e20d91  add	x8, x16, #0x378
0xfffffff0093866f8: 09be41f9  ldr	x9, [x16, #0x378]
0xfffffff0093866fc: e00313aa  mov	x0, x19
0xfffffff009386700: f10308aa  mov	x17, x8
0xfffffff009386704: d171ecf2  movk	x17, #0x638e, lsl #48
0xfffffff009386708: 31093fd7  blraa	x9, x17
0xfffffff00938670c: c80e40b9  ldr	w8, [x22, #0xc]
0xfffffff009386710: f741ff90  adrp	x23, #0xfffffff007bc2000
