; Candidate 7990
; ADRP+ADD at VM 0xfffffff00888c8ec (fileoff 0x18888ec): page=0x1fe95d000 add_imm=0xe80

0xfffffff00888c86c: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00888c870: c8be8052  mov	w8, #0x5f6
0xfffffff00888c874: 094dffd0  adrp	x9, #0xfffffff00722e000
0xfffffff00888c878: 29d93f91  add	x9, x9, #0xff6
0xfffffff00888c87c: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00888c880: 084dfff0  adrp	x8, #0xfffffff00722f000
0xfffffff00888c884: 087d0391  add	x8, x8, #0xdf
0xfffffff00888c888: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00888c88c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00888c890: 88098052  mov	w8, #0x4c
0xfffffff00888c894: 004dffd0  adrp	x0, #0xfffffff00722e000
0xfffffff00888c898: 00983d91  add	x0, x0, #0xf66
0xfffffff00888c89c: f42300a9  stp	x20, x8, [sp]
0xfffffff00888c8a0: f0aad497  bl	#0xfffffff007db7460
0xfffffff00888c8a4: 5e000014  b	#0xfffffff00888ca1c
0xfffffff00888c8a8: 419e0094  bl	#0xfffffff0088b41ac
0xfffffff00888c8ac: f60300aa  mov	x22, x0
0xfffffff00888c8b0: 80008052  mov	w0, #4
0xfffffff00888c8b4: e7bbff97  bl	#0xfffffff00887b850
0xfffffff00888c8b8: f55304a9  stp	x21, x20, [sp, #0x40]
0xfffffff00888c8bc: 084dfff0  adrp	x8, #0xfffffff00722f000
0xfffffff00888c8c0: 080d0091  add	x8, x8, #3
0xfffffff00888c8c4: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00888c8c8: 48be8052  mov	w8, #0x5f2
0xfffffff00888c8cc: 094dffd0  adrp	x9, #0xfffffff00722e000
0xfffffff00888c8d0: 29d93f91  add	x9, x9, #0xff6
0xfffffff00888c8d4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00888c8d8: 084dfff0  adrp	x8, #0xfffffff00722f000
0xfffffff00888c8dc: 087d0391  add	x8, x8, #0xdf
0xfffffff00888c8e0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00888c8e4: 88098052  mov	w8, #0x4c
0xfffffff00888c8e8: f62300a9  stp	x22, x8, [sp]
0xfffffff00888c8ec: e04affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00888c8f0: 00003a91  add	x0, x0, #0xe80
0xfffffff00888c8f4: e18bff90  adrp	x1, #0xfffffff007a08000
0xfffffff00888c8f8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888c8fc: 834effb0  adrp	x3, #0xfffffff00725d000
0xfffffff00888c900: 63c43f91  add	x3, x3, #0xff1
0xfffffff00888c904: 02008052  mov	w2, #0
0xfffffff00888c908: 0a9aea97  bl	#0xfffffff008333130
0xfffffff00888c90c: 007d8012  mov	w0, #-0x3e9
0xfffffff00888c910: 44000014  b	#0xfffffff00888ca20
0xfffffff00888c914: 160080d2  mov	x22, #0
0xfffffff00888c918: 602e40f9  ldr	x0, [x19, #0x58]
0xfffffff00888c91c: cdd34894  bl	#0xfffffff009ac1850
0xfffffff00888c920: 95edff97  bl	#0xfffffff008887f74
0xfffffff00888c924: 40040034  cbz	w0, #0xfffffff00888c9ac
0xfffffff00888c928: 602e40f9  ldr	x0, [x19, #0x58]
0xfffffff00888c92c: 01008052  mov	w1, #0
0xfffffff00888c930: 35d44894  bl	#0xfffffff009ac1a04
0xfffffff00888c934: c842208b  add	x8, x22, w0, uxtw
0xfffffff00888c938: 880200f9  str	x8, [x20]
0xfffffff00888c93c: 602e40f9  ldr	x0, [x19, #0x58]
0xfffffff00888c940: 01008052  mov	w1, #0
0xfffffff00888c944: 66d44894  bl	#0xfffffff009ac1adc
0xfffffff00888c948: 800a00b9  str	w0, [x20, #8]
0xfffffff00888c94c: 602e40f9  ldr	x0, [x19, #0x58]
0xfffffff00888c950: 01008052  mov	w1, #0
0xfffffff00888c954: 73d54894  bl	#0xfffffff009ac1f20
0xfffffff00888c958: e80300aa  mov	x8, x0
0xfffffff00888c95c: 00008052  mov	w0, #0
0xfffffff00888c960: 880e00b9  str	w8, [x20, #0xc]
0xfffffff00888c964: bf0a0071  cmp	w21, #2
0xfffffff00888c968: cb050054  b.lt	#0xfffffff00888ca20
