; Candidate 1401
; ADRP+ADD at VM 0xfffffff00839a6b8 (fileoff 0x13966b8): page=0x1ead000 add_imm=0xeb0

0xfffffff00839a638: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff00839a63c: e90310aa  mov	x9, x16
0xfffffff00839a640: e00314aa  mov	x0, x20
0xfffffff00839a644: f10309aa  mov	x17, x9
0xfffffff00839a648: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff00839a64c: 11093fd7  blraa	x8, x17
0xfffffff00839a650: 900240f9  ldr	x16, [x20]
0xfffffff00839a654: f10314aa  mov	x17, x20
0xfffffff00839a658: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00839a65c: 301ac1da  autda	x16, x17
0xfffffff00839a660: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00839a664: e90310aa  mov	x9, x16
0xfffffff00839a668: e00314aa  mov	x0, x20
0xfffffff00839a66c: f10309aa  mov	x17, x9
0xfffffff00839a670: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00839a674: 11093fd7  blraa	x8, x17
0xfffffff00839a678: 730100b4  cbz	x19, #0xfffffff00839a6a4
0xfffffff00839a67c: 700240f9  ldr	x16, [x19]
0xfffffff00839a680: f10313aa  mov	x17, x19
0xfffffff00839a684: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00839a688: 301ac1da  autda	x16, x17
0xfffffff00839a68c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00839a690: e90310aa  mov	x9, x16
0xfffffff00839a694: e00313aa  mov	x0, x19
0xfffffff00839a698: f10309aa  mov	x17, x9
0xfffffff00839a69c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00839a6a0: 11093fd7  blraa	x8, x17
0xfffffff00839a6a4: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff00839a6a8: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff00839a6ac: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff00839a6b0: ff030191  add	sp, sp, #0x40
0xfffffff00839a6b4: ff0f5fd6  retab	
0xfffffff00839a6b8: 60f500b0  adrp	x0, #0xfffffff00a247000
0xfffffff00839a6bc: 00c03a91  add	x0, x0, #0xeb0
0xfffffff00839a6c0: e80300f9  str	x8, [sp]
0xfffffff00839a6c4: 0268ffd0  adrp	x2, #0xfffffff00709c000
0xfffffff00839a6c8: 42e03891  add	x2, x2, #0xe38
0xfffffff00839a6cc: 010a8052  mov	w1, #0x50
0xfffffff00839a6d0: a381f997  bl	#0xfffffff0081fad5c
0xfffffff00839a6d4: b4faffb5  cbnz	x20, #0xfffffff00839a628
0xfffffff00839a6d8: e8ffff17  b	#0xfffffff00839a678
0xfffffff00839a6dc: 7f2303d5  pacibsp	
0xfffffff00839a6e0: ff8301d1  sub	sp, sp, #0x60
0xfffffff00839a6e4: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff00839a6e8: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff00839a6ec: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00839a6f0: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00839a6f4: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00839a6f8: fd430191  add	x29, sp, #0x50
0xfffffff00839a6fc: 281440f9  ldr	x8, [x1, #0x28]
0xfffffff00839a700: 193140f9  ldr	x25, [x8, #0x60]
0xfffffff00839a704: 78f500b0  adrp	x24, #0xfffffff00a247000
0xfffffff00839a708: 089f44f9  ldr	x8, [x24, #0x938]
0xfffffff00839a70c: e80300f9  str	x8, [sp]
0xfffffff00839a710: 602900b4  cbz	x0, #0xfffffff00839ac3c
0xfffffff00839a714: f40301aa  mov	x20, x1
0xfffffff00839a718: f30300aa  mov	x19, x0
0xfffffff00839a71c: 100040f9  ldr	x16, [x0]
0xfffffff00839a720: f10300aa  mov	x17, x0
0xfffffff00839a724: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00839a728: 301ac1da  autda	x16, x17
0xfffffff00839a72c: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff00839a730: e90310aa  mov	x9, x16
0xfffffff00839a734: f10309aa  mov	x17, x9
