; Candidate 8349
; ADRP+ADD at VM 0xfffffff0088a5680 (fileoff 0x18a1680): page=0x1fe944000 add_imm=0xe80

0xfffffff0088a5600: e00318aa  mov	x0, x24
0xfffffff0088a5604: 3428fe97  bl	#0xfffffff00882f6d4
0xfffffff0088a5608: f80300aa  mov	x24, x0
0xfffffff0088a560c: e00314aa  mov	x0, x20
0xfffffff0088a5610: 732afe97  bl	#0xfffffff00882ffdc
0xfffffff0088a5614: 1f0300eb  cmp	x24, x0
0xfffffff0088a5618: e1f7ff54  b.ne	#0xfffffff0088a5514
0xfffffff0088a561c: 22000014  b	#0xfffffff0088a56a4
0xfffffff0088a5620: e33a0094  bl	#0xfffffff0088b41ac
0xfffffff0088a5624: f50300aa  mov	x21, x0
0xfffffff0088a5628: 00018052  mov	w0, #8
0xfffffff0088a562c: 8958ff97  bl	#0xfffffff00887b850
0xfffffff0088a5630: 081740f9  ldr	x8, [x24, #0x28]
0xfffffff0088a5634: f90316aa  mov	x25, x22
0xfffffff0088a5638: c90240b9  ldr	w9, [x22]
0xfffffff0088a563c: 0a1340b9  ldr	w10, [x24, #0x10]
0xfffffff0088a5640: eaa305a9  stp	x10, x8, [sp, #0x58]
0xfffffff0088a5644: e80313aa  mov	x8, x19
0xfffffff0088a5648: e82b00f9  str	x8, [sp, #0x50]
0xfffffff0088a564c: e8031baa  mov	x8, x27
0xfffffff0088a5650: ea0317aa  mov	x10, x23
0xfffffff0088a5654: ea2304a9  stp	x10, x8, [sp, #0x40]
0xfffffff0088a5658: f62703a9  stp	x22, x9, [sp, #0x30]
0xfffffff0088a565c: 6b6d8052  mov	w11, #0x36b
0xfffffff0088a5660: e84bffb0  adrp	x8, #0xfffffff007222000
0xfffffff0088a5664: 083d3191  add	x8, x8, #0xc4f
0xfffffff0088a5668: e82f02a9  stp	x8, x11, [sp, #0x20]
0xfffffff0088a566c: 684cffb0  adrp	x8, #0xfffffff007232000
0xfffffff0088a5670: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a5674: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a5678: 680f8052  mov	w8, #0x7b
0xfffffff0088a567c: f52300a9  stp	x21, x8, [sp]
0xfffffff0088a5680: 204aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a5684: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a5688: 018bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a568c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a5690: 02008052  mov	w2, #0
0xfffffff0088a5694: e34dffb0  adrp	x3, #0xfffffff007262000
0xfffffff0088a5698: 63a41691  add	x3, x3, #0x5a9
0xfffffff0088a569c: a536ea97  bl	#0xfffffff008333130
0xfffffff0088a56a0: 13fbff35  cbnz	w19, #0xfffffff0088a5600
0xfffffff0088a56a4: 9c070091  add	x28, x28, #1
0xfffffff0088a56a8: a88353f8  ldur	x8, [x29, #-0xc8]
0xfffffff0088a56ac: 080180b9  ldrsw	x8, [x8]
0xfffffff0088a56b0: 9f0308eb  cmp	x28, x8
0xfffffff0088a56b4: 8bf0ff54  b.lt	#0xfffffff0088a54c4
0xfffffff0088a56b8: 0a010014  b	#0xfffffff0088a5ae0
0xfffffff0088a56bc: bc3a0094  bl	#0xfffffff0088b41ac
0xfffffff0088a56c0: f40300aa  mov	x20, x0
0xfffffff0088a56c4: e0008052  mov	w0, #7
0xfffffff0088a56c8: 6258ff97  bl	#0xfffffff00887b850
0xfffffff0088a56cc: 280340b9  ldr	w8, [x25]
0xfffffff0088a56d0: e9031aaa  mov	x9, x26
0xfffffff0088a56d4: e96305a9  stp	x9, x24, [sp, #0x50]
0xfffffff0088a56d8: e90317aa  mov	x9, x23
0xfffffff0088a56dc: f62704a9  stp	x22, x9, [sp, #0x40]
0xfffffff0088a56e0: e90313aa  mov	x9, x19
0xfffffff0088a56e4: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff0088a56e8: e84bffb0  adrp	x8, #0xfffffff007222000
0xfffffff0088a56ec: 083d3191  add	x8, x8, #0xc4f
0xfffffff0088a56f0: e86702a9  stp	x8, x25, [sp, #0x20]
0xfffffff0088a56f4: 684cffb0  adrp	x8, #0xfffffff007232000
0xfffffff0088a56f8: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a56fc: e02301a9  stp	x0, x8, [sp, #0x10]
