; Candidate 12549
; ADRP+ADD at VM 0xfffffff0090b9f7c (fileoff 0x20b5f7c): page=0x1fe3ae000 add_imm=0xcdd

0xfffffff0090b9efc: 1fa10071  cmp	w8, #0x28
0xfffffff0090b9f00: 48050054  b.hi	#0xfffffff0090b9fa8
0xfffffff0090b9f04: 88324239  ldrb	w8, [x20, #0x8c]
0xfffffff0090b9f08: 08040034  cbz	w8, #0xfffffff0090b9f88
0xfffffff0090b9f0c: 900240f9  ldr	x16, [x20]
0xfffffff0090b9f10: f10314aa  mov	x17, x20
0xfffffff0090b9f14: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090b9f18: 301ac1da  autda	x16, x17
0xfffffff0090b9f1c: 113d80d2  mov	x17, #0x1e8
0xfffffff0090b9f20: 1002118b  add	x16, x16, x17
0xfffffff0090b9f24: 080240f9  ldr	x8, [x16]
0xfffffff0090b9f28: e90310aa  mov	x9, x16
0xfffffff0090b9f2c: e00314aa  mov	x0, x20
0xfffffff0090b9f30: 010080d2  mov	x1, #0
0xfffffff0090b9f34: f10309aa  mov	x17, x9
0xfffffff0090b9f38: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0090b9f3c: 11093fd7  blraa	x8, x17
0xfffffff0090b9f40: 14000014  b	#0xfffffff0090b9f90
0xfffffff0090b9f44: 601dffb0  adrp	x0, #0xfffffff007466000
0xfffffff0090b9f48: 008c2991  add	x0, x0, #0xa63
0xfffffff0090b9f4c: 681dffd0  adrp	x8, #0xfffffff007467000
0xfffffff0090b9f50: 08353291  add	x8, x8, #0xc8d
0xfffffff0090b9f54: e8d700a9  stp	x8, x21, [sp, #8]
0xfffffff0090b9f58: e00300f9  str	x0, [sp]
0xfffffff0090b9f5c: 601dffd0  adrp	x0, #0xfffffff007467000
0xfffffff0090b9f60: 00343191  add	x0, x0, #0xc4d
0xfffffff0090b9f64: 10000014  b	#0xfffffff0090b9fa4
0xfffffff0090b9f68: 601dffb0  adrp	x0, #0xfffffff007466000
0xfffffff0090b9f6c: 008c2991  add	x0, x0, #0xa63
0xfffffff0090b9f70: 681dffd0  adrp	x8, #0xfffffff007467000
0xfffffff0090b9f74: 08353291  add	x8, x8, #0xc8d
0xfffffff0090b9f78: e02300a9  stp	x0, x8, [sp]
0xfffffff0090b9f7c: 601dffd0  adrp	x0, #0xfffffff007467000
0xfffffff0090b9f80: 00743391  add	x0, x0, #0xcdd
0xfffffff0090b9f84: 08000014  b	#0xfffffff0090b9fa4
0xfffffff0090b9f88: 601dffb0  adrp	x0, #0xfffffff007466000
0xfffffff0090b9f8c: 008c2991  add	x0, x0, #0xa63
0xfffffff0090b9f90: 681dffd0  adrp	x8, #0xfffffff007467000
0xfffffff0090b9f94: 08353291  add	x8, x8, #0xc8d
0xfffffff0090b9f98: e02300a9  stp	x0, x8, [sp]
0xfffffff0090b9f9c: 601dffd0  adrp	x0, #0xfffffff007467000
0xfffffff0090b9fa0: 009c3291  add	x0, x0, #0xca7
0xfffffff0090b9fa4: 1f74ca97  bl	#0xfffffff008357020
0xfffffff0090b9fa8: 730100b4  cbz	x19, #0xfffffff0090b9fd4
0xfffffff0090b9fac: 700240f9  ldr	x16, [x19]
0xfffffff0090b9fb0: f10313aa  mov	x17, x19
0xfffffff0090b9fb4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090b9fb8: 301ac1da  autda	x16, x17
0xfffffff0090b9fbc: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0090b9fc0: e90310aa  mov	x9, x16
0xfffffff0090b9fc4: e00313aa  mov	x0, x19
0xfffffff0090b9fc8: f10309aa  mov	x17, x9
0xfffffff0090b9fcc: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0090b9fd0: 11093fd7  blraa	x8, x17
0xfffffff0090b9fd4: 00008052  mov	w0, #0
0xfffffff0090b9fd8: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0090b9fdc: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0090b9fe0: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0090b9fe4: ff430191  add	sp, sp, #0x50
0xfffffff0090b9fe8: ff0f5fd6  retab	
0xfffffff0090b9fec: 7f2303d5  pacibsp	
0xfffffff0090b9ff0: ff0301d1  sub	sp, sp, #0x40
0xfffffff0090b9ff4: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0090b9ff8: fd7b03a9  stp	x29, x30, [sp, #0x30]
