; Candidate 726
; ADRP+ADD at VM 0xfffffff00805c8c8 (fileoff 0x10588c8): page=0x1ff012000 add_imm=0xea0

0xfffffff00805c848: 28a04039  ldrb	w8, [x1, #0x28]
0xfffffff00805c84c: 89058052  mov	w9, #0x2c
0xfffffff00805c850: 1f01096a  tst	w8, w9
0xfffffff00805c854: e1020054  b.ne	#0xfffffff00805c8b0
0xfffffff00805c858: 281840b9  ldr	w8, [x1, #0x18]
0xfffffff00805c85c: 68030035  cbnz	w8, #0xfffffff00805c8c8
0xfffffff00805c860: c0c8fff0  adrp	x0, #0xfffffff007977000
0xfffffff00805c864: 00c03691  add	x0, x0, #0xdb0
0xfffffff00805c868: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00805c86c: ff2303d5  autibsp	
0xfffffff00805c870: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00805c874: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00805c87c
0xfffffff00805c878: 208e38d4  brk	#0xc471
0xfffffff00805c87c: e4b4f617  b	#0xfffffff007e09c0c
0xfffffff00805c880: 8080ffd0  adrp	x0, #0xfffffff00706e000
0xfffffff00805c884: 00f01291  add	x0, x0, #0x4bc
0xfffffff00805c888: 8180ffd0  adrp	x1, #0xfffffff00706e000
0xfffffff00805c88c: 21c41191  add	x1, x1, #0x471
0xfffffff00805c890: c2138052  mov	w2, #0x9e
0xfffffff00805c894: e00b1194  bl	#0xfffffff00849f814
0xfffffff00805c898: 8080ffd0  adrp	x0, #0xfffffff00706e000
0xfffffff00805c89c: 00381391  add	x0, x0, #0x4ce
0xfffffff00805c8a0: 8180ffd0  adrp	x1, #0xfffffff00706e000
0xfffffff00805c8a4: 21c41191  add	x1, x1, #0x471
0xfffffff00805c8a8: e2138052  mov	w2, #0x9f
0xfffffff00805c8ac: da0b1194  bl	#0xfffffff00849f814
0xfffffff00805c8b0: 8080ffd0  adrp	x0, #0xfffffff00706e000
0xfffffff00805c8b4: 00881391  add	x0, x0, #0x4e2
0xfffffff00805c8b8: 8180ffd0  adrp	x1, #0xfffffff00706e000
0xfffffff00805c8bc: 21c41191  add	x1, x1, #0x471
0xfffffff00805c8c0: 22148052  mov	w2, #0xa1
0xfffffff00805c8c4: d40b1194  bl	#0xfffffff00849f814
0xfffffff00805c8c8: 8080ffd0  adrp	x0, #0xfffffff00706e000
0xfffffff00805c8cc: 00803a91  add	x0, x0, #0xea0
0xfffffff00805c8d0: 8180ffd0  adrp	x1, #0xfffffff00706e000
0xfffffff00805c8d4: 21c41191  add	x1, x1, #0x471
0xfffffff00805c8d8: 42148052  mov	w2, #0xa2
0xfffffff00805c8dc: ce0b1194  bl	#0xfffffff00849f814
0xfffffff00805c8e0: 7f2303d5  pacibsp	
0xfffffff00805c8e4: ff4301d1  sub	sp, sp, #0x50
0xfffffff00805c8e8: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff00805c8ec: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff00805c8f0: fd030191  add	x29, sp, #0x40
0xfffffff00805c8f4: 130040f9  ldr	x19, [x0]
0xfffffff00805c8f8: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00805c8fc: e083813c  stur	q0, [sp, #0x18]
0xfffffff00805c900: e083803c  stur	q0, [sp, #8]
0xfffffff00805c904: ff0f00f9  str	xzr, [sp, #0x18]
0xfffffff00805c908: ff1700f9  str	xzr, [sp, #0x28]
0xfffffff00805c90c: e2230091  add	x2, sp, #8
0xfffffff00805c910: 21000094  bl	#0xfffffff00805c994
0xfffffff00805c914: e80740f9  ldr	x8, [sp, #8]
0xfffffff00805c918: a80200b4  cbz	x8, #0xfffffff00805c96c
0xfffffff00805c91c: e91340b9  ldr	w9, [sp, #0x10]
0xfffffff00805c920: 3f050071  cmp	w9, #1
0xfffffff00805c924: a0000054  b.eq	#0xfffffff00805c938
0xfffffff00805c928: 3f090071  cmp	w9, #2
0xfffffff00805c92c: 81020054  b.ne	#0xfffffff00805c97c
0xfffffff00805c930: 1f5100f9  str	xzr, [x8, #0xa0]
0xfffffff00805c934: 05000014  b	#0xfffffff00805c948
0xfffffff00805c938: 1f4500f9  str	xzr, [x8, #0x88]
0xfffffff00805c93c: 097540b9  ldr	w9, [x8, #0x74]
0xfffffff00805c940: 29790e12  and	w9, w9, #0xfffdffff
0xfffffff00805c944: 097500b9  str	w9, [x8, #0x74]
