; Candidate 2312
; ADRP+ADD at VM 0xfffffff00861417c (fileoff 0x161017c): page=0x1ff3bd000 add_imm=0xe18

0xfffffff0086140fc: 10a22491  add	x16, x16, #0x928
0xfffffff008614100: 10420091  add	x16, x16, #0x10
0xfffffff008614104: f10300aa  mov	x17, x0
0xfffffff008614108: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00861410c: 300ac1da  pacda	x16, x17
0xfffffff008614110: 100000f9  str	x16, [x0]
0xfffffff008614114: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008614118: ff0f5fd6  retab	
0xfffffff00861411c: 5f2403d5  bti	c
0xfffffff008614120: 56d9ff17  b	#0xfffffff00860a678
0xfffffff008614124: 5f2403d5  bti	c
0xfffffff008614128: 54d9ff17  b	#0xfffffff00860a678
0xfffffff00861412c: 7f2303d5  pacibsp	
0xfffffff008614130: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008614134: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008614138: fd430091  add	x29, sp, #0x10
0xfffffff00861413c: f30300aa  mov	x19, x0
0xfffffff008614140: 4ed9ff97  bl	#0xfffffff00860a678
0xfffffff008614144: e09dffb0  adrp	x0, #0xfffffff0079d1000
0xfffffff008614148: 00603891  add	x0, x0, #0xe18
0xfffffff00861414c: e10313aa  mov	x1, x19
0xfffffff008614150: 02218052  mov	w2, #0x108
0xfffffff008614154: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008614158: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00861415c: ff2303d5  autibsp	
0xfffffff008614160: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008614164: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00861416c
0xfffffff008614168: 208e38d4  brk	#0xc471
0xfffffff00861416c: 4c4df317  b	#0xfffffff0082e769c
0xfffffff008614170: 5f2403d5  bti	c
0xfffffff008614174: e20301aa  mov	x2, x1
0xfffffff008614178: e10300aa  mov	x1, x0
0xfffffff00861417c: e09dffb0  adrp	x0, #0xfffffff0079d1000
0xfffffff008614180: 00603891  add	x0, x0, #0xe18
0xfffffff008614184: 464df317  b	#0xfffffff0082e769c
0xfffffff008614188: 5f2403d5  bti	c
0xfffffff00861418c: 00e600f0  adrp	x0, #0xfffffff00a2d7000
0xfffffff008614190: 00a03d91  add	x0, x0, #0xf68
0xfffffff008614194: c0035fd6  ret	
0xfffffff008614198: 7f2303d5  pacibsp	
0xfffffff00861419c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0086141a0: fd030091  mov	x29, sp
0xfffffff0086141a4: 6157ff90  adrp	x1, #0xfffffff007100000
0xfffffff0086141a8: 21e82991  add	x1, x1, #0xa7a
0xfffffff0086141ac: 02e600f0  adrp	x2, #0xfffffff00a2d7000
0xfffffff0086141b0: 42803a91  add	x2, x2, #0xea0
0xfffffff0086141b4: 03218052  mov	w3, #0x108
0xfffffff0086141b8: 603ef397  bl	#0xfffffff0082e3b38
0xfffffff0086141bc: d09dfff0  adrp	x16, #0xfffffff0079cf000
0xfffffff0086141c0: 10423d91  add	x16, x16, #0xf50
0xfffffff0086141c4: 10420091  add	x16, x16, #0x10
0xfffffff0086141c8: f10300aa  mov	x17, x0
0xfffffff0086141cc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086141d0: 300ac1da  pacda	x16, x17
0xfffffff0086141d4: 100000f9  str	x16, [x0]
0xfffffff0086141d8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0086141dc: ff0f5fd6  retab	
0xfffffff0086141e0: 7f2303d5  pacibsp	
0xfffffff0086141e4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0086141e8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0086141ec: fd430091  add	x29, sp, #0x10
0xfffffff0086141f0: e09dffb0  adrp	x0, #0xfffffff0079d1000
0xfffffff0086141f4: 00603891  add	x0, x0, #0xe18
0xfffffff0086141f8: 01218052  mov	w1, #0x108
