; Candidate 3818
; ADRP+ADD at VM 0xfffffff008764c30 (fileoff 0x1760c30): page=0x1fe9cd000 add_imm=0xd90

0xfffffff008764bb0: 629240f9  ldr	x2, [x19, #0x120]
0xfffffff008764bb4: e00313aa  mov	x0, x19
0xfffffff008764bb8: 01009852  mov	w1, #0xc000
0xfffffff008764bbc: 0121a072  movk	w1, #0x108, lsl #16
0xfffffff008764bc0: 03008652  mov	w3, #0x3000
0xfffffff008764bc4: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008764bc8: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008764bcc: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008764bd0: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008764bd4: ff830191  add	sp, sp, #0x60
0xfffffff008764bd8: ff2303d5  autibsp	
0xfffffff008764bdc: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008764be0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008764be8
0xfffffff008764be4: 208e38d4  brk	#0xc471
0xfffffff008764be8: 224cff17  b	#0xfffffff008737c70
0xfffffff008764bec: 5f2403d5  bti	c
0xfffffff008764bf0: 029040f9  ldr	x2, [x0, #0x120]
0xfffffff008764bf4: 01009852  mov	w1, #0xc000
0xfffffff008764bf8: 0121a072  movk	w1, #0x108, lsl #16
0xfffffff008764bfc: 03008652  mov	w3, #0x3000
0xfffffff008764c00: 1950ff17  b	#0xfffffff008738c64
0xfffffff008764c04: 7f2303d5  pacibsp	
0xfffffff008764c08: ffc300d1  sub	sp, sp, #0x30
0xfffffff008764c0c: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008764c10: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008764c14: fd830091  add	x29, sp, #0x20
0xfffffff008764c18: f30300aa  mov	x19, x0
0xfffffff008764c1c: 08606139  ldrb	w8, [x0, #0x858]
0xfffffff008764c20: 08020035  cbnz	w8, #0xfffffff008764c60
0xfffffff008764c24: 884fffb0  adrp	x8, #0xfffffff007155000
0xfffffff008764c28: 08ad2a91  add	x8, x8, #0xaab
0xfffffff008764c2c: e80300f9  str	x8, [sp]
0xfffffff008764c30: 604effb0  adrp	x0, #0xfffffff007131000
0xfffffff008764c34: 00403691  add	x0, x0, #0xd90
0xfffffff008764c38: c194ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008764c3c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008764c40: e34effd0  adrp	x3, #0xfffffff007142000
0xfffffff008764c44: 63741791  add	x3, x3, #0x5dd
0xfffffff008764c48: 02008052  mov	w2, #0
0xfffffff008764c4c: 3939ef97  bl	#0xfffffff008333130
0xfffffff008764c50: e00313aa  mov	x0, x19
0xfffffff008764c54: 10000094  bl	#0xfffffff008764c94
0xfffffff008764c58: 28008052  mov	w8, #1
0xfffffff008764c5c: 68622139  strb	w8, [x19, #0x858]
0xfffffff008764c60: e00313aa  mov	x0, x19
0xfffffff008764c64: 81048052  mov	w1, #0x24
0xfffffff008764c68: e120a072  movk	w1, #0x107, lsl #16
0xfffffff008764c6c: 02008e52  mov	w2, #0x7000
0xfffffff008764c70: 02d2a472  movk	w2, #0x2690, lsl #16
0xfffffff008764c74: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008764c78: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008764c7c: ffc30091  add	sp, sp, #0x30
0xfffffff008764c80: ff2303d5  autibsp	
0xfffffff008764c84: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008764c88: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008764c90
0xfffffff008764c8c: 208e38d4  brk	#0xc471
0xfffffff008764c90: d14fff17  b	#0xfffffff008738bd4
0xfffffff008764c94: 7f2303d5  pacibsp	
0xfffffff008764c98: ff8301d1  sub	sp, sp, #0x60
0xfffffff008764c9c: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff008764ca0: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff008764ca4: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008764ca8: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008764cac: fd7b05a9  stp	x29, x30, [sp, #0x50]
