; Candidate 16229
; ADRP+ADD at VM 0xfffffff009e32dc0 (fileoff 0x2e2edc0): page=0x1fd9f0000 add_imm=0xd20

0xfffffff009e32d40: 28104179  ldrh	w8, [x1, #0x88]
0xfffffff009e32d44: 080d1412  and	w8, w8, #0xf000
0xfffffff009e32d48: 1f114071  cmp	w8, #4, lsl #12
0xfffffff009e32d4c: 01010054  b.ne	#0xfffffff009e32d6c
0xfffffff009e32d50: 960400b4  cbz	x22, #0xfffffff009e32de0
0xfffffff009e32d54: 28a04139  ldrb	w8, [x1, #0x68]
0xfffffff009e32d58: 08191037  tbnz	w8, #2, #0xfffffff009e33078
0xfffffff009e32d5c: a00640f9  ldr	x0, [x21, #8]
0xfffffff009e32d60: 020080d2  mov	x2, #0
0xfffffff009e32d64: c9120094  bl	#0xfffffff009e37888
0xfffffff009e32d68: 03000014  b	#0xfffffff009e32d74
0xfffffff009e32d6c: a00640f9  ldr	x0, [x21, #8]
0xfffffff009e32d70: aef80294  bl	#0xfffffff009ef1028
0xfffffff009e32d74: f90300aa  mov	x25, x0
0xfffffff009e32d78: 88c24039  ldrb	w8, [x20, #0x30]
0xfffffff009e32d7c: 08030034  cbz	w8, #0xfffffff009e32ddc
0xfffffff009e32d80: 5f0319eb  cmp	x26, x25
0xfffffff009e32d84: c0020054  b.eq	#0xfffffff009e32ddc
0xfffffff009e32d88: 88cffe90  adrp	x8, #0xfffffff007822000
0xfffffff009e32d8c: 08dd2591  add	x8, x8, #0x977
0xfffffff009e32d90: 89cffe90  adrp	x9, #0xfffffff007822000
0xfffffff009e32d94: 29c12591  add	x9, x9, #0x970
0xfffffff009e32d98: 7f060071  cmp	w19, #1
0xfffffff009e32d9c: 2b01889a  csel	x11, x9, x8, eq
0xfffffff009e32da0: a90240f9  ldr	x9, [x21]
0xfffffff009e32da4: 2a0540f9  ldr	x10, [x9, #8]
0xfffffff009e32da8: 292140f9  ldr	x9, [x9, #0x40]
0xfffffff009e32dac: f9eb02a9  stp	x25, x26, [sp, #0x28]
0xfffffff009e32db0: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff009e32db4: 88cffe90  adrp	x8, #0xfffffff007822000
0xfffffff009e32db8: 088d3291  add	x8, x8, #0xca3
0xfffffff009e32dbc: 29458052  mov	w9, #0x229
0xfffffff009e32dc0: 80cffe90  adrp	x0, #0xfffffff007822000
0xfffffff009e32dc4: 00803491  add	x0, x0, #0xd20
0xfffffff009e32dc8: e9af00a9  stp	x9, x11, [sp, #8]
0xfffffff009e32dcc: e80300f9  str	x8, [sp]
0xfffffff009e32dd0: 9c320194  bl	#0xfffffff009e7f840
0xfffffff009e32dd4: 19008052  mov	w25, #0
0xfffffff009e32dd8: 9f000014  b	#0xfffffff009e33054
0xfffffff009e32ddc: fa0319aa  mov	x26, x25
0xfffffff009e32de0: 00f8fed0  adrp	x0, #0xfffffff007d34000
0xfffffff009e32de4: 00603891  add	x0, x0, #0xe18
0xfffffff009e32de8: c38d9497  bl	#0xfffffff0083564f4
0xfffffff009e32dec: f80300aa  mov	x24, x0
0xfffffff009e32df0: c00000b4  cbz	x0, #0xfffffff009e32e08
0xfffffff009e32df4: 082d00d0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e32df8: 08212a91  add	x8, x8, #0xa88
0xfffffff009e32dfc: 090a8052  mov	w9, #0x50
0xfffffff009e32e00: 080129f8  ldadd	x9, x8, [x8]
0xfffffff009e32e04: 08000014  b	#0xfffffff009e32e24
0xfffffff009e32e08: 082d00d0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e32e0c: 08e12791  add	x8, x8, #0x9f8
0xfffffff009e32e10: 29008052  mov	w9, #1
0xfffffff009e32e14: 080129b8  ldadd	w9, w8, [x8]
0xfffffff009e32e18: 082d00d0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e32e1c: 090a8052  mov	w9, #0x50
0xfffffff009e32e20: 090105f9  str	x9, [x8, #0xa00]
0xfffffff009e32e24: 08228052  mov	w8, #0x110
0xfffffff009e32e28: 080aa072  movk	w8, #0x50, lsl #16
0xfffffff009e32e2c: 080300b9  str	w8, [x24]
0xfffffff009e32e30: e8008052  mov	w8, #7
0xfffffff009e32e34: 080700f9  str	x8, [x24, #8]
0xfffffff009e32e38: 1a1300f9  str	x26, [x24, #0x20]
0xfffffff009e32e3c: 88c24039  ldrb	w8, [x20, #0x30]
