; Candidate 3192
; ADRP+ADD at VM 0xfffffff00871b850 (fileoff 0x1717850): page=0x1fea16000 add_imm=0xd90

0xfffffff00871b7d0: 0cfeff54  b.gt	#0xfffffff00871b790
0xfffffff00871b7d4: 683640f9  ldr	x8, [x19, #0x68]
0xfffffff00871b7d8: 69a640b9  ldr	w9, [x19, #0xa4]
0xfffffff00871b7dc: 29050011  add	w9, w9, #1
0xfffffff00871b7e0: 69a600b9  str	w9, [x19, #0xa4]
0xfffffff00871b7e4: 15fd7fd3  lsr	x21, x8, #0x3f
0xfffffff00871b7e8: e00313aa  mov	x0, x19
0xfffffff00871b7ec: 21008052  mov	w1, #1
0xfffffff00871b7f0: 02008052  mov	w2, #0
0xfffffff00871b7f4: a3feff97  bl	#0xfffffff00871b280
0xfffffff00871b7f8: f5060939  strb	w21, [x23, #0x241]
0xfffffff00871b7fc: 880e40b9  ldr	w8, [x20, #0xc]
0xfffffff00871b800: 1ffd0071  cmp	w8, #0x3f
0xfffffff00871b804: e9070054  b.ls	#0xfffffff00871b900
0xfffffff00871b808: e9078052  mov	w9, #0x3f
0xfffffff00871b80c: ca51ffd0  adrp	x10, #0xfffffff007155000
0xfffffff00871b810: 4a3d2d91  add	x10, x10, #0xb4f
0xfffffff00871b814: ff2702a9  stp	xzr, x9, [sp, #0x20]
0xfffffff00871b818: ea2301a9  stp	x10, x8, [sp, #0x10]
0xfffffff00871b81c: 48568052  mov	w8, #0x2b2
0xfffffff00871b820: c951ffd0  adrp	x9, #0xfffffff007155000
0xfffffff00871b824: 29f52c91  add	x9, x9, #0xb3d
0xfffffff00871b828: e92300a9  stp	x9, x8, [sp]
0xfffffff00871b82c: a050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff00871b830: 00403691  add	x0, x0, #0xd90
0xfffffff00871b834: 0197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871b838: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871b83c: e350ffb0  adrp	x3, #0xfffffff007138000
0xfffffff00871b840: 63883a91  add	x3, x3, #0xea2
0xfffffff00871b844: 02008052  mov	w2, #0
0xfffffff00871b848: 3a5ef097  bl	#0xfffffff008333130
0xfffffff00871b84c: 24000014  b	#0xfffffff00871b8dc
0xfffffff00871b850: a050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff00871b854: 00403691  add	x0, x0, #0xd90
0xfffffff00871b858: 0197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871b85c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871b860: e350ffb0  adrp	x3, #0xfffffff007138000
0xfffffff00871b864: 63d43691  add	x3, x3, #0xdb5
0xfffffff00871b868: 02008052  mov	w2, #0
0xfffffff00871b86c: 315ef097  bl	#0xfffffff008333130
0xfffffff00871b870: 1b000014  b	#0xfffffff00871b8dc
0xfffffff00871b874: a050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff00871b878: 00403691  add	x0, x0, #0xd90
0xfffffff00871b87c: 0197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871b880: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871b884: e350ffb0  adrp	x3, #0xfffffff007138000
0xfffffff00871b888: 63903791  add	x3, x3, #0xde4
0xfffffff00871b88c: 02008052  mov	w2, #0
0xfffffff00871b890: 285ef097  bl	#0xfffffff008333130
0xfffffff00871b894: 12000014  b	#0xfffffff00871b8dc
0xfffffff00871b898: a050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff00871b89c: 00403691  add	x0, x0, #0xd90
0xfffffff00871b8a0: 0197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871b8a4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871b8a8: e350ffb0  adrp	x3, #0xfffffff007138000
0xfffffff00871b8ac: 63583891  add	x3, x3, #0xe16
0xfffffff00871b8b0: 02008052  mov	w2, #0
0xfffffff00871b8b4: 1f5ef097  bl	#0xfffffff008333130
0xfffffff00871b8b8: 09000014  b	#0xfffffff00871b8dc
0xfffffff00871b8bc: a050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff00871b8c0: 00403691  add	x0, x0, #0xd90
0xfffffff00871b8c4: 0197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871b8c8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871b8cc: e350ffb0  adrp	x3, #0xfffffff007138000
