; Candidate 7076
; ADRP+ADD at VM 0xfffffff008855a80 (fileoff 0x1851a80): page=0x1fe994000 add_imm=0xe80

0xfffffff008855a00: 18020034  cbz	w24, #0xfffffff008855a40
0xfffffff008855a04: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008855a08: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff008855a0c: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff008855a10: 884effb0  adrp	x8, #0xfffffff007226000
0xfffffff008855a14: 08252691  add	x8, x8, #0x989
0xfffffff008855a18: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008855a1c: 884effd0  adrp	x8, #0xfffffff007227000
0xfffffff008855a20: 08811191  add	x8, x8, #0x460
0xfffffff008855a24: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008855a28: 880c8052  mov	w8, #0x64
0xfffffff008855a2c: e04dffb0  adrp	x0, #0xfffffff007212000
0xfffffff008855a30: 00c82691  add	x0, x0, #0x9b2
0xfffffff008855a34: f72300a9  stp	x23, x8, [sp]
0xfffffff008855a38: 8a86d597  bl	#0xfffffff007db7460
0xfffffff008855a3c: 19000014  b	#0xfffffff008855aa0
0xfffffff008855a40: db790194  bl	#0xfffffff0088b41ac
0xfffffff008855a44: f70300aa  mov	x23, x0
0xfffffff008855a48: e0008052  mov	w0, #7
0xfffffff008855a4c: 81970094  bl	#0xfffffff00887b850
0xfffffff008855a50: e80316aa  mov	x8, x22
0xfffffff008855a54: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008855a58: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff008855a5c: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff008855a60: 884effb0  adrp	x8, #0xfffffff007226000
0xfffffff008855a64: 08252691  add	x8, x8, #0x989
0xfffffff008855a68: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008855a6c: 884effd0  adrp	x8, #0xfffffff007227000
0xfffffff008855a70: 08811191  add	x8, x8, #0x460
0xfffffff008855a74: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008855a78: 880c8052  mov	w8, #0x64
0xfffffff008855a7c: f72300a9  stp	x23, x8, [sp]
0xfffffff008855a80: a04cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008855a84: 00003a91  add	x0, x0, #0xe80
0xfffffff008855a88: 818dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008855a8c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008855a90: e34fffd0  adrp	x3, #0xfffffff007253000
0xfffffff008855a94: 63e02b91  add	x3, x3, #0xaf8
0xfffffff008855a98: 02008052  mov	w2, #0
0xfffffff008855a9c: a575eb97  bl	#0xfffffff008333130
0xfffffff008855aa0: e00316aa  mov	x0, x22
0xfffffff008855aa4: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff008855aa8: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff008855aac: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff008855ab0: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff008855ab4: fa6747a9  ldp	x26, x25, [sp, #0x70]
0xfffffff008855ab8: ff030391  add	sp, sp, #0xc0
0xfffffff008855abc: ff0f5fd6  retab	
0xfffffff008855ac0: 7f2303d5  pacibsp	
0xfffffff008855ac4: ff0303d1  sub	sp, sp, #0xc0
0xfffffff008855ac8: fa6707a9  stp	x26, x25, [sp, #0x70]
0xfffffff008855acc: f85f08a9  stp	x24, x23, [sp, #0x80]
0xfffffff008855ad0: f65709a9  stp	x22, x21, [sp, #0x90]
0xfffffff008855ad4: f44f0aa9  stp	x20, x19, [sp, #0xa0]
0xfffffff008855ad8: fd7b0ba9  stp	x29, x30, [sp, #0xb0]
0xfffffff008855adc: fdc30291  add	x29, sp, #0xb0
0xfffffff008855ae0: f50302aa  mov	x21, x2
0xfffffff008855ae4: f40301aa  mov	x20, x1
0xfffffff008855ae8: f30300aa  mov	x19, x0
0xfffffff008855aec: 800c8052  mov	w0, #0x64
0xfffffff008855af0: e1008052  mov	w1, #7
0xfffffff008855af4: 37970094  bl	#0xfffffff00887b7d0
0xfffffff008855af8: e0020034  cbz	w0, #0xfffffff008855b54
0xfffffff008855afc: 800c8052  mov	w0, #0x64
