; Candidate 5102
; ADRP+ADD at VM 0xfffffff0087d90b4 (fileoff 0x17d50b4): page=0x1fea10000 add_imm=0xe80

0xfffffff0087d9034: 68aa40f9  ldr	x8, [x19, #0x150]
0xfffffff0087d9038: a81000b4  cbz	x8, #0xfffffff0087d924c
0xfffffff0087d903c: 606e40f9  ldr	x0, [x19, #0xd8]
0xfffffff0087d9040: 100040f9  ldr	x16, [x0]
0xfffffff0087d9044: f10300aa  mov	x17, x0
0xfffffff0087d9048: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087d904c: 301ac1da  autda	x16, x17
0xfffffff0087d9050: 11a980d2  mov	x17, #0x548
0xfffffff0087d9054: 1002118b  add	x16, x16, x17
0xfffffff0087d9058: 080240f9  ldr	x8, [x16]
0xfffffff0087d905c: e90310aa  mov	x9, x16
0xfffffff0087d9060: e10313aa  mov	x1, x19
0xfffffff0087d9064: f10309aa  mov	x17, x9
0xfffffff0087d9068: 71d4ecf2  movk	x17, #0x66a3, lsl #48
0xfffffff0087d906c: 11093fd7  blraa	x8, x17
0xfffffff0087d9070: 60aa40f9  ldr	x0, [x19, #0x150]
0xfffffff0087d9074: 77000014  b	#0xfffffff0087d9250
0xfffffff0087d9078: 4d6c0394  bl	#0xfffffff0088b41ac
0xfffffff0087d907c: f70300aa  mov	x23, x0
0xfffffff0087d9080: c0008052  mov	w0, #6
0xfffffff0087d9084: f3890294  bl	#0xfffffff00887b850
0xfffffff0087d9088: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087d908c: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0087d9090: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0087d9094: c851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087d9098: 09792791  add	x9, x8, #0x9de
0xfffffff0087d909c: c851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087d90a0: 081d0291  add	x8, x8, #0x87
0xfffffff0087d90a4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087d90a8: 280a8052  mov	w8, #0x51
0xfffffff0087d90ac: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087d90b0: f70300f9  str	x23, [sp]
0xfffffff0087d90b4: 8050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d90b8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d90bc: 6191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d90c0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d90c4: 0353fff0  adrp	x3, #0xfffffff00723c000
0xfffffff0087d90c8: 63e02391  add	x3, x3, #0x8f8
0xfffffff0087d90cc: 02008052  mov	w2, #0
0xfffffff0087d90d0: 1868ed97  bl	#0xfffffff008333130
0xfffffff0087d90d4: 14faffb5  cbnz	x20, #0xfffffff0087d9014
0xfffffff0087d90d8: 200a8052  mov	w0, #0x51
0xfffffff0087d90dc: 81008052  mov	w1, #4
0xfffffff0087d90e0: bc890294  bl	#0xfffffff00887b7d0
0xfffffff0087d90e4: 000b0034  cbz	w0, #0xfffffff0087d9244
0xfffffff0087d90e8: 200a8052  mov	w0, #0x51
0xfffffff0087d90ec: cb890294  bl	#0xfffffff00887b818
0xfffffff0087d90f0: f70300aa  mov	x23, x0
0xfffffff0087d90f4: 2e6c0394  bl	#0xfffffff0088b41ac
0xfffffff0087d90f8: f60300aa  mov	x22, x0
0xfffffff0087d90fc: 80008052  mov	w0, #4
0xfffffff0087d9100: d4890294  bl	#0xfffffff00887b850
0xfffffff0087d9104: b7060034  cbz	w23, #0xfffffff0087d91d8
0xfffffff0087d9108: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087d910c: f4d704a9  stp	x20, x21, [sp, #0x48]
0xfffffff0087d9110: c951ffb0  adrp	x9, #0xfffffff007212000
0xfffffff0087d9114: 2abd2291  add	x10, x9, #0x8af
0xfffffff0087d9118: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff0087d911c: 28948052  mov	w8, #0x4a1
0xfffffff0087d9120: c951ffb0  adrp	x9, #0xfffffff007212000
0xfffffff0087d9124: 29792791  add	x9, x9, #0x9de
0xfffffff0087d9128: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087d912c: c851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087d9130: 081d0291  add	x8, x8, #0x87
