; Candidate 6539
; ADRP+ADD at VM 0xfffffff00883262c (fileoff 0x182e62c): page=0x1fe9b7000 add_imm=0xe80

0xfffffff0088325ac: 17020034  cbz	w23, #0xfffffff0088325ec
0xfffffff0088325b0: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff0088325b4: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0088325b8: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0088325bc: 884fff90  adrp	x8, #0xfffffff007222000
0xfffffff0088325c0: 098d3691  add	x9, x8, #0xda3
0xfffffff0088325c4: 884fff90  adrp	x8, #0xfffffff007222000
0xfffffff0088325c8: 08813991  add	x8, x8, #0xe60
0xfffffff0088325cc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088325d0: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088325d4: 080b8052  mov	w8, #0x58
0xfffffff0088325d8: 604ffff0  adrp	x0, #0xfffffff007221000
0xfffffff0088325dc: 00342691  add	x0, x0, #0x98d
0xfffffff0088325e0: f62300a9  stp	x22, x8, [sp]
0xfffffff0088325e4: 9f13d697  bl	#0xfffffff007db7460
0xfffffff0088325e8: 19000014  b	#0xfffffff00883264c
0xfffffff0088325ec: f0060294  bl	#0xfffffff0088b41ac
0xfffffff0088325f0: f60300aa  mov	x22, x0
0xfffffff0088325f4: 00018052  mov	w0, #8
0xfffffff0088325f8: 96240194  bl	#0xfffffff00887b850
0xfffffff0088325fc: e80315aa  mov	x8, x21
0xfffffff008832600: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff008832604: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff008832608: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff00883260c: 884fff90  adrp	x8, #0xfffffff007222000
0xfffffff008832610: 0a8d3691  add	x10, x8, #0xda3
0xfffffff008832614: 884fff90  adrp	x8, #0xfffffff007222000
0xfffffff008832618: 08813991  add	x8, x8, #0xe60
0xfffffff00883261c: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff008832620: 080b8052  mov	w8, #0x58
0xfffffff008832624: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008832628: f60300f9  str	x22, [sp]
0xfffffff00883262c: a04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008832630: 00003a91  add	x0, x0, #0xe80
0xfffffff008832634: a18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff008832638: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00883263c: c350fff0  adrp	x3, #0xfffffff00724d000
0xfffffff008832640: 63a41c91  add	x3, x3, #0x729
0xfffffff008832644: 02008052  mov	w2, #0
0xfffffff008832648: ba02ec97  bl	#0xfffffff008333130
0xfffffff00883264c: e00315aa  mov	x0, x21
0xfffffff008832650: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008832654: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff008832658: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff00883265c: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008832660: ff430291  add	sp, sp, #0x90
0xfffffff008832664: ff0f5fd6  retab	
0xfffffff008832668: 7f2303d5  pacibsp	
0xfffffff00883266c: ff4302d1  sub	sp, sp, #0x90
0xfffffff008832670: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff008832674: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff008832678: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff00883267c: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008832680: fd030291  add	x29, sp, #0x80
0xfffffff008832684: f40301aa  mov	x20, x1
0xfffffff008832688: f30300aa  mov	x19, x0
0xfffffff00883268c: 000b8052  mov	w0, #0x58
0xfffffff008832690: 01018052  mov	w1, #8
0xfffffff008832694: 4f240194  bl	#0xfffffff00887b7d0
0xfffffff008832698: c0050034  cbz	w0, #0xfffffff008832750
0xfffffff00883269c: 000b8052  mov	w0, #0x58
0xfffffff0088326a0: 5e240194  bl	#0xfffffff00887b818
0xfffffff0088326a4: f60300aa  mov	x22, x0
0xfffffff0088326a8: c1060294  bl	#0xfffffff0088b41ac
