; Candidate 3748
; ADRP+ADD at VM 0xfffffff0087591c4 (fileoff 0x17551c4): page=0x1fe9d8000 add_imm=0xd90

0xfffffff008759144: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008759148: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00875914c: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008759150: fd430191  add	x29, sp, #0x50
0xfffffff008759154: f30300aa  mov	x19, x0
0xfffffff008759158: ff1f00b9  str	wzr, [sp, #0x1c]
0xfffffff00875915c: 081040f9  ldr	x8, [x0, #0x20]
0xfffffff008759160: c80100b4  cbz	x8, #0xfffffff008759198
0xfffffff008759164: f50301aa  mov	x21, x1
0xfffffff008759168: 68324139  ldrb	w8, [x19, #0x4c]
0xfffffff00875916c: e8030034  cbz	w8, #0xfffffff0087591e8
0xfffffff008759170: 684a40b9  ldr	w8, [x19, #0x48]
0xfffffff008759174: 1f050031  cmn	w8, #1
0xfffffff008759178: 80010054  b.eq	#0xfffffff0087591a8
0xfffffff00875917c: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff008759180: 400100b4  cbz	x0, #0xfffffff0087591a8
0xfffffff008759184: c075fd97  bl	#0xfffffff0086b6884
0xfffffff008759188: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff00875918c: f975fd97  bl	#0xfffffff0086b6970
0xfffffff008759190: f40300aa  mov	x20, x0
0xfffffff008759194: 06000014  b	#0xfffffff0087591ac
0xfffffff008759198: 14008052  mov	w20, #0
0xfffffff00875919c: 08008012  mov	w8, #-1
0xfffffff0087591a0: 684a00b9  str	w8, [x19, #0x48]
0xfffffff0087591a4: 4c000014  b	#0xfffffff0087592d4
0xfffffff0087591a8: 14008052  mov	w20, #0
0xfffffff0087591ac: 9f02156b  cmp	w20, w21
0xfffffff0087591b0: 22090054  b.hs	#0xfffffff0087592d4
0xfffffff0087591b4: f4d700a9  stp	x20, x21, [sp, #8]
0xfffffff0087591b8: a84ffff0  adrp	x8, #0xfffffff007150000
0xfffffff0087591bc: 08c12c91  add	x8, x8, #0xb30
0xfffffff0087591c0: e80300f9  str	x8, [sp]
0xfffffff0087591c4: c04eff90  adrp	x0, #0xfffffff007131000
0xfffffff0087591c8: 00403691  add	x0, x0, #0xd90
0xfffffff0087591cc: 2195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087591d0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087591d4: 434fff90  adrp	x3, #0xfffffff007141000
0xfffffff0087591d8: 63f02091  add	x3, x3, #0x83c
0xfffffff0087591dc: 02008052  mov	w2, #0
0xfffffff0087591e0: d467ef97  bl	#0xfffffff008333130
0xfffffff0087591e4: 3c000014  b	#0xfffffff0087592d4
0xfffffff0087591e8: a0008052  mov	w0, #5
0xfffffff0087591ec: e10315aa  mov	x1, x21
0xfffffff0087591f0: d676fd97  bl	#0xfffffff0086b6d48
0xfffffff0087591f4: 400500b4  cbz	x0, #0xfffffff00875929c
0xfffffff0087591f8: f60300aa  mov	x22, x0
0xfffffff0087591fc: 601240f9  ldr	x0, [x19, #0x20]
0xfffffff008759200: 74020191  add	x20, x19, #0x40
0xfffffff008759204: 100040f9  ldr	x16, [x0]
0xfffffff008759208: f10300aa  mov	x17, x0
0xfffffff00875920c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008759210: 301ac1da  autda	x16, x17
0xfffffff008759214: 080e48f8  ldr	x8, [x16, #0x80]!
0xfffffff008759218: e90310aa  mov	x9, x16
0xfffffff00875921c: 81008052  mov	w1, #4
0xfffffff008759220: e20316aa  mov	x2, x22
0xfffffff008759224: e30314aa  mov	x3, x20
0xfffffff008759228: f10309aa  mov	x17, x9
0xfffffff00875922c: f1a8eef2  movk	x17, #0x7547, lsl #48
0xfffffff008759230: 11093fd7  blraa	x8, x17
0xfffffff008759234: f70300aa  mov	x23, x0
0xfffffff008759238: d00240f9  ldr	x16, [x22]
0xfffffff00875923c: f10316aa  mov	x17, x22
0xfffffff008759240: 31b4f9f2  movk	x17, #0xcda1, lsl #48
