; Candidate 805
; ADRP+ADD at VM 0xfffffff0080b724c (fileoff 0x10b324c): page=0x1fefbd000 add_imm=0xe0e

0xfffffff0080b71cc: f4000014  b	#0xfffffff0080b759c
0xfffffff0080b71d0: 0ad540b9  ldr	w10, [x8, #0xd4]
0xfffffff0080b71d4: 2a010035  cbnz	w10, #0xfffffff0080b71f8
0xfffffff0080b71d8: 0ad940b9  ldr	w10, [x8, #0xd8]
0xfffffff0080b71dc: ea000035  cbnz	w10, #0xfffffff0080b71f8
0xfffffff0080b71e0: 0add40b9  ldr	w10, [x8, #0xdc]
0xfffffff0080b71e4: aa000035  cbnz	w10, #0xfffffff0080b71f8
0xfffffff0080b71e8: 0ae140b9  ldr	w10, [x8, #0xe0]
0xfffffff0080b71ec: 0b20a052  mov	w11, #0x1000000
0xfffffff0080b71f0: 5f010b6b  cmp	w10, w11
0xfffffff0080b71f4: a0b3ff54  b.eq	#0xfffffff0080b6868
0xfffffff0080b71f8: 0ac540b9  ldr	w10, [x8, #0xc4]
0xfffffff0080b71fc: 2a010035  cbnz	w10, #0xfffffff0080b7220
0xfffffff0080b7200: 0ac940b9  ldr	w10, [x8, #0xc8]
0xfffffff0080b7204: ea000035  cbnz	w10, #0xfffffff0080b7220
0xfffffff0080b7208: 0acd40b9  ldr	w10, [x8, #0xcc]
0xfffffff0080b720c: aa000035  cbnz	w10, #0xfffffff0080b7220
0xfffffff0080b7210: 0ad140b9  ldr	w10, [x8, #0xd0]
0xfffffff0080b7214: 0b20a052  mov	w11, #0x1000000
0xfffffff0080b7218: 5f010b6b  cmp	w10, w11
0xfffffff0080b721c: 60b2ff54  b.eq	#0xfffffff0080b6868
0xfffffff0080b7220: 3f010f72  tst	w9, #0x20000
0xfffffff0080b7224: 09048052  mov	w9, #0x20
0xfffffff0080b7228: 0a088052  mov	w10, #0x40
0xfffffff0080b722c: 4a01891a  csel	w10, w10, w9, eq
0xfffffff0080b7230: 0a9900b9  str	w10, [x8, #0x98]
0xfffffff0080b7234: 680a01d0  adrp	x8, #0xfffffff00a205000
0xfffffff0080b7238: 088148b9  ldr	w8, [x8, #0x880]
0xfffffff0080b723c: 4901080a  and	w9, w10, w8
0xfffffff0080b7240: 3f091c72  tst	w9, #0x70
0xfffffff0080b7244: e0000054  b.eq	#0xfffffff0080b7260
0xfffffff0080b7248: c8000836  tbz	w8, #1, #0xfffffff0080b7260
0xfffffff0080b724c: e07dffb0  adrp	x0, #0xfffffff007074000
0xfffffff0080b7250: 00383891  add	x0, x0, #0xe0e
0xfffffff0080b7254: a1d78052  mov	w1, #0x6bd
0xfffffff0080b7258: e20313aa  mov	x2, x19
0xfffffff0080b725c: b02a0094  bl	#0xfffffff0080c1d1c
0xfffffff0080b7260: 680e40b9  ldr	w8, [x19, #0xc]
0xfffffff0080b7264: 1f090071  cmp	w8, #2
0xfffffff0080b7268: 21010054  b.ne	#0xfffffff0080b728c
0xfffffff0080b726c: 69224c29  ldp	w9, w8, [x19, #0x60]
0xfffffff0080b7270: 686e00b9  str	w8, [x19, #0x6c]
0xfffffff0080b7274: 686a40b9  ldr	w8, [x19, #0x68]
0xfffffff0080b7278: 68a600b9  str	w8, [x19, #0xa4]
0xfffffff0080b727c: 28010032  orr	w8, w9, #1
0xfffffff0080b7280: 686200b9  str	w8, [x19, #0x60]
0xfffffff0080b7284: 7fba00b9  str	wzr, [x19, #0xb8]
0xfffffff0080b7288: 0f000014  b	#0xfffffff0080b72c4
0xfffffff0080b728c: 882a41b9  ldr	w8, [x20, #0x128]
0xfffffff0080b7290: 699a40b9  ldr	w9, [x19, #0x98]
0xfffffff0080b7294: 1f01096b  cmp	w8, w9
0xfffffff0080b7298: 0a31891a  csel	w10, w8, w9, lo
0xfffffff0080b729c: 69a24c29  ldp	w9, w8, [x19, #0x64]
0xfffffff0080b72a0: 0901094b  sub	w9, w8, w9
0xfffffff0080b72a4: 4a01094b  sub	w10, w10, w9
0xfffffff0080b72a8: 5f050071  cmp	w10, #1
0xfffffff0080b72ac: aa000054  b.ge	#0xfffffff0080b72c0
0xfffffff0080b72b0: 6ad240b9  ldr	w10, [x19, #0xd0]
0xfffffff0080b72b4: 3f010a6b  cmp	w9, w10
0xfffffff0080b72b8: 29318a1a  csel	w9, w9, w10, lo
0xfffffff0080b72bc: 0801094b  sub	w8, w8, w9
0xfffffff0080b72c0: 686e00b9  str	w8, [x19, #0x6c]
0xfffffff0080b72c4: 680a01d0  adrp	x8, #0xfffffff00a205000
0xfffffff0080b72c8: 09354bb9  ldr	w9, [x8, #0xb34]
