; Candidate 8536
; ADRP+ADD at VM 0xfffffff0088b053c (fileoff 0x18ac53c): page=0x1fe939000 add_imm=0xe80

0xfffffff0088b04bc: 5f01096b  cmp	w10, w9
0xfffffff0088b04c0: ee079f1a  cset	w14, ne
0xfffffff0088b04c4: abb93f29  stp	w11, w14, [x13, #-4]
0xfffffff0088b04c8: 6b050011  add	w11, w11, #1
0xfffffff0088b04cc: 8c050091  add	x12, x12, #1
0xfffffff0088b04d0: ad410091  add	x13, x13, #0x10
0xfffffff0088b04d4: 290500f1  subs	x9, x9, #1
0xfffffff0088b04d8: 01ffff54  b.ne	#0xfffffff0088b04b8
0xfffffff0088b04dc: df0e0071  cmp	w22, #3
0xfffffff0088b04e0: 00040054  b.eq	#0xfffffff0088b0560
0xfffffff0088b04e4: df0a0071  cmp	w22, #2
0xfffffff0088b04e8: 00040054  b.eq	#0xfffffff0088b0568
0xfffffff0088b04ec: df060071  cmp	w22, #1
0xfffffff0088b04f0: 01050054  b.ne	#0xfffffff0088b0590
0xfffffff0088b04f4: bf8a01b9  str	wzr, [x21, #0x188]
0xfffffff0088b04f8: 53000014  b	#0xfffffff0088b0644
0xfffffff0088b04fc: 2c0f0094  bl	#0xfffffff0088b41ac
0xfffffff0088b0500: f80300aa  mov	x24, x0
0xfffffff0088b0504: 80008052  mov	w0, #4
0xfffffff0088b0508: d22cff97  bl	#0xfffffff00887b850
0xfffffff0088b050c: 680240b9  ldr	w8, [x19]
0xfffffff0088b0510: e8d303a9  stp	x8, x20, [sp, #0x38]
0xfffffff0088b0514: 084bff90  adrp	x8, #0xfffffff007210000
0xfffffff0088b0518: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088b051c: 29008152  mov	w9, #0x801
0xfffffff0088b0520: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088b0524: 284cff90  adrp	x8, #0xfffffff007234000
0xfffffff0088b0528: 08751191  add	x8, x8, #0x45d
0xfffffff0088b052c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088b0530: c80f8052  mov	w8, #0x7e
0xfffffff0088b0534: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088b0538: f80300f9  str	x24, [sp]
0xfffffff0088b053c: c049ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b0540: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b0544: c18aff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088b0548: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b054c: a34dff90  adrp	x3, #0xfffffff007264000
0xfffffff0088b0550: 63f81491  add	x3, x3, #0x53e
0xfffffff0088b0554: 02008052  mov	w2, #0
0xfffffff0088b0558: f60aea97  bl	#0xfffffff008333130
0xfffffff0088b055c: 3e000014  b	#0xfffffff0088b0654
0xfffffff0088b0560: 1f1d0071  cmp	w8, #7
0xfffffff0088b0564: 21050054  b.ne	#0xfffffff0088b0608
0xfffffff0088b0568: 28008052  mov	w8, #1
0xfffffff0088b056c: a88a01b9  str	w8, [x21, #0x188]
0xfffffff0088b0570: a90e40f9  ldr	x9, [x21, #0x18]
0xfffffff0088b0574: 290500d1  sub	x9, x9, #1
0xfffffff0088b0578: a9ca00f9  str	x9, [x21, #0x190]
0xfffffff0088b057c: a91640b9  ldr	w9, [x21, #0x14]
0xfffffff0088b0580: 29050051  sub	w9, w9, #1
0xfffffff0088b0584: a99a01b9  str	w9, [x21, #0x198]
0xfffffff0088b0588: a89e01b9  str	w8, [x21, #0x19c]
0xfffffff0088b058c: 2e000014  b	#0xfffffff0088b0644
0xfffffff0088b0590: c00f8052  mov	w0, #0x7e
0xfffffff0088b0594: 81008052  mov	w1, #4
0xfffffff0088b0598: 8e2cff97  bl	#0xfffffff00887b7d0
0xfffffff0088b059c: 60f7ff34  cbz	w0, #0xfffffff0088b0488
0xfffffff0088b05a0: c00f8052  mov	w0, #0x7e
0xfffffff0088b05a4: 9d2cff97  bl	#0xfffffff00887b818
0xfffffff0088b05a8: f80300aa  mov	x24, x0
0xfffffff0088b05ac: 000f0094  bl	#0xfffffff0088b41ac
0xfffffff0088b05b0: f70300aa  mov	x23, x0
0xfffffff0088b05b4: 80008052  mov	w0, #4
0xfffffff0088b05b8: a62cff97  bl	#0xfffffff00887b850
