; Candidate 7811
; ADRP+ADD at VM 0xfffffff008880f1c (fileoff 0x187cf1c): page=0x1fe969000 add_imm=0xe80

0xfffffff008880e9c: 60020034  cbz	w0, #0xfffffff008880ee8
0xfffffff008880ea0: 800b8052  mov	w0, #0x5c
0xfffffff008880ea4: 5deaff97  bl	#0xfffffff00887b818
0xfffffff008880ea8: f50300aa  mov	x21, x0
0xfffffff008880eac: c0cc0094  bl	#0xfffffff0088b41ac
0xfffffff008880eb0: f40300aa  mov	x20, x0
0xfffffff008880eb4: 80008052  mov	w0, #4
0xfffffff008880eb8: 66eaff97  bl	#0xfffffff00887b850
0xfffffff008880ebc: b5010034  cbz	w21, #0xfffffff008880ef0
0xfffffff008880ec0: 48178052  mov	w8, #0xba
0xfffffff008880ec4: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008880ec8: 684dff90  adrp	x8, #0xfffffff00722c000
0xfffffff008880ecc: 083d2f91  add	x8, x8, #0xbcf
0xfffffff008880ed0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008880ed4: 880b8052  mov	w8, #0x5c
0xfffffff008880ed8: f42300a9  stp	x20, x8, [sp]
0xfffffff008880edc: 604dff90  adrp	x0, #0xfffffff00722c000
0xfffffff008880ee0: 00942e91  add	x0, x0, #0xba5
0xfffffff008880ee4: 5fd9d497  bl	#0xfffffff007db7460
0xfffffff008880ee8: 000080d2  mov	x0, #0
0xfffffff008880eec: 15000014  b	#0xfffffff008880f40
0xfffffff008880ef0: afcc0094  bl	#0xfffffff0088b41ac
0xfffffff008880ef4: f40300aa  mov	x20, x0
0xfffffff008880ef8: 80008052  mov	w0, #4
0xfffffff008880efc: 55eaff97  bl	#0xfffffff00887b850
0xfffffff008880f00: 48178052  mov	w8, #0xba
0xfffffff008880f04: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008880f08: 684dff90  adrp	x8, #0xfffffff00722c000
0xfffffff008880f0c: 083d2f91  add	x8, x8, #0xbcf
0xfffffff008880f10: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008880f14: 880b8052  mov	w8, #0x5c
0xfffffff008880f18: f42300a9  stp	x20, x8, [sp]
0xfffffff008880f1c: 404bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008880f20: 00003a91  add	x0, x0, #0xe80
0xfffffff008880f24: 418cff90  adrp	x1, #0xfffffff007a08000
0xfffffff008880f28: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008880f2c: c34efff0  adrp	x3, #0xfffffff00725b000
0xfffffff008880f30: 63ac2791  add	x3, x3, #0x9eb
0xfffffff008880f34: 02008052  mov	w2, #0
0xfffffff008880f38: 7ec8ea97  bl	#0xfffffff008333130
0xfffffff008880f3c: 000080d2  mov	x0, #0
0xfffffff008880f40: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008880f44: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008880f48: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008880f4c: ff830191  add	sp, sp, #0x60
0xfffffff008880f50: ff0f5fd6  retab	
0xfffffff008880f54: 5f2403d5  bti	c
0xfffffff008880f58: 3f040071  cmp	w1, #1
0xfffffff008880f5c: 8b010054  b.lt	#0xfffffff008880f8c
0xfffffff008880f60: e80300aa  mov	x8, x0
0xfffffff008880f64: 000080d2  mov	x0, #0
0xfffffff008880f68: 29008052  mov	w9, #1
0xfffffff008880f6c: 2921c21a  lsl	w9, w9, w2
0xfffffff008880f70: ea03012a  mov	w10, w1
0xfffffff008880f74: 0b7960b8  ldr	w11, [x8, x0, lsl #2]
0xfffffff008880f78: 7f01096a  tst	w11, w9
0xfffffff008880f7c: a1000054  b.ne	#0xfffffff008880f90
0xfffffff008880f80: 00040091  add	x0, x0, #1
0xfffffff008880f84: 5f0100eb  cmp	x10, x0
0xfffffff008880f88: 61ffff54  b.ne	#0xfffffff008880f74
0xfffffff008880f8c: 00008012  mov	w0, #-1
0xfffffff008880f90: c0035fd6  ret	
0xfffffff008880f94: 7f2303d5  pacibsp	
0xfffffff008880f98: f44fbea9  stp	x20, x19, [sp, #-0x20]!
