; Candidate 8012
; ADRP+ADD at VM 0xfffffff00888e1fc (fileoff 0x188a1fc): page=0x1fe95b000 add_imm=0xe80

0xfffffff00888e17c: 88032837  tbnz	w8, #5, #0xfffffff00888e1ec
0xfffffff00888e180: e80240f9  ldr	x8, [x23]
0xfffffff00888e184: 692a5929  ldp	w9, w10, [x19, #0xc8]
0xfffffff00888e188: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff00888e18c: e80300f9  str	x8, [sp]
0xfffffff00888e190: 004dffb0  adrp	x0, #0xfffffff00722f000
0xfffffff00888e194: 004c0491  add	x0, x0, #0x113
0xfffffff00888e198: b2a4d497  bl	#0xfffffff007db7460
0xfffffff00888e19c: 20000014  b	#0xfffffff00888e21c
0xfffffff00888e1a0: 03980094  bl	#0xfffffff0088b41ac
0xfffffff00888e1a4: f80300aa  mov	x24, x0
0xfffffff00888e1a8: e00315aa  mov	x0, x21
0xfffffff00888e1ac: a9b5ff97  bl	#0xfffffff00887b850
0xfffffff00888e1b0: e80240f9  ldr	x8, [x23]
0xfffffff00888e1b4: 692a5929  ldp	w9, w10, [x19, #0xc8]
0xfffffff00888e1b8: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff00888e1bc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00888e1c0: e80314aa  mov	x8, x20
0xfffffff00888e1c4: f82300a9  stp	x24, x8, [sp]
0xfffffff00888e1c8: c04afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00888e1cc: 00003a91  add	x0, x0, #0xe80
0xfffffff00888e1d0: c18bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00888e1d4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888e1d8: 834eff90  adrp	x3, #0xfffffff00725e000
0xfffffff00888e1dc: 635c0b91  add	x3, x3, #0x2d7
0xfffffff00888e1e0: 02008052  mov	w2, #0
0xfffffff00888e1e4: d393ea97  bl	#0xfffffff008333130
0xfffffff00888e1e8: 0d000014  b	#0xfffffff00888e21c
0xfffffff00888e1ec: e80240f9  ldr	x8, [x23]
0xfffffff00888e1f0: 692a5929  ldp	w9, w10, [x19, #0xc8]
0xfffffff00888e1f4: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff00888e1f8: e80300f9  str	x8, [sp]
0xfffffff00888e1fc: c04afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00888e200: 00003a91  add	x0, x0, #0xe80
0xfffffff00888e204: c18bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00888e208: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888e20c: 834eff90  adrp	x3, #0xfffffff00725e000
0xfffffff00888e210: 63300b91  add	x3, x3, #0x2cc
0xfffffff00888e214: 02008052  mov	w2, #0
0xfffffff00888e218: c693ea97  bl	#0xfffffff008333130
0xfffffff00888e21c: 60018052  mov	w0, #0xb
0xfffffff00888e220: 65930094  bl	#0xfffffff0088b2fb4
0xfffffff00888e224: f70300aa  mov	x23, x0
0xfffffff00888e228: e00314aa  mov	x0, x20
0xfffffff00888e22c: e10315aa  mov	x1, x21
0xfffffff00888e230: 68b5ff97  bl	#0xfffffff00887b7d0
0xfffffff00888e234: e0080034  cbz	w0, #0xfffffff00888e350
0xfffffff00888e238: e00314aa  mov	x0, x20
0xfffffff00888e23c: 77b5ff97  bl	#0xfffffff00887b818
0xfffffff00888e240: 9602f837  tbnz	w22, #0x1f, #0xfffffff00888e290
0xfffffff00888e244: d9021b12  and	w25, w22, #0x20
0xfffffff00888e248: 1a000052  eor	w26, w0, #1
0xfffffff00888e24c: d8970094  bl	#0xfffffff0088b41ac
0xfffffff00888e250: f80300aa  mov	x24, x0
0xfffffff00888e254: e00315aa  mov	x0, x21
0xfffffff00888e258: 7eb5ff97  bl	#0xfffffff00887b850
0xfffffff00888e25c: 4817592a  orr	w8, w26, w25, lsr #5
0xfffffff00888e260: 28030037  tbnz	w8, #0, #0xfffffff00888e2c4
0xfffffff00888e264: e80240f9  ldr	x8, [x23]
0xfffffff00888e268: 692a5b29  ldp	w9, w10, [x19, #0xd8]
0xfffffff00888e26c: 6b325c29  ldp	w11, w12, [x19, #0xe0]
0xfffffff00888e270: eb3303a9  stp	x11, x12, [sp, #0x30]
0xfffffff00888e274: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff00888e278: e02301a9  stp	x0, x8, [sp, #0x10]
