; Candidate 845
; ADRP+ADD at VM 0xfffffff0080dcc98 (fileoff 0x10d8c98): page=0x1fefaf000 add_imm=0xd5e

0xfffffff0080dcc18: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff0080dcc1c: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff0080dcc20: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff0080dcc24: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff0080dcc28: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff0080dcc2c: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff0080dcc30: ff430291  add	sp, sp, #0x90
0xfffffff0080dcc34: ff0f5fd6  retab	
0xfffffff0080dcc38: c07cffd0  adrp	x0, #0xfffffff007076000
0xfffffff0080dcc3c: 00502691  add	x0, x0, #0x994
0xfffffff0080dcc40: c17cffd0  adrp	x1, #0xfffffff007076000
0xfffffff0080dcc44: 21bc1e91  add	x1, x1, #0x7af
0xfffffff0080dcc48: 22608252  mov	w2, #0x1301
0xfffffff0080dcc4c: f20a0f94  bl	#0xfffffff00849f814
0xfffffff0080dcc50: e07cfff0  adrp	x0, #0xfffffff00707b000
0xfffffff0080dcc54: 008c0791  add	x0, x0, #0x1e3
0xfffffff0080dcc58: c17cffd0  adrp	x1, #0xfffffff007076000
0xfffffff0080dcc5c: 21bc1e91  add	x1, x1, #0x7af
0xfffffff0080dcc60: c2d98052  mov	w2, #0x6ce
0xfffffff0080dcc64: ec0a0f94  bl	#0xfffffff00849f814
0xfffffff0080dcc68: 607dfff0  adrp	x0, #0xfffffff00708b000
0xfffffff0080dcc6c: 00581691  add	x0, x0, #0x596
0xfffffff0080dcc70: c17cffd0  adrp	x1, #0xfffffff007076000
0xfffffff0080dcc74: 21bc1e91  add	x1, x1, #0x7af
0xfffffff0080dcc78: e2d98052  mov	w2, #0x6cf
0xfffffff0080dcc7c: e60a0f94  bl	#0xfffffff00849f814
0xfffffff0080dcc80: c07cfff0  adrp	x0, #0xfffffff007077000
0xfffffff0080dcc84: 00f00b91  add	x0, x0, #0x2fc
0xfffffff0080dcc88: c17cffd0  adrp	x1, #0xfffffff007076000
0xfffffff0080dcc8c: 21bc1e91  add	x1, x1, #0x7af
0xfffffff0080dcc90: 02da8052  mov	w2, #0x6d0
0xfffffff0080dcc94: e00a0f94  bl	#0xfffffff00849f814
0xfffffff0080dcc98: 607dfff0  adrp	x0, #0xfffffff00708b000
0xfffffff0080dcc9c: 00783591  add	x0, x0, #0xd5e
0xfffffff0080dcca0: c17cffd0  adrp	x1, #0xfffffff007076000
0xfffffff0080dcca4: 21bc1e91  add	x1, x1, #0x7af
0xfffffff0080dcca8: e2db8052  mov	w2, #0x6df
0xfffffff0080dccac: da0a0f94  bl	#0xfffffff00849f814
0xfffffff0080dccb0: c07cffd0  adrp	x0, #0xfffffff007076000
0xfffffff0080dccb4: 00d02e91  add	x0, x0, #0xbb4
0xfffffff0080dccb8: c17cffd0  adrp	x1, #0xfffffff007076000
0xfffffff0080dccbc: 21bc1e91  add	x1, x1, #0x7af
0xfffffff0080dccc0: c2608252  mov	w2, #0x1306
0xfffffff0080dccc4: d40a0f94  bl	#0xfffffff00849f814
0xfffffff0080dccc8: 48a78052  mov	w8, #0x53a
0xfffffff0080dcccc: c97cffd0  adrp	x9, #0xfffffff007076000
0xfffffff0080dccd0: 29052391  add	x9, x9, #0x8c1
0xfffffff0080dccd4: ca7cfff0  adrp	x10, #0xfffffff007077000
0xfffffff0080dccd8: 4a3d0291  add	x10, x10, #0x8f
0xfffffff0080dccdc: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0080dcce0: ea5b00a9  stp	x10, x22, [sp]
0xfffffff0080dcce4: c07cfff0  adrp	x0, #0xfffffff007077000
0xfffffff0080dcce8: 00a80191  add	x0, x0, #0x6a
0xfffffff0080dccec: 08de0e94  bl	#0xfffffff00849450c
0xfffffff0080dccf0: 68a88052  mov	w8, #0x543
0xfffffff0080dccf4: c97cffd0  adrp	x9, #0xfffffff007076000
0xfffffff0080dccf8: 29052391  add	x9, x9, #0x8c1
0xfffffff0080dccfc: ca7cfff0  adrp	x10, #0xfffffff007077000
0xfffffff0080dcd00: 4a550191  add	x10, x10, #0x55
0xfffffff0080dcd04: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0080dcd08: ea5b00a9  stp	x10, x22, [sp]
0xfffffff0080dcd0c: c07cfff0  adrp	x0, #0xfffffff007077000
0xfffffff0080dcd10: 00c80091  add	x0, x0, #0x32
0xfffffff0080dcd14: fedd0e94  bl	#0xfffffff00849450c
