; Candidate 11223
; ADRP+ADD at VM 0xfffffff008eb5fc0 (fileoff 0x1eb1fc0): page=0x1fe529000 add_imm=0xd0a

0xfffffff008eb5f40: 88520091  add	x8, x20, #0x14
0xfffffff008eb5f44: 89720291  add	x9, x20, #0x9c
0xfffffff008eb5f48: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008eb5f4c: 88620191  add	x8, x20, #0x58
0xfffffff008eb5f50: e87f03a9  stp	x8, xzr, [sp, #0x30]
0xfffffff008eb5f54: e1430091  add	x1, sp, #0x10
0xfffffff008eb5f58: e00313aa  mov	x0, x19
0xfffffff008eb5f5c: 00fcff97  bl	#0xfffffff008eb4f5c
0xfffffff008eb5f60: 00008052  mov	w0, #0
0xfffffff008eb5f64: 681e40b9  ldr	w8, [x19, #0x1c]
0xfffffff008eb5f68: 880e00b9  str	w8, [x20, #0xc]
0xfffffff008eb5f6c: 682240b9  ldr	w8, [x19, #0x20]
0xfffffff008eb5f70: 881200b9  str	w8, [x20, #0x10]
0xfffffff008eb5f74: 68224039  ldrb	w8, [x19, #8]
0xfffffff008eb5f78: 89224039  ldrb	w9, [x20, #8]
0xfffffff008eb5f7c: 09010033  bfxil	w9, w8, #0, #1
0xfffffff008eb5f80: 89220039  strb	w9, [x20, #8]
0xfffffff008eb5f84: 14000014  b	#0xfffffff008eb5fd4
0xfffffff008eb5f88: 88220091  add	x8, x20, #8
0xfffffff008eb5f8c: 89320191  add	x9, x20, #0x4c
0xfffffff008eb5f90: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008eb5f94: ff7f02a9  stp	xzr, xzr, [sp, #0x20]
0xfffffff008eb5f98: 68224039  ldrb	w8, [x19, #8]
0xfffffff008eb5f9c: 88000036  tbz	w8, #0, #0xfffffff008eb5fac
0xfffffff008eb5fa0: e1430091  add	x1, sp, #0x10
0xfffffff008eb5fa4: e00313aa  mov	x0, x19
0xfffffff008eb5fa8: 39fdff97  bl	#0xfffffff008eb548c
0xfffffff008eb5fac: 00008052  mov	w0, #0
0xfffffff008eb5fb0: 09000014  b	#0xfffffff008eb5fd4
0xfffffff008eb5fb4: 4829ffb0  adrp	x8, #0xfffffff0073de000
0xfffffff008eb5fb8: 08a53491  add	x8, x8, #0xd29
0xfffffff008eb5fbc: e80300f9  str	x8, [sp]
0xfffffff008eb5fc0: 4029ffb0  adrp	x0, #0xfffffff0073de000
0xfffffff008eb5fc4: 00283491  add	x0, x0, #0xd0a
0xfffffff008eb5fc8: 1684d297  bl	#0xfffffff008357020
0xfffffff008eb5fcc: 80578052  mov	w0, #0x2bc
0xfffffff008eb5fd0: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff008eb5fd4: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008eb5fd8: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008eb5fdc: ff830191  add	sp, sp, #0x60
0xfffffff008eb5fe0: ff0f5fd6  retab	
0xfffffff008eb5fe4: 7f2303d5  pacibsp	
0xfffffff008eb5fe8: ffc301d1  sub	sp, sp, #0x70
0xfffffff008eb5fec: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008eb5ff0: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff008eb5ff4: fd830191  add	x29, sp, #0x60
0xfffffff008eb5ff8: f40300aa  mov	x20, x0
0xfffffff008eb5ffc: 40588052  mov	w0, #0x2c2
0xfffffff008eb6000: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff008eb6004: 22070035  cbnz	w2, #0xfffffff008eb60e8
0xfffffff008eb6008: 030700b4  cbz	x3, #0xfffffff008eb60e8
0xfffffff008eb600c: 881a40b9  ldr	w8, [x20, #0x18]
0xfffffff008eb6010: 087d081b  mul	w8, w8, w8
0xfffffff008eb6014: 0805080b  add	w8, w8, w8, lsl #1
0xfffffff008eb6018: 085d1853  lsl	w8, w8, #8
0xfffffff008eb601c: 1f01046b  cmp	w8, w4
0xfffffff008eb6020: 48060054  b.hi	#0xfffffff008eb60e8
0xfffffff008eb6024: f30301aa  mov	x19, x1
0xfffffff008eb6028: 48008052  mov	w8, #2
0xfffffff008eb602c: 280000b9  str	w8, [x1]
0xfffffff008eb6030: 88224039  ldrb	w8, [x20, #8]
0xfffffff008eb6034: 29204039  ldrb	w9, [x1, #8]
0xfffffff008eb6038: 09010033  bfxil	w9, w8, #0, #1
0xfffffff008eb603c: 29200039  strb	w9, [x1, #8]
