; Candidate 604
; ADRP+ADD at VM 0xfffffff007fa99e0 (fileoff 0xfa59e0): page=0x2204000 add_imm=0xd10

0xfffffff007fa9960: a27e4093  sxtw	x2, w21
0xfffffff007fa9964: e10316aa  mov	x1, x22
0xfffffff007fa9968: f1048dd2  mov	x17, #0x6827
0xfffffff007fa996c: 11093fd7  blraa	x8, x17
0xfffffff007fa9970: f40300aa  mov	x20, x0
0xfffffff007fa9974: 02000014  b	#0xfffffff007fa997c
0xfffffff007fa9978: 14008052  mov	w20, #0
0xfffffff007fa997c: e00313aa  mov	x0, x19
0xfffffff007fa9980: 5ce9ff97  bl	#0xfffffff007fa3ef0
0xfffffff007fa9984: e80740f9  ldr	x8, [sp, #8]
0xfffffff007fa9988: e80300f9  str	x8, [sp]
0xfffffff007fa998c: e0030091  mov	x0, sp
0xfffffff007fa9990: 0a7c0794  bl	#0xfffffff0081889b8
0xfffffff007fa9994: e00314aa  mov	x0, x20
0xfffffff007fa9998: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff007fa999c: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff007fa99a0: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff007fa99a4: ff430291  add	sp, sp, #0x90
0xfffffff007fa99a8: ff0f5fd6  retab	
0xfffffff007fa99ac: 28ceffd0  adrp	x8, #0xfffffff00796f000
0xfffffff007fa99b0: 009544f9  ldr	x0, [x8, #0x928]
0xfffffff007fa99b4: 84ffff17  b	#0xfffffff007fa97c4
0xfffffff007fa99b8: 7f2303d5  pacibsp	
0xfffffff007fa99bc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff007fa99c0: fd030091  mov	x29, sp
0xfffffff007fa99c4: 08104039  ldrb	w8, [x0, #4]
0xfffffff007fa99c8: 08020837  tbnz	w8, #1, #0xfffffff007fa9a08
0xfffffff007fa99cc: a81401b0  adrp	x8, #0xfffffff00a23e000
0xfffffff007fa99d0: 097945f9  ldr	x9, [x8, #0xaf0]
0xfffffff007fa99d4: 690200b5  cbnz	x9, #0xfffffff007fa9a20
0xfffffff007fa99d8: e10300aa  mov	x1, x0
0xfffffff007fa99dc: 007905f9  str	x0, [x8, #0xaf0]
0xfffffff007fa99e0: 20100190  adrp	x0, #0xfffffff00a1ad000
0xfffffff007fa99e4: 00403491  add	x0, x0, #0xd10
0xfffffff007fa99e8: 22008052  mov	w2, #1
0xfffffff007fa99ec: edb80994  bl	#0xfffffff008217da0
0xfffffff007fa99f0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff007fa99f4: ff2303d5  autibsp	
0xfffffff007fa99f8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007fa99fc: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007fa9a04
0xfffffff007fa9a00: 208e38d4  brk	#0xc471
0xfffffff007fa9a04: 82d5ff17  b	#0xfffffff007f9f00c
0xfffffff007fa9a08: 0087fff0  adrp	x0, #0xfffffff00708c000
0xfffffff007fa9a0c: 00e80291  add	x0, x0, #0xba
0xfffffff007fa9a10: e185ffb0  adrp	x1, #0xfffffff007066000
0xfffffff007fa9a14: 21b80091  add	x1, x1, #0x2e
0xfffffff007fa9a18: e21d8152  mov	w2, #0x8ef
0xfffffff007fa9a1c: 7ed71394  bl	#0xfffffff00849f814
0xfffffff007fa9a20: e085ffb0  adrp	x0, #0xfffffff007066000
0xfffffff007fa9a24: 00cc0291  add	x0, x0, #0xb3
0xfffffff007fa9a28: e185ffb0  adrp	x1, #0xfffffff007066000
0xfffffff007fa9a2c: 21b80091  add	x1, x1, #0x2e
0xfffffff007fa9a30: 021e8152  mov	w2, #0x8f0
0xfffffff007fa9a34: 78d71394  bl	#0xfffffff00849f814
0xfffffff007fa9a38: 5f2403d5  bti	c
0xfffffff007fa9a3c: 481001f0  adrp	x8, #0xfffffff00a1b4000
0xfffffff007fa9a40: 101943f9  ldr	x16, [x8, #0x630]
0xfffffff007fa9a44: d19f9cd2  mov	x17, #0xe4fe
0xfffffff007fa9a48: 110a1fd7  braa	x16, x17
0xfffffff007fa9a4c: 5f2403d5  bti	c
0xfffffff007fa9a50: 481001f0  adrp	x8, #0xfffffff00a1b4000
0xfffffff007fa9a54: 101543f9  ldr	x16, [x8, #0x628]
0xfffffff007fa9a58: 510f86d2  mov	x17, #0x307a
0xfffffff007fa9a5c: 110a1fd7  braa	x16, x17
