; Candidate 13799
; ADRP+ADD at VM 0xfffffff00958f018 (fileoff 0x258b018): page=0xdf9000 add_imm=0xd68

0xfffffff00958ef98: c0020cad  stp	q0, q0, [x22, #0x180]
0xfffffff00958ef9c: c0020bad  stp	q0, q0, [x22, #0x160]
0xfffffff00958efa0: c0020aad  stp	q0, q0, [x22, #0x140]
0xfffffff00958efa4: c00209ad  stp	q0, q0, [x22, #0x120]
0xfffffff00958efa8: c00208ad  stp	q0, q0, [x22, #0x100]
0xfffffff00958efac: c00207ad  stp	q0, q0, [x22, #0xe0]
0xfffffff00958efb0: c00206ad  stp	q0, q0, [x22, #0xc0]
0xfffffff00958efb4: c00205ad  stp	q0, q0, [x22, #0xa0]
0xfffffff00958efb8: c00204ad  stp	q0, q0, [x22, #0x80]
0xfffffff00958efbc: c00203ad  stp	q0, q0, [x22, #0x60]
0xfffffff00958efc0: c00202ad  stp	q0, q0, [x22, #0x40]
0xfffffff00958efc4: c00201ad  stp	q0, q0, [x22, #0x20]
0xfffffff00958efc8: c006803d  str	q0, [x22, #0x10]
0xfffffff00958efcc: 68ba43f9  ldr	x8, [x19, #0x770]
0xfffffff00958efd0: 882600b5  cbnz	x8, #0xfffffff00958f4a0
0xfffffff00958efd4: f40300aa  mov	x20, x0
0xfffffff00958efd8: 601a40f9  ldr	x0, [x19, #0x30]
0xfffffff00958efdc: 0aa8a697  bl	#0xfffffff007f39004
0xfffffff00958efe0: 37008052  mov	w23, #1
0xfffffff00958efe4: e2230291  add	x2, sp, #0x88
0xfffffff00958efe8: 41008052  mov	w1, #2
0xfffffff00958efec: 23008052  mov	w3, #1
0xfffffff00958eff0: 04008052  mov	w4, #0
0xfffffff00958eff4: ee060094  bl	#0xfffffff009590bac
0xfffffff00958eff8: fb0300aa  mov	x27, x0
0xfffffff00958effc: c0180035  cbnz	w0, #0xfffffff00958f314
0xfffffff00958f000: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00958f004: e00303ad  stp	q0, q0, [sp, #0x60]
0xfffffff00958f008: 48fefeb0  adrp	x8, #0xfffffff007558000
0xfffffff00958f00c: 00d540fd  ldr	d0, [x8, #0x1a8]
0xfffffff00958f010: e02300fd  str	d0, [sp, #0x40]
0xfffffff00958f014: ffff04a9  stp	xzr, xzr, [sp, #0x48]
0xfffffff00958f018: c06f00b0  adrp	x0, #0xfffffff00a388000
0xfffffff00958f01c: 00a03591  add	x0, x0, #0xd68
0xfffffff00958f020: e02f00f9  str	x0, [sp, #0x58]
0xfffffff00958f024: 08028052  mov	w8, #0x10
0xfffffff00958f028: e86300b9  str	w8, [sp, #0x60]
0xfffffff00958f02c: e03700f9  str	x0, [sp, #0x68]
0xfffffff00958f030: 74399f97  bl	#0xfffffff007d5d600
0xfffffff00958f034: e07300b9  str	w0, [sp, #0x70]
0xfffffff00958f038: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00958f03c: e04307fc  stur	d0, [sp, #0x74]
0xfffffff00958f040: ffa300b9  str	wzr, [sp, #0xa0]
0xfffffff00958f044: f77301b9  str	w23, [sp, #0x170]
0xfffffff00958f048: 08309052  mov	w8, #0x8180
0xfffffff00958f04c: e8bb0179  strh	w8, [sp, #0xdc]
0xfffffff00958f050: c04204fc  stur	d0, [x22, #0x44]
0xfffffff00958f054: 48fefeb0  adrp	x8, #0xfffffff007558000
0xfffffff00958f058: 001dc03d  ldr	q0, [x8, #0x70]
0xfffffff00958f05c: e027803d  str	q0, [sp, #0x90]
0xfffffff00958f060: e00313aa  mov	x0, x19
0xfffffff00958f064: 7f600094  bl	#0xfffffff0095a7260
0xfffffff00958f068: f64740f9  ldr	x22, [sp, #0x88]
0xfffffff00958f06c: a0000034  cbz	w0, #0xfffffff00958f080
0xfffffff00958f070: e00316aa  mov	x0, x22
0xfffffff00958f074: abe9a597  bl	#0xfffffff007f09720
0xfffffff00958f078: db028052  mov	w27, #0x16
0xfffffff00958f07c: a6000014  b	#0xfffffff00958f314
0xfffffff00958f080: e1030291  add	x1, sp, #0x80
0xfffffff00958f084: e2030191  add	x2, sp, #0x40
0xfffffff00958f088: e3430291  add	x3, sp, #0x90
0xfffffff00958f08c: e00316aa  mov	x0, x22
0xfffffff00958f090: 040080d2  mov	x4, #0
0xfffffff00958f094: c34eff97  bl	#0xfffffff009562ba0
