; Candidate 10277
; ADRP+ADD at VM 0xfffffff008cd0cb4 (fileoff 0x1ccccb4): page=0x1fe696000 add_imm=0xd0e

0xfffffff008cd0c34: 408e38d4  brk	#0xc472
0xfffffff008cd0c38: 08421891  add	x8, x16, #0x610
0xfffffff008cd0c3c: 090a43f9  ldr	x9, [x16, #0x610]
0xfffffff008cd0c40: e00313aa  mov	x0, x19
0xfffffff008cd0c44: e10314aa  mov	x1, x20
0xfffffff008cd0c48: f10308aa  mov	x17, x8
0xfffffff008cd0c4c: b12df0f2  movk	x17, #0x816d, lsl #48
0xfffffff008cd0c50: 31093fd7  blraa	x9, x17
0xfffffff008cd0c54: 20008052  mov	w0, #1
0xfffffff008cd0c58: 34000014  b	#0xfffffff008cd0d28
0xfffffff008cd0c5c: 68224239  ldrb	w8, [x19, #0x88]
0xfffffff008cd0c60: 28060036  tbz	w8, #0, #0xfffffff008cd0d24
0xfffffff008cd0c64: 700240f9  ldr	x16, [x19]
0xfffffff008cd0c68: f10313aa  mov	x17, x19
0xfffffff008cd0c6c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008cd0c70: 301ac1da  autda	x16, x17
0xfffffff008cd0c74: 113d80d2  mov	x17, #0x1e8
0xfffffff008cd0c78: 1002118b  add	x16, x16, x17
0xfffffff008cd0c7c: 080240f9  ldr	x8, [x16]
0xfffffff008cd0c80: e90310aa  mov	x9, x16
0xfffffff008cd0c84: e00313aa  mov	x0, x19
0xfffffff008cd0c88: 010080d2  mov	x1, #0
0xfffffff008cd0c8c: f10309aa  mov	x17, x9
0xfffffff008cd0c90: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008cd0c94: 11093fd7  blraa	x8, x17
0xfffffff008cd0c98: 280a8052  mov	w8, #0x51
0xfffffff008cd0c9c: a934ffd0  adrp	x9, #0xfffffff007366000
0xfffffff008cd0ca0: 29e13291  add	x9, x9, #0xcb8
0xfffffff008cd0ca4: aa34ffd0  adrp	x10, #0xfffffff007366000
0xfffffff008cd0ca8: 4a213191  add	x10, x10, #0xc48
0xfffffff008cd0cac: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008cd0cb0: e02b00a9  stp	x0, x10, [sp]
0xfffffff008cd0cb4: a034ffd0  adrp	x0, #0xfffffff007366000
0xfffffff008cd0cb8: 00383491  add	x0, x0, #0xd0e
0xfffffff008cd0cbc: 19000014  b	#0xfffffff008cd0d20
0xfffffff008cd0cc0: 68224239  ldrb	w8, [x19, #0x88]
0xfffffff008cd0cc4: 08030036  tbz	w8, #0, #0xfffffff008cd0d24
0xfffffff008cd0cc8: 700240f9  ldr	x16, [x19]
0xfffffff008cd0ccc: f10313aa  mov	x17, x19
0xfffffff008cd0cd0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008cd0cd4: 301ac1da  autda	x16, x17
0xfffffff008cd0cd8: 113d80d2  mov	x17, #0x1e8
0xfffffff008cd0cdc: 1002118b  add	x16, x16, x17
0xfffffff008cd0ce0: 080240f9  ldr	x8, [x16]
0xfffffff008cd0ce4: e90310aa  mov	x9, x16
0xfffffff008cd0ce8: e00313aa  mov	x0, x19
0xfffffff008cd0cec: 010080d2  mov	x1, #0
0xfffffff008cd0cf0: f10309aa  mov	x17, x9
0xfffffff008cd0cf4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008cd0cf8: 11093fd7  blraa	x8, x17
0xfffffff008cd0cfc: 480b8052  mov	w8, #0x5a
0xfffffff008cd0d00: a934ffd0  adrp	x9, #0xfffffff007366000
0xfffffff008cd0d04: 29e13291  add	x9, x9, #0xcb8
0xfffffff008cd0d08: aa34ffd0  adrp	x10, #0xfffffff007366000
0xfffffff008cd0d0c: 4a213191  add	x10, x10, #0xc48
0xfffffff008cd0d10: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008cd0d14: e02b00a9  stp	x0, x10, [sp]
0xfffffff008cd0d18: a034ffd0  adrp	x0, #0xfffffff007366000
0xfffffff008cd0d1c: 00bc3491  add	x0, x0, #0xd2f
0xfffffff008cd0d20: c018da97  bl	#0xfffffff008357020
0xfffffff008cd0d24: 00008052  mov	w0, #0
0xfffffff008cd0d28: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008cd0d2c: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008cd0d30: f65743a9  ldp	x22, x21, [sp, #0x30]
