; Candidate 15293
; ADRP+ADD at VM 0xfffffff009b4a578 (fileoff 0x2b46578): page=0x1fdade000 add_imm=0xed0

0xfffffff009b4a4f8: 40000054  b.eq	#0xfffffff009b4a500
0xfffffff009b4a4fc: 408e38d4  brk	#0xc472
0xfffffff009b4a500: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b4a504: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b4a508: e00313aa  mov	x0, x19
0xfffffff009b4a50c: 010080d2  mov	x1, #0
0xfffffff009b4a510: f10308aa  mov	x17, x8
0xfffffff009b4a514: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b4a518: 31093fd7  blraa	x9, x17
0xfffffff009b4a51c: f60300aa  mov	x22, x0
0xfffffff009b4a520: 700240f9  ldr	x16, [x19]
0xfffffff009b4a524: f10313aa  mov	x17, x19
0xfffffff009b4a528: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b4a52c: 301ac1da  autda	x16, x17
0xfffffff009b4a530: f10310aa  mov	x17, x16
0xfffffff009b4a534: f147c1da  xpacd	x17
0xfffffff009b4a538: 1f0211eb  cmp	x16, x17
0xfffffff009b4a53c: 40000054  b.eq	#0xfffffff009b4a544
0xfffffff009b4a540: 408e38d4  brk	#0xc472
0xfffffff009b4a544: 08620891  add	x8, x16, #0x218
0xfffffff009b4a548: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b4a54c: e00313aa  mov	x0, x19
0xfffffff009b4a550: 010080d2  mov	x1, #0
0xfffffff009b4a554: f10308aa  mov	x17, x8
0xfffffff009b4a558: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b4a55c: 31093fd7  blraa	x9, x17
0xfffffff009b4a560: 08d7fe90  adrp	x8, #0xfffffff00762a000
0xfffffff009b4a564: 085d0291  add	x8, x8, #0x97
0xfffffff009b4a568: e9d6fef0  adrp	x9, #0xfffffff007629000
0xfffffff009b4a56c: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b4a570: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b4a574: f60300a9  stp	x22, x0, [sp]
0xfffffff009b4a578: e0d6fed0  adrp	x0, #0xfffffff007628000
0xfffffff009b4a57c: 00403b91  add	x0, x0, #0xed0
0xfffffff009b4a580: 03d7feb0  adrp	x3, #0xfffffff00762b000
0xfffffff009b4a584: 63183b91  add	x3, x3, #0xec6
0xfffffff009b4a588: e10315aa  mov	x1, x21
0xfffffff009b4a58c: e20314aa  mov	x2, x20
0xfffffff009b4a590: e8a29f97  bl	#0xfffffff008333130
0xfffffff009b4a594: 14008052  mov	w20, #0
0xfffffff009b4a598: 50000014  b	#0xfffffff009b4a6d8
0xfffffff009b4a59c: 88027d92  and	x8, x20, #8
0xfffffff009b4a5a0: 08fd42d3  lsr	x8, x8, #2
0xfffffff009b4a5a4: 14011f52  eor	w20, w8, #2
0xfffffff009b4a5a8: 700240f9  ldr	x16, [x19]
0xfffffff009b4a5ac: f10313aa  mov	x17, x19
0xfffffff009b4a5b0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b4a5b4: 301ac1da  autda	x16, x17
0xfffffff009b4a5b8: 113d80d2  mov	x17, #0x1e8
0xfffffff009b4a5bc: 1002118b  add	x16, x16, x17
0xfffffff009b4a5c0: 080240f9  ldr	x8, [x16]
0xfffffff009b4a5c4: e90310aa  mov	x9, x16
0xfffffff009b4a5c8: e00313aa  mov	x0, x19
0xfffffff009b4a5cc: 010080d2  mov	x1, #0
0xfffffff009b4a5d0: f10309aa  mov	x17, x9
0xfffffff009b4a5d4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b4a5d8: 11093fd7  blraa	x8, x17
0xfffffff009b4a5dc: 700240f9  ldr	x16, [x19]
0xfffffff009b4a5e0: f10313aa  mov	x17, x19
0xfffffff009b4a5e4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b4a5e8: 301ac1da  autda	x16, x17
0xfffffff009b4a5ec: 114380d2  mov	x17, #0x218
0xfffffff009b4a5f0: 1002118b  add	x16, x16, x17
0xfffffff009b4a5f4: 080240f9  ldr	x8, [x16]
