; Candidate 6656
; ADRP+ADD at VM 0xfffffff008838574 (fileoff 0x1834574): page=0x1fe9b1000 add_imm=0xe80

0xfffffff0088384f4: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff0088384f8: 898eff90  adrp	x9, #0xfffffff007a08000
0xfffffff0088384fc: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff008838500: 290140f9  ldr	x9, [x9]
0xfffffff008838504: 3f0108eb  cmp	x9, x8
0xfffffff008838508: c1070054  b.ne	#0xfffffff008838600
0xfffffff00883850c: e00316aa  mov	x0, x22
0xfffffff008838510: fd7b50a9  ldp	x29, x30, [sp, #0x100]
0xfffffff008838514: f44f4fa9  ldp	x20, x19, [sp, #0xf0]
0xfffffff008838518: f6574ea9  ldp	x22, x21, [sp, #0xe0]
0xfffffff00883851c: f85f4da9  ldp	x24, x23, [sp, #0xd0]
0xfffffff008838520: fa674ca9  ldp	x26, x25, [sp, #0xc0]
0xfffffff008838524: fc6f4ba9  ldp	x28, x27, [sp, #0xb0]
0xfffffff008838528: ff430491  add	sp, sp, #0x110
0xfffffff00883852c: ff0f5fd6  retab	
0xfffffff008838530: 1fef0194  bl	#0xfffffff0088b41ac
0xfffffff008838534: f30300aa  mov	x19, x0
0xfffffff008838538: 80008052  mov	w0, #4
0xfffffff00883853c: c50c0194  bl	#0xfffffff00887b850
0xfffffff008838540: e80316aa  mov	x8, x22
0xfffffff008838544: 895a40b9  ldr	w9, [x20, #0x58]
0xfffffff008838548: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff00883854c: f75303a9  stp	x23, x20, [sp, #0x30]
0xfffffff008838550: c84eff90  adrp	x8, #0xfffffff007210000
0xfffffff008838554: 08b92791  add	x8, x8, #0x9ee
0xfffffff008838558: 49158052  mov	w9, #0xaa
0xfffffff00883855c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008838560: 484ffff0  adrp	x8, #0xfffffff007223000
0xfffffff008838564: 08d11491  add	x8, x8, #0x534
0xfffffff008838568: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883856c: 880a8052  mov	w8, #0x54
0xfffffff008838570: f32300a9  stp	x19, x8, [sp]
0xfffffff008838574: 804dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008838578: 00003a91  add	x0, x0, #0xe80
0xfffffff00883857c: 818eff90  adrp	x1, #0xfffffff007a08000
0xfffffff008838580: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008838584: a350ffd0  adrp	x3, #0xfffffff00724e000
0xfffffff008838588: 63281891  add	x3, x3, #0x60a
0xfffffff00883858c: 02008052  mov	w2, #0
0xfffffff008838590: e8eaeb97  bl	#0xfffffff008333130
0xfffffff008838594: a6ffff17  b	#0xfffffff00883842c
0xfffffff008838598: 05ef0194  bl	#0xfffffff0088b41ac
0xfffffff00883859c: f30300aa  mov	x19, x0
0xfffffff0088385a0: 80008052  mov	w0, #4
0xfffffff0088385a4: ab0c0194  bl	#0xfffffff00887b850
0xfffffff0088385a8: e80316aa  mov	x8, x22
0xfffffff0088385ac: 895a40b9  ldr	w9, [x20, #0x58]
0xfffffff0088385b0: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff0088385b4: f75303a9  stp	x23, x20, [sp, #0x30]
0xfffffff0088385b8: c84eff90  adrp	x8, #0xfffffff007210000
0xfffffff0088385bc: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088385c0: e9158052  mov	w9, #0xaf
0xfffffff0088385c4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088385c8: 484ffff0  adrp	x8, #0xfffffff007223000
0xfffffff0088385cc: 08d11491  add	x8, x8, #0x534
0xfffffff0088385d0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088385d4: 880a8052  mov	w8, #0x54
0xfffffff0088385d8: f32300a9  stp	x19, x8, [sp]
0xfffffff0088385dc: 804dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088385e0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088385e4: 818eff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088385e8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088385ec: a350ffd0  adrp	x3, #0xfffffff00724e000
0xfffffff0088385f0: 63601991  add	x3, x3, #0x658
