; Candidate 13170
; ADRP+ADD at VM 0xfffffff009201c78 (fileoff 0x21fdc78): page=0x1fe2a6000 add_imm=0xcf4

0xfffffff009201bf8: b00240f9  ldr	x16, [x21]
0xfffffff009201bfc: f10315aa  mov	x17, x21
0xfffffff009201c00: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009201c04: 301ac1da  autda	x16, x17
0xfffffff009201c08: f10310aa  mov	x17, x16
0xfffffff009201c0c: f147c1da  xpacd	x17
0xfffffff009201c10: 1f0211eb  cmp	x16, x17
0xfffffff009201c14: 40000054  b.eq	#0xfffffff009201c1c
0xfffffff009201c18: 408e38d4  brk	#0xc472
0xfffffff009201c1c: 08820a91  add	x8, x16, #0x2a0
0xfffffff009201c20: 095241f9  ldr	x9, [x16, #0x2a0]
0xfffffff009201c24: e00315aa  mov	x0, x21
0xfffffff009201c28: 01008052  mov	w1, #0
0xfffffff009201c2c: f10308aa  mov	x17, x8
0xfffffff009201c30: 31abeff2  movk	x17, #0x7d59, lsl #48
0xfffffff009201c34: 31093fd7  blraa	x9, x17
0xfffffff009201c38: 900240f9  ldr	x16, [x20]
0xfffffff009201c3c: f10314aa  mov	x17, x20
0xfffffff009201c40: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009201c44: 301ac1da  autda	x16, x17
0xfffffff009201c48: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009201c4c: e90310aa  mov	x9, x16
0xfffffff009201c50: e00314aa  mov	x0, x20
0xfffffff009201c54: f10309aa  mov	x17, x9
0xfffffff009201c58: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009201c5c: 11093fd7  blraa	x8, x17
0xfffffff009201c60: 0c000014  b	#0xfffffff009201c90
0xfffffff009201c64: 00008052  mov	w0, #0
0xfffffff009201c68: 0b000014  b	#0xfffffff009201c94
0xfffffff009201c6c: 2015ffd0  adrp	x0, #0xfffffff0074a7000
0xfffffff009201c70: 00e43291  add	x0, x0, #0xcb9
0xfffffff009201c74: 06000014  b	#0xfffffff009201c8c
0xfffffff009201c78: 2015ffd0  adrp	x0, #0xfffffff0074a7000
0xfffffff009201c7c: 00d03391  add	x0, x0, #0xcf4
0xfffffff009201c80: 03000014  b	#0xfffffff009201c8c
0xfffffff009201c84: 2015ffd0  adrp	x0, #0xfffffff0074a7000
0xfffffff009201c88: 00bc3491  add	x0, x0, #0xd2f
0xfffffff009201c8c: e554c597  bl	#0xfffffff008357020
0xfffffff009201c90: 20008052  mov	w0, #1
0xfffffff009201c94: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009201c98: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff009201c9c: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff009201ca0: ff430191  add	sp, sp, #0x50
0xfffffff009201ca4: ff0f5fd6  retab	
0xfffffff009201ca8: 36220094  bl	#0xfffffff00920a580
0xfffffff009201cac: 84210094  bl	#0xfffffff00920a2bc
0xfffffff009201cb0: 96210094  bl	#0xfffffff00920a308
0xfffffff009201cb4: a8210094  bl	#0xfffffff00920a354
0xfffffff009201cb8: ba210094  bl	#0xfffffff00920a3a0
0xfffffff009201cbc: 1e220094  bl	#0xfffffff00920a534
0xfffffff009201cc0: cb210094  bl	#0xfffffff00920a3ec
0xfffffff009201cc4: 11220094  bl	#0xfffffff00920a508
0xfffffff009201cc8: e0630091  add	x0, sp, #0x18
0xfffffff009201ccc: 01220094  bl	#0xfffffff00920a4d0
0xfffffff009201cd0: da210094  bl	#0xfffffff00920a438
0xfffffff009201cd4: ec210094  bl	#0xfffffff00920a484
0xfffffff009201cd8: 7f2303d5  pacibsp	
0xfffffff009201cdc: ffc300d1  sub	sp, sp, #0x30
0xfffffff009201ce0: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009201ce4: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009201ce8: fd830091  add	x29, sp, #0x20
0xfffffff009201cec: f30300aa  mov	x19, x0
0xfffffff009201cf0: ff0700f9  str	xzr, [sp, #8]
0xfffffff009201cf4: 410040f9  ldr	x1, [x2]
