; Candidate 2948
; ADRP+ADD at VM 0xfffffff0086f7d74 (fileoff 0x16f3d74): page=0x1fea3a000 add_imm=0xd90

0xfffffff0086f7cf4: 2a00a072  movk	w10, #1, lsl #16
0xfffffff0086f7cf8: 28692ab8  str	w8, [x9, x10]
0xfffffff0086f7cfc: e00313aa  mov	x0, x19
0xfffffff0086f7d00: 3c010094  bl	#0xfffffff0086f81f0
0xfffffff0086f7d04: a0010034  cbz	w0, #0xfffffff0086f7d38
0xfffffff0086f7d08: c852fff0  adrp	x8, #0xfffffff007152000
0xfffffff0086f7d0c: 08c90f91  add	x8, x8, #0x3f2
0xfffffff0086f7d10: e80300f9  str	x8, [sp]
0xfffffff0086f7d14: c051ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086f7d18: 00403691  add	x0, x0, #0xd90
0xfffffff0086f7d1c: 2198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f7d20: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f7d24: e351ffd0  adrp	x3, #0xfffffff007135000
0xfffffff0086f7d28: 63f42691  add	x3, x3, #0x9bd
0xfffffff0086f7d2c: 02008052  mov	w2, #0
0xfffffff0086f7d30: 00edf097  bl	#0xfffffff008333130
0xfffffff0086f7d34: bffdff17  b	#0xfffffff0086f7430
0xfffffff0086f7d38: e00313aa  mov	x0, x19
0xfffffff0086f7d3c: 01008052  mov	w1, #0
0xfffffff0086f7d40: 5d010094  bl	#0xfffffff0086f82b4
0xfffffff0086f7d44: 20010035  cbnz	w0, #0xfffffff0086f7d68
0xfffffff0086f7d48: e00313aa  mov	x0, x19
0xfffffff0086f7d4c: 21008052  mov	w1, #1
0xfffffff0086f7d50: 59010094  bl	#0xfffffff0086f82b4
0xfffffff0086f7d54: a0000035  cbnz	w0, #0xfffffff0086f7d68
0xfffffff0086f7d58: e00313aa  mov	x0, x19
0xfffffff0086f7d5c: 41008052  mov	w1, #2
0xfffffff0086f7d60: 55010094  bl	#0xfffffff0086f82b4
0xfffffff0086f7d64: 80020034  cbz	w0, #0xfffffff0086f7db4
0xfffffff0086f7d68: c852fff0  adrp	x8, #0xfffffff007152000
0xfffffff0086f7d6c: 08c90f91  add	x8, x8, #0x3f2
0xfffffff0086f7d70: e80300f9  str	x8, [sp]
0xfffffff0086f7d74: c051ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086f7d78: 00403691  add	x0, x0, #0xd90
0xfffffff0086f7d7c: 2198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f7d80: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f7d84: e351ffd0  adrp	x3, #0xfffffff007135000
0xfffffff0086f7d88: 63902791  add	x3, x3, #0x9e4
0xfffffff0086f7d8c: 02008052  mov	w2, #0
0xfffffff0086f7d90: e8ecf097  bl	#0xfffffff008333130
0xfffffff0086f7d94: a7fdff17  b	#0xfffffff0086f7430
0xfffffff0086f7d98: 2d414039  ldrb	w13, [x9, #0x10]
0xfffffff0086f7d9c: 4db502b9  str	w13, [x10, #0x2b4]
0xfffffff0086f7da0: 6df1ff35  cbnz	w13, #0xfffffff0086f7bcc
0xfffffff0086f7da4: 6bd540f9  ldr	x11, [x11, #0x1a8]
0xfffffff0086f7da8: 8bd500f9  str	x11, [x12, #0x1a8]
0xfffffff0086f7dac: 4b5d01f9  str	x11, [x10, #0x2b8]
0xfffffff0086f7db0: 87ffff17  b	#0xfffffff0086f7bcc
0xfffffff0086f7db4: 60da59f9  ldr	x0, [x19, #0x33b0]
0xfffffff0086f7db8: ce700094  bl	#0xfffffff0087140f0
0xfffffff0086f7dbc: 68d259f9  ldr	x8, [x19, #0x33a0]
0xfffffff0086f7dc0: 09a28652  mov	w9, #0x3510
0xfffffff0086f7dc4: 2900a072  movk	w9, #1, lsl #16
0xfffffff0086f7dc8: 006929f8  str	x0, [x8, x9]
0xfffffff0086f7dcc: 60d659f9  ldr	x0, [x19, #0x33a8]
0xfffffff0086f7dd0: dc250394  bl	#0xfffffff0087c1540
0xfffffff0086f7dd4: 68d259f9  ldr	x8, [x19, #0x33a0]
0xfffffff0086f7dd8: 084d4091  add	x8, x8, #0x13, lsl #12
0xfffffff0086f7ddc: 08411591  add	x8, x8, #0x550
0xfffffff0086f7de0: 000100f9  str	x0, [x8]
0xfffffff0086f7de4: 600100b4  cbz	x0, #0xfffffff0086f7e10
0xfffffff0086f7de8: 69e259f9  ldr	x9, [x19, #0x33c0]
0xfffffff0086f7dec: 29611e91  add	x9, x9, #0x798
0xfffffff0086f7df0: aa018052  mov	w10, #0xd
