; Candidate 6262
; ADRP+ADD at VM 0xfffffff00881dddc (fileoff 0x1819ddc): page=0x1fe9cc000 add_imm=0xe80

0xfffffff00881dd5c: 800e8052  mov	w0, #0x74
0xfffffff00881dd60: ae760194  bl	#0xfffffff00887b818
0xfffffff00881dd64: f80300aa  mov	x24, x0
0xfffffff00881dd68: 11590294  bl	#0xfffffff0088b41ac
0xfffffff00881dd6c: f70300aa  mov	x23, x0
0xfffffff00881dd70: c0008052  mov	w0, #6
0xfffffff00881dd74: b7760194  bl	#0xfffffff00887b850
0xfffffff00881dd78: b8010034  cbz	w24, #0xfffffff00881ddac
0xfffffff00881dd7c: e80316aa  mov	x8, x22
0xfffffff00881dd80: f52303a9  stp	x21, x8, [sp, #0x30]
0xfffffff00881dd84: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00881dd88: 0850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff00881dd8c: 08bd3391  add	x8, x8, #0xcef
0xfffffff00881dd90: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881dd94: 880e8052  mov	w8, #0x74
0xfffffff00881dd98: c04fffb0  adrp	x0, #0xfffffff007216000
0xfffffff00881dd9c: 00ac3d91  add	x0, x0, #0xf6b
0xfffffff00881dda0: f72300a9  stp	x23, x8, [sp]
0xfffffff00881dda4: af65d697  bl	#0xfffffff007db7460
0xfffffff00881dda8: 15000014  b	#0xfffffff00881ddfc
0xfffffff00881ddac: 00590294  bl	#0xfffffff0088b41ac
0xfffffff00881ddb0: f70300aa  mov	x23, x0
0xfffffff00881ddb4: c0008052  mov	w0, #6
0xfffffff00881ddb8: a6760194  bl	#0xfffffff00887b850
0xfffffff00881ddbc: e80316aa  mov	x8, x22
0xfffffff00881ddc0: f52303a9  stp	x21, x8, [sp, #0x30]
0xfffffff00881ddc4: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00881ddc8: 0850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff00881ddcc: 08bd3391  add	x8, x8, #0xcef
0xfffffff00881ddd0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881ddd4: 880e8052  mov	w8, #0x74
0xfffffff00881ddd8: f72300a9  stp	x23, x8, [sp]
0xfffffff00881dddc: 604eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00881dde0: 00003a91  add	x0, x0, #0xe80
0xfffffff00881dde4: 418ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff00881dde8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881ddec: 6351ffb0  adrp	x3, #0xfffffff00724a000
0xfffffff00881ddf0: 63800891  add	x3, x3, #0x220
0xfffffff00881ddf4: 02008052  mov	w2, #0
0xfffffff00881ddf8: ce54ec97  bl	#0xfffffff008333130
0xfffffff00881ddfc: e00316aa  mov	x0, x22
0xfffffff00881de00: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff00881de04: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff00881de08: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff00881de0c: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff00881de10: ff830291  add	sp, sp, #0xa0
0xfffffff00881de14: ff0f5fd6  retab	
0xfffffff00881de18: e5580294  bl	#0xfffffff0088b41ac
0xfffffff00881de1c: f70300aa  mov	x23, x0
0xfffffff00881de20: 80008052  mov	w0, #4
0xfffffff00881de24: 8b760194  bl	#0xfffffff00887b850
0xfffffff00881de28: e80316aa  mov	x8, x22
0xfffffff00881de2c: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff00881de30: e82b00f9  str	x8, [sp, #0x50]
0xfffffff00881de34: e80315aa  mov	x8, x21
0xfffffff00881de38: f42304a9  stp	x20, x8, [sp, #0x40]
0xfffffff00881de3c: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff00881de40: 884ffff0  adrp	x8, #0xfffffff007210000
0xfffffff00881de44: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881de48: 29748152  mov	w9, #0xba1
0xfffffff00881de4c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00881de50: 0850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff00881de54: 08bd3391  add	x8, x8, #0xcef
0xfffffff00881de58: e02301a9  stp	x0, x8, [sp, #0x10]
