; Candidate 4872
; ADRP+ADD at VM 0xfffffff0087ca9fc (fileoff 0x17c69fc): page=0x1fea1f000 add_imm=0xe80

0xfffffff0087ca97c: 80008052  mov	w0, #4
0xfffffff0087ca980: b4c30294  bl	#0xfffffff00887b850
0xfffffff0087ca984: 2852ffb0  adrp	x8, #0xfffffff00720f000
0xfffffff0087ca988: 08dd1491  add	x8, x8, #0x537
0xfffffff0087ca98c: c9798052  mov	w9, #0x3ce
0xfffffff0087ca990: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087ca994: 2852ffb0  adrp	x8, #0xfffffff00720f000
0xfffffff0087ca998: 08891391  add	x8, x8, #0x4e2
0xfffffff0087ca99c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087ca9a0: 68008052  mov	w8, #3
0xfffffff0087ca9a4: f32300a9  stp	x19, x8, [sp]
0xfffffff0087ca9a8: e050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ca9ac: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ca9b0: e191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ca9b4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ca9b8: 6353ffd0  adrp	x3, #0xfffffff007238000
0xfffffff0087ca9bc: 63c43091  add	x3, x3, #0xc31
0xfffffff0087ca9c0: 02008052  mov	w2, #0
0xfffffff0087ca9c4: dba1ed97  bl	#0xfffffff008333130
0xfffffff0087ca9c8: 00008052  mov	w0, #0
0xfffffff0087ca9cc: 17000014  b	#0xfffffff0087caa28
0xfffffff0087ca9d0: f7a50394  bl	#0xfffffff0088b41ac
0xfffffff0087ca9d4: f50300aa  mov	x21, x0
0xfffffff0087ca9d8: e0008052  mov	w0, #7
0xfffffff0087ca9dc: 9dc30294  bl	#0xfffffff00887b850
0xfffffff0087ca9e0: 680240f9  ldr	x8, [x19]
0xfffffff0087ca9e4: 891a40b9  ldr	w9, [x20, #0x18]
0xfffffff0087ca9e8: 081140b9  ldr	w8, [x8, #0x10]
0xfffffff0087ca9ec: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0087ca9f0: a80f8052  mov	w8, #0x7d
0xfffffff0087ca9f4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087ca9f8: f50300f9  str	x21, [sp]
0xfffffff0087ca9fc: e050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087caa00: 00003a91  add	x0, x0, #0xe80
0xfffffff0087caa04: e191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087caa08: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087caa0c: 6353ffd0  adrp	x3, #0xfffffff007238000
0xfffffff0087caa10: 63443391  add	x3, x3, #0xcd1
0xfffffff0087caa14: 02008052  mov	w2, #0
0xfffffff0087caa18: c6a1ed97  bl	#0xfffffff008333130
0xfffffff0087caa1c: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff0087caa20: 886e0bb9  str	w8, [x20, #0xb6c]
0xfffffff0087caa24: 20008052  mov	w0, #1
0xfffffff0087caa28: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0087caa2c: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0087caa30: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0087caa34: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0087caa38: ffc30191  add	sp, sp, #0x70
0xfffffff0087caa3c: ff0f5fd6  retab	
0xfffffff0087caa40: 7f2303d5  pacibsp	
0xfffffff0087caa44: ff4301d1  sub	sp, sp, #0x50
0xfffffff0087caa48: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0087caa4c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0087caa50: fd030191  add	x29, sp, #0x40
0xfffffff0087caa54: 410100b4  cbz	x1, #0xfffffff0087caa7c
0xfffffff0087caa58: 220400b4  cbz	x2, #0xfffffff0087caadc
0xfffffff0087caa5c: 480040f9  ldr	x8, [x2]
0xfffffff0087caa60: 280800a9  stp	x8, x2, [x1]
0xfffffff0087caa64: 410000f9  str	x1, [x2]
0xfffffff0087caa68: 280040f9  ldr	x8, [x1]
0xfffffff0087caa6c: 480000b4  cbz	x8, #0xfffffff0087caa74
0xfffffff0087caa70: 010500f9  str	x1, [x8, #8]
0xfffffff0087caa74: 20008052  mov	w0, #1
0xfffffff0087caa78: 60000014  b	#0xfffffff0087cabf8
