; Candidate 2149
; ADRP+ADD at VM 0xfffffff008592564 (fileoff 0x158e564): page=0x1d44000 add_imm=0xdc8

0xfffffff0085924e4: 290140f9  ldr	x9, [x9]
0xfffffff0085924e8: 3f0108eb  cmp	x9, x8
0xfffffff0085924ec: a1000054  b.ne	#0xfffffff008592500
0xfffffff0085924f0: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0085924f4: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0085924f8: ff830191  add	sp, sp, #0x60
0xfffffff0085924fc: ff0f5fd6  retab	
0xfffffff008592500: 532edf97  bl	#0xfffffff007d5de4c
0xfffffff008592504: 7f2303d5  pacibsp	
0xfffffff008592508: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00859250c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008592510: fd430091  add	x29, sp, #0x10
0xfffffff008592514: f30302aa  mov	x19, x2
0xfffffff008592518: 006c40f9  ldr	x0, [x0, #0xd8]
0xfffffff00859251c: 280040f9  ldr	x8, [x1]
0xfffffff008592520: 220840b9  ldr	w2, [x1, #8]
0xfffffff008592524: e10308aa  mov	x1, x8
0xfffffff008592528: 96f9ff97  bl	#0xfffffff008590b80
0xfffffff00859252c: 60020039  strb	w0, [x19]
0xfffffff008592530: 00008052  mov	w0, #0
0xfffffff008592534: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008592538: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00859253c: ff0f5fd6  retab	
0xfffffff008592540: 5f2403d5  bti	c
0xfffffff008592544: 006c40f9  ldr	x0, [x0, #0xd8]
0xfffffff008592548: 210040b9  ldr	w1, [x1]
0xfffffff00859254c: c2f9ff17  b	#0xfffffff008590c54
0xfffffff008592550: 5f2403d5  bti	c
0xfffffff008592554: 6848f517  b	#0xfffffff0082e46f4
0xfffffff008592558: 7f2303d5  pacibsp	
0xfffffff00859255c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008592560: fd030091  mov	x29, sp
0xfffffff008592564: 20ea0090  adrp	x0, #0xfffffff00a2d6000
0xfffffff008592568: 00203791  add	x0, x0, #0xdc8
0xfffffff00859256c: c15affb0  adrp	x1, #0xfffffff0070eb000
0xfffffff008592570: 21802b91  add	x1, x1, #0xae0
0xfffffff008592574: a2a0ffd0  adrp	x2, #0xfffffff0079a8000
0xfffffff008592578: 42c845f9  ldr	x2, [x2, #0xb90]
0xfffffff00859257c: 03298052  mov	w3, #0x148
0xfffffff008592580: 6e45f597  bl	#0xfffffff0082e3b38
0xfffffff008592584: b0a0fff0  adrp	x16, #0xfffffff0079a9000
0xfffffff008592588: 10c22091  add	x16, x16, #0x830
0xfffffff00859258c: 10420091  add	x16, x16, #0x10
0xfffffff008592590: f10300aa  mov	x17, x0
0xfffffff008592594: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008592598: 300ac1da  pacda	x16, x17
0xfffffff00859259c: 100000f9  str	x16, [x0]
0xfffffff0085925a0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0085925a4: ff0f5fd6  retab	
0xfffffff0085925a8: 5f2403d5  bti	c
0xfffffff0085925ac: 20ea0090  adrp	x0, #0xfffffff00a2d6000
0xfffffff0085925b0: 00203791  add	x0, x0, #0xdc8
0xfffffff0085925b4: 5048f517  b	#0xfffffff0082e46f4
0xfffffff0085925b8: 5f2403d5  bti	c
0xfffffff0085925bc: 1f000039  strb	wzr, [x0]
0xfffffff0085925c0: 010400f9  str	x1, [x0, #8]
0xfffffff0085925c4: c0035fd6  ret	
0xfffffff0085925c8: 5f2403d5  bti	c
0xfffffff0085925cc: 1f000039  strb	wzr, [x0]
0xfffffff0085925d0: 010400f9  str	x1, [x0, #8]
0xfffffff0085925d4: c0035fd6  ret	
0xfffffff0085925d8: 7f2303d5  pacibsp	
0xfffffff0085925dc: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0085925e0: fd7b01a9  stp	x29, x30, [sp, #0x10]
