; Candidate 3190
; ADRP+ADD at VM 0xfffffff00871b610 (fileoff 0x1717610): page=0x1fea16000 add_imm=0xd90

0xfffffff00871b590: 10060011  add	w16, w16, #1
0xfffffff00871b594: 31160091  add	x17, x17, #5
0xfffffff00871b598: 2dd21ff8  stur	x13, [x17, #-3]
0xfffffff00871b59c: 2e520078  sturh	w14, [x17, #5]
0xfffffff00871b5a0: 2fb21f38  sturb	w15, [x17, #-5]
0xfffffff00871b5a4: 313a0091  add	x17, x17, #0xe
0xfffffff00871b5a8: 100600f1  subs	x16, x16, #1
0xfffffff00871b5ac: 61ffff54  b.ne	#0xfffffff00871b598
0xfffffff00871b5b0: 1011098b  add	x16, x8, x9, lsl #4
0xfffffff00871b5b4: 10ea2b91  add	x16, x16, #0xafa
0xfffffff00871b5b8: 0002803d  str	q0, [x16]
0xfffffff00871b5bc: 31050091  add	x17, x9, #1
0xfffffff00871b5c0: 300c40b9  ldr	w16, [x1, #0xc]
0xfffffff00871b5c4: 3f0110eb  cmp	x9, x16
0xfffffff00871b5c8: e90311aa  mov	x9, x17
0xfffffff00871b5cc: 03fdff54  b.lo	#0xfffffff00871b56c
0xfffffff00871b5d0: c0035fd6  ret	
0xfffffff00871b5d4: 7f2303d5  pacibsp	
0xfffffff00871b5d8: ff4302d1  sub	sp, sp, #0x90
0xfffffff00871b5dc: fc6f03a9  stp	x28, x27, [sp, #0x30]
0xfffffff00871b5e0: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff00871b5e4: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff00871b5e8: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff00871b5ec: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff00871b5f0: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff00871b5f4: fd030291  add	x29, sp, #0x80
0xfffffff00871b5f8: 28204039  ldrb	w8, [x1, #8]
0xfffffff00871b5fc: 29244039  ldrb	w9, [x1, #9]
0xfffffff00871b600: 1f050071  cmp	w8, #1
0xfffffff00871b604: 2009417a  ccmp	w9, #1, #0, eq
0xfffffff00871b608: 60010054  b.eq	#0xfffffff00871b634
0xfffffff00871b60c: e82700a9  stp	x8, x9, [sp]
0xfffffff00871b610: a050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff00871b614: 00403691  add	x0, x0, #0xd90
0xfffffff00871b618: 0197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871b61c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871b620: e350ffb0  adrp	x3, #0xfffffff007138000
0xfffffff00871b624: 630c3691  add	x3, x3, #0xd83
0xfffffff00871b628: 02008052  mov	w2, #0
0xfffffff00871b62c: c15ef097  bl	#0xfffffff008333130
0xfffffff00871b630: ab000014  b	#0xfffffff00871b8dc
0xfffffff00871b634: f40301aa  mov	x20, x1
0xfffffff00871b638: f30300aa  mov	x19, x0
0xfffffff00871b63c: 37b048f9  ldr	x23, [x1, #0x1160]
0xfffffff00871b640: 280c40b9  ldr	w8, [x1, #0xc]
0xfffffff00871b644: 08050011  add	w8, w8, #1
0xfffffff00871b648: 89038052  mov	w9, #0x1c
0xfffffff00871b64c: 007da99b  umull	x0, w8, w9
0xfffffff00871b650: b9edf097  bl	#0xfffffff008356d34
0xfffffff00871b654: e00201f9  str	x0, [x23, #0x200]
0xfffffff00871b658: c00f00b4  cbz	x0, #0xfffffff00871b850
0xfffffff00871b65c: 880e40b9  ldr	w8, [x20, #0xc]
0xfffffff00871b660: 08050011  add	w8, w8, #1
0xfffffff00871b664: 017d7dd3  ubfiz	x1, x8, #3, #0x20
0xfffffff00871b668: 4097fff0  adrp	x0, #0xfffffff007a06000
0xfffffff00871b66c: 00602291  add	x0, x0, #0x898
0xfffffff00871b670: d8edf097  bl	#0xfffffff008356dd0
0xfffffff00871b674: e00601f9  str	x0, [x23, #0x208]
0xfffffff00871b678: e00f00b4  cbz	x0, #0xfffffff00871b874
0xfffffff00871b67c: 150080d2  mov	x21, #0
0xfffffff00871b680: 880e40b9  ldr	w8, [x20, #0xc]
0xfffffff00871b684: d6018052  mov	w22, #0xe
0xfffffff00871b688: 08050011  add	w8, w8, #1
0xfffffff00871b68c: 007db69b  umull	x0, w8, w22
