; Candidate 10987
; ADRP+ADD at VM 0xfffffff008df0470 (fileoff 0x1dec470): page=0x1fe5d4000 add_imm=0xd54

0xfffffff008df03f0: d6ca3491  add	x22, x22, #0xd32
0xfffffff008df03f4: 1f290071  cmp	w8, #0xa
0xfffffff008df03f8: a8000054  b.hi	#0xfffffff008df040c
0xfffffff008df03fc: f65700a9  stp	x22, x21, [sp]
0xfffffff008df0400: a02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008df0404: 00843491  add	x0, x0, #0xd21
0xfffffff008df0408: 069bd597  bl	#0xfffffff008357020
0xfffffff008df040c: ff1700f9  str	xzr, [sp, #0x28]
0xfffffff008df0410: 540400b4  cbz	x20, #0xfffffff008df0498
0xfffffff008df0414: e0a30091  add	x0, sp, #0x28
0xfffffff008df0418: 14ffff97  bl	#0xfffffff008df0068
0xfffffff008df041c: e0050035  cbnz	w0, #0xfffffff008df04d8
0xfffffff008df0420: e01740f9  ldr	x0, [sp, #0x28]
0xfffffff008df0424: e10314aa  mov	x1, x20
0xfffffff008df0428: 42008052  mov	w2, #2
0xfffffff008df042c: aeffff97  bl	#0xfffffff008df02e4
0xfffffff008df0430: f30300aa  mov	x19, x0
0xfffffff008df0434: e01740f9  ldr	x0, [sp, #0x28]
0xfffffff008df0438: 600000b4  cbz	x0, #0xfffffff008df0444
0xfffffff008df043c: 21008052  mov	w1, #1
0xfffffff008df0440: 75ffff97  bl	#0xfffffff008df0214
0xfffffff008df0444: 7f020071  cmp	w19, #0
0xfffffff008df0448: c8088052  mov	w8, #0x46
0xfffffff008df044c: 49018052  mov	w9, #0xa
0xfffffff008df0450: 2801881a  csel	w8, w9, w8, eq
0xfffffff008df0454: e9466c39  ldrb	w9, [x23, #0xb11]
0xfffffff008df0458: 1f01096b  cmp	w8, w9
0xfffffff008df045c: 03010054  b.lo	#0xfffffff008df047c
0xfffffff008df0460: e80313aa  mov	x8, x19
0xfffffff008df0464: 087d4093  sxtw	x8, w8
0xfffffff008df0468: f65700a9  stp	x22, x21, [sp]
0xfffffff008df046c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008df0470: a02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008df0474: 00503591  add	x0, x0, #0xd54
0xfffffff008df0478: ea9ad597  bl	#0xfffffff008357020
0xfffffff008df047c: e00313aa  mov	x0, x19
0xfffffff008df0480: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008df0484: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008df0488: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008df048c: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff008df0490: ffc30191  add	sp, sp, #0x70
0xfffffff008df0494: ff0f5fd6  retab	
0xfffffff008df0498: a80b8052  mov	w8, #0x5d
0xfffffff008df049c: a92eff90  adrp	x9, #0xfffffff0073c4000
0xfffffff008df04a0: 29593991  add	x9, x9, #0xe56
0xfffffff008df04a4: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008df04a8: a82eff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008df04ac: 08493991  add	x8, x8, #0xe52
0xfffffff008df04b0: aa2eff90  adrp	x10, #0xfffffff0073c4000
0xfffffff008df04b4: 4a1d3991  add	x10, x10, #0xe47
0xfffffff008df04b8: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008df04bc: ea0300f9  str	x10, [sp]
0xfffffff008df04c0: a02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008df04c4: 00543891  add	x0, x0, #0xe15
0xfffffff008df04c8: d69ad597  bl	#0xfffffff008357020
0xfffffff008df04cc: c8088052  mov	w8, #0x46
0xfffffff008df04d0: 53008012  mov	w19, #-3
0xfffffff008df04d4: e0ffff17  b	#0xfffffff008df0454
0xfffffff008df04d8: f30300aa  mov	x19, x0
0xfffffff008df04dc: 687e4093  sxtw	x8, w19
0xfffffff008df04e0: 090c8052  mov	w9, #0x60
0xfffffff008df04e4: aa2eff90  adrp	x10, #0xfffffff0073c4000
0xfffffff008df04e8: 4a593991  add	x10, x10, #0xe56
0xfffffff008df04ec: eaa701a9  stp	x10, x9, [sp, #0x18]
