; Candidate 7844
; ADRP+ADD at VM 0xfffffff008882b10 (fileoff 0x187eb10): page=0x1fe967000 add_imm=0xe80

0xfffffff008882a90: 18020034  cbz	w24, #0xfffffff008882ad0
0xfffffff008882a94: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff008882a98: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff008882a9c: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff008882aa0: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff008882aa4: 087d0291  add	x8, x8, #0x9f
0xfffffff008882aa8: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008882aac: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff008882ab0: 08fd0891  add	x8, x8, #0x23f
0xfffffff008882ab4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008882ab8: 880b8052  mov	w8, #0x5c
0xfffffff008882abc: 404dfff0  adrp	x0, #0xfffffff00722d000
0xfffffff008882ac0: 00c40191  add	x0, x0, #0x71
0xfffffff008882ac4: f72300a9  stp	x23, x8, [sp]
0xfffffff008882ac8: 66d2d497  bl	#0xfffffff007db7460
0xfffffff008882acc: 19000014  b	#0xfffffff008882b30
0xfffffff008882ad0: b7c50094  bl	#0xfffffff0088b41ac
0xfffffff008882ad4: f70300aa  mov	x23, x0
0xfffffff008882ad8: 00018052  mov	w0, #8
0xfffffff008882adc: 5de3ff97  bl	#0xfffffff00887b850
0xfffffff008882ae0: e80316aa  mov	x8, x22
0xfffffff008882ae4: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff008882ae8: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff008882aec: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff008882af0: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff008882af4: 087d0291  add	x8, x8, #0x9f
0xfffffff008882af8: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008882afc: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff008882b00: 08fd0891  add	x8, x8, #0x23f
0xfffffff008882b04: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008882b08: 880b8052  mov	w8, #0x5c
0xfffffff008882b0c: f72300a9  stp	x23, x8, [sp]
0xfffffff008882b10: 204bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008882b14: 00003a91  add	x0, x0, #0xe80
0xfffffff008882b18: 218cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008882b1c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008882b20: c34effb0  adrp	x3, #0xfffffff00725b000
0xfffffff008882b24: 63c43a91  add	x3, x3, #0xeb1
0xfffffff008882b28: 02008052  mov	w2, #0
0xfffffff008882b2c: 81c1ea97  bl	#0xfffffff008333130
0xfffffff008882b30: e00316aa  mov	x0, x22
0xfffffff008882b34: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008882b38: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff008882b3c: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff008882b40: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008882b44: ff430291  add	sp, sp, #0x90
0xfffffff008882b48: ff0f5fd6  retab	
0xfffffff008882b4c: 7f2303d5  pacibsp	
0xfffffff008882b50: ff8302d1  sub	sp, sp, #0xa0
0xfffffff008882b54: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff008882b58: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff008882b5c: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff008882b60: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff008882b64: fd430291  add	x29, sp, #0x90
0xfffffff008882b68: f50302aa  mov	x21, x2
0xfffffff008882b6c: f40301aa  mov	x20, x1
0xfffffff008882b70: f30300aa  mov	x19, x0
0xfffffff008882b74: 800b8052  mov	w0, #0x5c
0xfffffff008882b78: 01018052  mov	w1, #8
0xfffffff008882b7c: 15e3ff97  bl	#0xfffffff00887b7d0
0xfffffff008882b80: 20060034  cbz	w0, #0xfffffff008882c44
0xfffffff008882b84: 800b8052  mov	w0, #0x5c
0xfffffff008882b88: 24e3ff97  bl	#0xfffffff00887b818
0xfffffff008882b8c: f70300aa  mov	x23, x0
