; Candidate 8555
; ADRP+ADD at VM 0xfffffff0088b189c (fileoff 0x18ad89c): page=0x1fe938000 add_imm=0xe80

0xfffffff0088b181c: 7a140034  cbz	w26, #0xfffffff0088b1aa8
0xfffffff0088b1820: 680240b9  ldr	w8, [x19]
0xfffffff0088b1824: 69aa4229  ldp	w9, w10, [x19, #0x14]
0xfffffff0088b1828: e92b04a9  stp	x9, x10, [sp, #0x40]
0xfffffff0088b182c: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088b1830: 084cfff0  adrp	x8, #0xfffffff007234000
0xfffffff0088b1834: 08f92491  add	x8, x8, #0x93e
0xfffffff0088b1838: 29238152  mov	w9, #0x919
0xfffffff0088b183c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088b1840: 084cfff0  adrp	x8, #0xfffffff007234000
0xfffffff0088b1844: 08e12091  add	x8, x8, #0x838
0xfffffff0088b1848: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b184c: c80f8052  mov	w8, #0x7e
0xfffffff0088b1850: 004cfff0  adrp	x0, #0xfffffff007234000
0xfffffff0088b1854: 000c2491  add	x0, x0, #0x903
0xfffffff0088b1858: a2ffff17  b	#0xfffffff0088b16e0
0xfffffff0088b185c: 540a0094  bl	#0xfffffff0088b41ac
0xfffffff0088b1860: f90300aa  mov	x25, x0
0xfffffff0088b1864: a0008052  mov	w0, #5
0xfffffff0088b1868: fa27ff97  bl	#0xfffffff00887b850
0xfffffff0088b186c: 680240b9  ldr	w8, [x19]
0xfffffff0088b1870: 694e41b9  ldr	w9, [x19, #0x14c]
0xfffffff0088b1874: 6a5241b9  ldr	w10, [x19, #0x150]
0xfffffff0088b1878: e9ab03a9  stp	x9, x10, [sp, #0x38]
0xfffffff0088b187c: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0088b1880: ab208152  mov	w11, #0x905
0xfffffff0088b1884: 084cfff0  adrp	x8, #0xfffffff007234000
0xfffffff0088b1888: 08e12091  add	x8, x8, #0x838
0xfffffff0088b188c: e8af01a9  stp	x8, x11, [sp, #0x18]
0xfffffff0088b1890: c80f8052  mov	w8, #0x7e
0xfffffff0088b1894: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088b1898: f90300f9  str	x25, [sp]
0xfffffff0088b189c: c049ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b18a0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b18a4: a18afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b18a8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b18ac: 834dfff0  adrp	x3, #0xfffffff007264000
0xfffffff0088b18b0: 63082591  add	x3, x3, #0x942
0xfffffff0088b18b4: 02008052  mov	w2, #0
0xfffffff0088b18b8: 1e06ea97  bl	#0xfffffff008333130
0xfffffff0088b18bc: c00f8052  mov	w0, #0x7e
0xfffffff0088b18c0: c1008052  mov	w1, #6
0xfffffff0088b18c4: c327ff97  bl	#0xfffffff00887b7d0
0xfffffff0088b18c8: 60070034  cbz	w0, #0xfffffff0088b19b4
0xfffffff0088b18cc: b75b39a9  stp	x23, x22, [x29, #-0x70]
0xfffffff0088b18d0: b4031af8  stur	x20, [x29, #-0x60]
0xfffffff0088b18d4: f40315aa  mov	x20, x21
0xfffffff0088b18d8: c00f8052  mov	w0, #0x7e
0xfffffff0088b18dc: cf27ff97  bl	#0xfffffff00887b818
0xfffffff0088b18e0: fa0300aa  mov	x26, x0
0xfffffff0088b18e4: 320a0094  bl	#0xfffffff0088b41ac
0xfffffff0088b18e8: f90300aa  mov	x25, x0
0xfffffff0088b18ec: c0008052  mov	w0, #6
0xfffffff0088b18f0: d827ff97  bl	#0xfffffff00887b850
0xfffffff0088b18f4: 5a060034  cbz	w26, #0xfffffff0088b19bc
0xfffffff0088b18f8: 080740f9  ldr	x8, [x24, #8]
0xfffffff0088b18fc: 091740f9  ldr	x9, [x24, #0x28]
0xfffffff0088b1900: 0aaf40f9  ldr	x10, [x24, #0x158]
0xfffffff0088b1904: 0bb740f9  ldr	x11, [x24, #0x168]
0xfffffff0088b1908: 0cd340f9  ldr	x12, [x24, #0x1a0]
0xfffffff0088b190c: 0ddb40f9  ldr	x13, [x24, #0x1b0]
0xfffffff0088b1910: 0e2340f9  ldr	x14, [x24, #0x40]
0xfffffff0088b1914: 0f6740f9  ldr	x15, [x24, #0xc8]
0xfffffff0088b1918: 70223c91  add	x16, x19, #0xf08
