; Candidate 6192
; ADRP+ADD at VM 0xfffffff008819828 (fileoff 0x1815828): page=0x1fea06000 add_imm=0xd8a

0xfffffff0088197a8: 64fcff17  b	#0xfffffff008818938
0xfffffff0088197ac: 7f2303d5  pacibsp	
0xfffffff0088197b0: ffc302d1  sub	sp, sp, #0xb0
0xfffffff0088197b4: fc6f05a9  stp	x28, x27, [sp, #0x50]
0xfffffff0088197b8: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff0088197bc: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff0088197c0: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff0088197c4: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff0088197c8: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff0088197cc: fd830291  add	x29, sp, #0xa0
0xfffffff0088197d0: f60303aa  mov	x22, x3
0xfffffff0088197d4: f50302aa  mov	x21, x2
0xfffffff0088197d8: f40301aa  mov	x20, x1
0xfffffff0088197dc: f30300aa  mov	x19, x0
0xfffffff0088197e0: 800e8052  mov	w0, #0x74
0xfffffff0088197e4: e1008052  mov	w1, #7
0xfffffff0088197e8: fa870194  bl	#0xfffffff00887b7d0
0xfffffff0088197ec: 60020034  cbz	w0, #0xfffffff008819838
0xfffffff0088197f0: 800e8052  mov	w0, #0x74
0xfffffff0088197f4: 09880194  bl	#0xfffffff00887b818
0xfffffff0088197f8: f80300aa  mov	x24, x0
0xfffffff0088197fc: 6c6a0294  bl	#0xfffffff0088b41ac
0xfffffff008819800: f70300aa  mov	x23, x0
0xfffffff008819804: e0008052  mov	w0, #7
0xfffffff008819808: 12880194  bl	#0xfffffff00887b850
0xfffffff00881980c: 78020034  cbz	w24, #0xfffffff008819858
0xfffffff008819810: f55b03a9  stp	x21, x22, [sp, #0x30]
0xfffffff008819814: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff008819818: 2850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff00881981c: 08c13691  add	x8, x8, #0xdb0
0xfffffff008819820: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008819824: 880e8052  mov	w8, #0x74
0xfffffff008819828: 2050ffd0  adrp	x0, #0xfffffff00721f000
0xfffffff00881982c: 00283691  add	x0, x0, #0xd8a
0xfffffff008819830: f72300a9  stp	x23, x8, [sp]
0xfffffff008819834: 0b77d697  bl	#0xfffffff007db7460
0xfffffff008819838: d30300b4  cbz	x19, #0xfffffff0088198b0
0xfffffff00881983c: b40300b4  cbz	x20, #0xfffffff0088198b0
0xfffffff008819840: 48018452  mov	w8, #0x200a
0xfffffff008819844: e801a072  movk	w8, #0xf, lsl #16
0xfffffff008819848: 686a6838  ldrb	w8, [x19, x8]
0xfffffff00881984c: c8060034  cbz	w8, #0xfffffff008819924
0xfffffff008819850: f77d8012  mov	w23, #-0x3f0
0xfffffff008819854: 6a000014  b	#0xfffffff0088199fc
0xfffffff008819858: 556a0294  bl	#0xfffffff0088b41ac
0xfffffff00881985c: f70300aa  mov	x23, x0
0xfffffff008819860: e0008052  mov	w0, #7
0xfffffff008819864: fb870194  bl	#0xfffffff00887b850
0xfffffff008819868: e80316aa  mov	x8, x22
0xfffffff00881986c: e90315aa  mov	x9, x21
0xfffffff008819870: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff008819874: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff008819878: 2850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff00881987c: 08c13691  add	x8, x8, #0xdb0
0xfffffff008819880: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008819884: 880e8052  mov	w8, #0x74
0xfffffff008819888: f72300a9  stp	x23, x8, [sp]
0xfffffff00881988c: 804eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008819890: 00003a91  add	x0, x0, #0xe80
0xfffffff008819894: 618ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff008819898: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881989c: 8351ffb0  adrp	x3, #0xfffffff00724a000
0xfffffff0088198a0: 63100991  add	x3, x3, #0x244
0xfffffff0088198a4: 02008052  mov	w2, #0
