; Candidate 16785
; ADRP+ADD at VM 0xfffffff009f5ba10 (fileoff 0x2f57a10): page=0x1fd90a000 add_imm=0xe2a

0xfffffff009f5b990: 092b40a9  ldp	x9, x10, [x24]
0xfffffff009f5b994: 68020acb  sub	x8, x19, x10
0xfffffff009f5b998: 08cd74d3  lsl	x8, x8, #0xc
0xfffffff009f5b99c: 2b7f4093  sxtw	x11, w25
0xfffffff009f5b9a0: 0809cb9a  udiv	x8, x8, x11
0xfffffff009f5b9a4: 09250b9b  madd	x9, x8, x11, x9
0xfffffff009f5b9a8: 0c0b40f9  ldr	x12, [x24, #0x10]
0xfffffff009f5b9ac: 4a0113cb  sub	x10, x10, x19
0xfffffff009f5b9b0: 4a010c8b  add	x10, x10, x12
0xfffffff009f5b9b4: 4acd74d3  lsl	x10, x10, #0xc
0xfffffff009f5b9b8: 8a1600f9  str	x10, [x20, #0x28]
0xfffffff009f5b9bc: 6ace74d3  lsl	x10, x19, #0xc
0xfffffff009f5b9c0: 4a09cb9a  udiv	x10, x10, x11
0xfffffff009f5b9c4: 892a01a9  stp	x9, x10, [x20, #0x10]
0xfffffff009f5b9c8: 09ab42a9  ldp	x9, x10, [x24, #0x28]
0xfffffff009f5b9cc: 5f0500b1  cmn	x10, #1
0xfffffff009f5b9d0: 00010054  b.eq	#0xfffffff009f5b9f0
0xfffffff009f5b9d4: 00008052  mov	w0, #0
0xfffffff009f5b9d8: 08010a8b  add	x8, x8, x10
0xfffffff009f5b9dc: 881200f9  str	x8, [x20, #0x20]
0xfffffff009f5b9e0: 88c24039  ldrb	w8, [x20, #0x30]
0xfffffff009f5b9e4: 08010032  orr	w8, w8, #1
0xfffffff009f5b9e8: 88c20039  strb	w8, [x20, #0x30]
0xfffffff009f5b9ec: daffff17  b	#0xfffffff009f5b954
0xfffffff009f5b9f0: 00008052  mov	w0, #0
0xfffffff009f5b9f4: 891200f9  str	x9, [x20, #0x20]
0xfffffff009f5b9f8: d7ffff17  b	#0xfffffff009f5b954
0xfffffff009f5b9fc: e81c8152  mov	w8, #0x8e7
0xfffffff009f5ba00: 49c8fed0  adrp	x9, #0xfffffff007865000
0xfffffff009f5ba04: 29913191  add	x9, x9, #0xc64
0xfffffff009f5ba08: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009f5ba0c: f30300f9  str	x19, [sp]
0xfffffff009f5ba10: 40c8fed0  adrp	x0, #0xfffffff007865000
0xfffffff009f5ba14: 00a83891  add	x0, x0, #0xe2a
0xfffffff009f5ba18: bde29497  bl	#0xfffffff00849450c
0xfffffff009f5ba1c: 7f2303d5  pacibsp	
0xfffffff009f5ba20: ff4304d1  sub	sp, sp, #0x110
0xfffffff009f5ba24: fc6f0ba9  stp	x28, x27, [sp, #0xb0]
0xfffffff009f5ba28: fa670ca9  stp	x26, x25, [sp, #0xc0]
0xfffffff009f5ba2c: f85f0da9  stp	x24, x23, [sp, #0xd0]
0xfffffff009f5ba30: f6570ea9  stp	x22, x21, [sp, #0xe0]
0xfffffff009f5ba34: f44f0fa9  stp	x20, x19, [sp, #0xf0]
0xfffffff009f5ba38: fd7b10a9  stp	x29, x30, [sp, #0x100]
0xfffffff009f5ba3c: fd030491  add	x29, sp, #0x100
0xfffffff009f5ba40: f60306aa  mov	x22, x6
0xfffffff009f5ba44: f80305aa  mov	x24, x5
0xfffffff009f5ba48: f40304aa  mov	x20, x4
0xfffffff009f5ba4c: f50303aa  mov	x21, x3
0xfffffff009f5ba50: f90302aa  mov	x25, x2
0xfffffff009f5ba54: fb0301aa  mov	x27, x1
0xfffffff009f5ba58: f30300aa  mov	x19, x0
0xfffffff009f5ba5c: bfff39a9  stp	xzr, xzr, [x29, #-0x68]
0xfffffff009f5ba60: bf0319f8  stur	xzr, [x29, #-0x70]
0xfffffff009f5ba64: 9f0000f9  str	xzr, [x4]
0xfffffff009f5ba68: e00302aa  mov	x0, x2
0xfffffff009f5ba6c: 44b4fd97  bl	#0xfffffff009ec8b7c
0xfffffff009f5ba70: 68734239  ldrb	w8, [x27, #0x9c]
0xfffffff009f5ba74: 880b0837  tbnz	w8, #1, #0xfffffff009f5bbe4
0xfffffff009f5ba78: f70300aa  mov	x23, x0
0xfffffff009f5ba7c: 1f100071  cmp	w0, #4
0xfffffff009f5ba80: f52b00f9  str	x21, [sp, #0x50]
0xfffffff009f5ba84: c1090054  b.ne	#0xfffffff009f5bbbc
0xfffffff009f5ba88: 68134179  ldrh	w8, [x27, #0x88]
0xfffffff009f5ba8c: 080d1412  and	w8, w8, #0xf000
