; Candidate 2977
; ADRP+ADD at VM 0xfffffff0086f9510 (fileoff 0x16f5510): page=0x1fea38000 add_imm=0xd90

0xfffffff0086f9490: 08468652  mov	w8, #0x3230
0xfffffff0086f9494: c80cae72  movk	w8, #0x7066, lsl #16
0xfffffff0086f9498: 3f00086b  cmp	w1, w8
0xfffffff0086f949c: 20010054  b.eq	#0xfffffff0086f94c0
0xfffffff0086f94a0: 48468652  mov	w8, #0x3232
0xfffffff0086f94a4: c80cae72  movk	w8, #0x7066, lsl #16
0xfffffff0086f94a8: 3f00086b  cmp	w1, w8
0xfffffff0086f94ac: a0000054  b.eq	#0xfffffff0086f94c0
0xfffffff0086f94b0: 88868652  mov	w8, #0x3434
0xfffffff0086f94b4: c80cae72  movk	w8, #0x7066, lsl #16
0xfffffff0086f94b8: 3f00086b  cmp	w1, w8
0xfffffff0086f94bc: 41000054  b.ne	#0xfffffff0086f94c4
0xfffffff0086f94c0: c0035fd6  ret	
0xfffffff0086f94c4: 40008052  mov	w0, #2
0xfffffff0086f94c8: c0035fd6  ret	
0xfffffff0086f94cc: 7f2303d5  pacibsp	
0xfffffff0086f94d0: ff0301d1  sub	sp, sp, #0x40
0xfffffff0086f94d4: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff0086f94d8: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0086f94dc: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0086f94e0: fdc30091  add	x29, sp, #0x30
0xfffffff0086f94e4: f40302aa  mov	x20, x2
0xfffffff0086f94e8: f30301aa  mov	x19, x1
0xfffffff0086f94ec: 55c843f9  ldr	x21, [x2, #0x790]
0xfffffff0086f94f0: 28584029  ldp	w8, w22, [x1]
0xfffffff0086f94f4: c802084b  sub	w8, w22, w8
0xfffffff0086f94f8: 1f350071  cmp	w8, #0xd
0xfffffff0086f94fc: a3010054  b.lo	#0xfffffff0086f9530
0xfffffff0086f9500: c82f8152  mov	w8, #0x97e
0xfffffff0086f9504: c952ff90  adrp	x9, #0xfffffff007151000
0xfffffff0086f9508: 29d51791  add	x9, x9, #0x5f5
0xfffffff0086f950c: e92300a9  stp	x9, x8, [sp]
0xfffffff0086f9510: c051ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086f9514: 00403691  add	x0, x0, #0xd90
0xfffffff0086f9518: 2198ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f951c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f9520: e351ffb0  adrp	x3, #0xfffffff007136000
0xfffffff0086f9524: 63700091  add	x3, x3, #0x1c
0xfffffff0086f9528: 02008052  mov	w2, #0
0xfffffff0086f952c: 01e7f097  bl	#0xfffffff008333130
0xfffffff0086f9530: e8899d52  mov	w8, #0xec4f
0xfffffff0086f9534: 88d8a972  movk	w8, #0x4ec4, lsl #16
0xfffffff0086f9538: c87ea89b  umull	x8, w22, w8
0xfffffff0086f953c: 08fd62d3  lsr	x8, x8, #0x22
0xfffffff0086f9540: a9018052  mov	w9, #0xd
0xfffffff0086f9544: 08d9091b  msub	w8, w8, w9, w22
0xfffffff0086f9548: a92a41b9  ldr	w9, [x21, #0x128]
0xfffffff0086f954c: 0a4b8052  mov	w10, #0x258
0xfffffff0086f9550: 084daa9b  umaddl	x8, w8, w10, x19
0xfffffff0086f9554: 090900b9  str	w9, [x8, #8]
0xfffffff0086f9558: 29008052  mov	w9, #1
0xfffffff0086f955c: 093100b9  str	w9, [x8, #0x30]
0xfffffff0086f9560: 69825eb9  ldr	w9, [x19, #0x1e80]
0xfffffff0086f9564: 3f050071  cmp	w9, #1
0xfffffff0086f9568: ea179f1a  cset	w10, eq
0xfffffff0086f956c: aa5a6ab8  ldr	w10, [x21, w10, uxtw #2]
0xfffffff0086f9570: 0b018052  mov	w11, #8
0xfffffff0086f9574: 0c028052  mov	w12, #0x10
0xfffffff0086f9578: 8b018b9a  csel	x11, x12, x11, eq
0xfffffff0086f957c: 142500f9  str	x20, [x8, #0x48]
0xfffffff0086f9580: 8cca43f9  ldr	x12, [x20, #0x790]
0xfffffff0086f9584: 8b696bf8  ldr	x11, [x12, x11]
0xfffffff0086f9588: 09290729  stp	w9, w10, [x8, #0x38]
0xfffffff0086f958c: 0b2100f9  str	x11, [x8, #0x40]
