; Candidate 15937
; ADRP+ADD at VM 0xfffffff009ded020 (fileoff 0x2de9020): page=0x5d1000 add_imm=0xd80

0xfffffff009decfa0: 000106ad  stp	q0, q0, [x8, #0xc0]
0xfffffff009decfa4: 000107ad  stp	q0, q0, [x8, #0xe0]
0xfffffff009decfa8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009decfac: ff0f5fd6  retab	
0xfffffff009decfb0: 5f2403d5  bti	c
0xfffffff009decfb4: 66e99317  b	#0xfffffff0082e754c
0xfffffff009decfb8: 5f2403d5  bti	c
0xfffffff009decfbc: 64e99317  b	#0xfffffff0082e754c
0xfffffff009decfc0: 7f2303d5  pacibsp	
0xfffffff009decfc4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009decfc8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009decfcc: fd430091  add	x29, sp, #0x10
0xfffffff009decfd0: f30300aa  mov	x19, x0
0xfffffff009decfd4: 5ee99397  bl	#0xfffffff0082e754c
0xfffffff009decfd8: e0f9fe90  adrp	x0, #0xfffffff007d28000
0xfffffff009decfdc: 00e02a91  add	x0, x0, #0xab8
0xfffffff009decfe0: e10313aa  mov	x1, x19
0xfffffff009decfe4: 02098152  mov	w2, #0x848
0xfffffff009decfe8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009decfec: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009decff0: ff2303d5  autibsp	
0xfffffff009decff4: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009decff8: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009ded000
0xfffffff009decffc: 208e38d4  brk	#0xc471
0xfffffff009ded000: a7e99317  b	#0xfffffff0082e769c
0xfffffff009ded004: 5f2403d5  bti	c
0xfffffff009ded008: e20301aa  mov	x2, x1
0xfffffff009ded00c: e10300aa  mov	x1, x0
0xfffffff009ded010: c0f9fef0  adrp	x0, #0xfffffff007d28000
0xfffffff009ded014: 00e02a91  add	x0, x0, #0xab8
0xfffffff009ded018: a1e99317  b	#0xfffffff0082e769c
0xfffffff009ded01c: 5f2403d5  bti	c
0xfffffff009ded020: 802e00b0  adrp	x0, #0xfffffff00a3be000
0xfffffff009ded024: 00003691  add	x0, x0, #0xd80
0xfffffff009ded028: c0035fd6  ret	
0xfffffff009ded02c: 7f2303d5  pacibsp	
0xfffffff009ded030: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009ded034: fd030091  mov	x29, sp
0xfffffff009ded038: a1c5fe90  adrp	x1, #0xfffffff0076a1000
0xfffffff009ded03c: 21dc0891  add	x1, x1, #0x237
0xfffffff009ded040: 82f9fe90  adrp	x2, #0xfffffff007d1d000
0xfffffff009ded044: 427843f9  ldr	x2, [x2, #0x6f0]
0xfffffff009ded048: 03098152  mov	w3, #0x848
0xfffffff009ded04c: bbda9397  bl	#0xfffffff0082e3b38
0xfffffff009ded050: d0f9fe90  adrp	x16, #0xfffffff007d25000
0xfffffff009ded054: 10220691  add	x16, x16, #0x188
0xfffffff009ded058: 10420091  add	x16, x16, #0x10
0xfffffff009ded05c: f10300aa  mov	x17, x0
0xfffffff009ded060: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009ded064: 300ac1da  pacda	x16, x17
0xfffffff009ded068: 100000f9  str	x16, [x0]
0xfffffff009ded06c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009ded070: ff0f5fd6  retab	
0xfffffff009ded074: 7f2303d5  pacibsp	
0xfffffff009ded078: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009ded07c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009ded080: fd430091  add	x29, sp, #0x10
0xfffffff009ded084: c0f9fef0  adrp	x0, #0xfffffff007d28000
0xfffffff009ded088: 00e02a91  add	x0, x0, #0xab8
0xfffffff009ded08c: 01098152  mov	w1, #0x848
0xfffffff009ded090: 6ae99397  bl	#0xfffffff0082e7638
0xfffffff009ded094: f30300aa  mov	x19, x0
0xfffffff009ded098: 942e00b0  adrp	x20, #0xfffffff00a3be000
0xfffffff009ded09c: 94023691  add	x20, x20, #0xd80
