; Candidate 556
; ADRP+ADD at VM 0xfffffff007f83608 (fileoff 0xf7f608): page=0x1ff9f0000 add_imm=0xdf0

0xfffffff007f83588: 7f0208eb  cmp	x19, x8
0xfffffff007f8358c: 61060054  b.ne	#0xfffffff007f83658
0xfffffff007f83590: 08008052  mov	w8, #0
0xfffffff007f83594: 891a2291  add	x9, x20, #0x886
0xfffffff007f83598: 18000014  b	#0xfffffff007f835f8
0xfffffff007f8359c: c81a44b9  ldr	w8, [x22, #0x418]
0xfffffff007f835a0: 89c20191  add	x9, x20, #0x70
0xfffffff007f835a4: e20308aa  mov	x2, x8
0xfffffff007f835a8: 3ffda288  casl	w2, wzr, [x9]
0xfffffff007f835ac: 5f00086b  cmp	w2, w8
0xfffffff007f835b0: 010a0054  b.ne	#0xfffffff007f836f0
0xfffffff007f835b4: 881240f9  ldr	x8, [x20, #0x20]
0xfffffff007f835b8: e84f01a9  stp	x8, x19, [sp, #0x10]
0xfffffff007f835bc: 28cb8352  mov	w8, #0x1e59
0xfffffff007f835c0: e986fff0  adrp	x9, #0xfffffff007062000
0xfffffff007f835c4: 29111c91  add	x9, x9, #0x704
0xfffffff007f835c8: e92300a9  stp	x9, x8, [sp]
0xfffffff007f835cc: 4084ffb0  adrp	x0, #0xfffffff00700c000
0xfffffff007f835d0: 00000091  add	x0, x0, #0
0xfffffff007f835d4: a11401f0  adrp	x1, #0xfffffff00a21a000
0xfffffff007f835d8: 21502f91  add	x1, x1, #0xbd4
0xfffffff007f835dc: 4389ffd0  adrp	x3, #0xfffffff0070ad000
0xfffffff007f835e0: 63dc1991  add	x3, x3, #0x677
0xfffffff007f835e4: 02008052  mov	w2, #0
0xfffffff007f835e8: d2be0e94  bl	#0xfffffff008333130
0xfffffff007f835ec: 29000014  b	#0xfffffff007f83690
0xfffffff007f835f0: 08008052  mov	w8, #0
0xfffffff007f835f4: 891e2291  add	x9, x20, #0x887
0xfffffff007f835f8: 2a008052  mov	w10, #1
0xfffffff007f835fc: 2afde808  casalb	w8, w10, [x9]
0xfffffff007f83600: 1f010071  cmp	w8, #0
0xfffffff007f83604: 01050054  b.ne	#0xfffffff007f836a4
0xfffffff007f83608: 80cfff90  adrp	x0, #0xfffffff007973000
0xfffffff007f8360c: 00c03791  add	x0, x0, #0xdf0
0xfffffff007f83610: 81009052  mov	w1, #0x8004
0xfffffff007f83614: 308ef897  bl	#0xfffffff007da6ed4
0xfffffff007f83618: 14cc01a9  stp	x20, x19, [x0, #0x18]
0xfffffff007f8361c: 10000090  adrp	x16, #0xfffffff007f83000
0xfffffff007f83620: 10923291  add	x16, x16, #0xca4
0xfffffff007f83624: f10300aa  mov	x17, x0
0xfffffff007f83628: 1173e6f2  movk	x17, #0x3398, lsl #48
0xfffffff007f8362c: 3002c1da  pacia	x16, x17
0xfffffff007f83630: 100000f9  str	x16, [x0]
0xfffffff007f83634: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff007f83638: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff007f8363c: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff007f83640: ff430191  add	sp, sp, #0x50
0xfffffff007f83644: ff2303d5  autibsp	
0xfffffff007f83648: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007f8364c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007f83654
0xfffffff007f83650: 208e38d4  brk	#0xc471
0xfffffff007f83654: 18580314  b	#0xfffffff0080596b4
0xfffffff007f83658: 881240f9  ldr	x8, [x20, #0x20]
0xfffffff007f8365c: e84f01a9  stp	x8, x19, [sp, #0x10]
0xfffffff007f83660: a8cd8352  mov	w8, #0x1e6d
0xfffffff007f83664: e986fff0  adrp	x9, #0xfffffff007062000
0xfffffff007f83668: 29111c91  add	x9, x9, #0x704
0xfffffff007f8366c: e92300a9  stp	x9, x8, [sp]
0xfffffff007f83670: 4084ffb0  adrp	x0, #0xfffffff00700c000
0xfffffff007f83674: 00000091  add	x0, x0, #0
0xfffffff007f83678: a11401f0  adrp	x1, #0xfffffff00a21a000
0xfffffff007f8367c: 21502f91  add	x1, x1, #0xbd4
0xfffffff007f83680: 4389ffd0  adrp	x3, #0xfffffff0070ad000
0xfffffff007f83684: 63c81a91  add	x3, x3, #0x6b2
