; Candidate 5134
; ADRP+ADD at VM 0xfffffff0087dadec (fileoff 0x17d6dec): page=0x1fea0f000 add_imm=0xe80

0xfffffff0087dad6c: f70300aa  mov	x23, x0
0xfffffff0087dad70: 0f650394  bl	#0xfffffff0088b41ac
0xfffffff0087dad74: f60300aa  mov	x22, x0
0xfffffff0087dad78: 00018052  mov	w0, #8
0xfffffff0087dad7c: b5820294  bl	#0xfffffff00887b850
0xfffffff0087dad80: d7010034  cbz	w23, #0xfffffff0087dadb8
0xfffffff0087dad84: fb5703a9  stp	x27, x21, [sp, #0x30]
0xfffffff0087dad88: c851ff90  adrp	x8, #0xfffffff007212000
0xfffffff0087dad8c: 08e11191  add	x8, x8, #0x478
0xfffffff0087dad90: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087dad94: c851ff90  adrp	x8, #0xfffffff007212000
0xfffffff0087dad98: 081d0291  add	x8, x8, #0x87
0xfffffff0087dad9c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087dada0: 280a8052  mov	w8, #0x51
0xfffffff0087dada4: a051ffd0  adrp	x0, #0xfffffff007210000
0xfffffff0087dada8: 00a42d91  add	x0, x0, #0xb69
0xfffffff0087dadac: f62300a9  stp	x22, x8, [sp]
0xfffffff0087dadb0: ac71d797  bl	#0xfffffff007db7460
0xfffffff0087dadb4: 16000014  b	#0xfffffff0087dae0c
0xfffffff0087dadb8: fd640394  bl	#0xfffffff0088b41ac
0xfffffff0087dadbc: f60300aa  mov	x22, x0
0xfffffff0087dadc0: 00018052  mov	w0, #8
0xfffffff0087dadc4: a3820294  bl	#0xfffffff00887b850
0xfffffff0087dadc8: fb5703a9  stp	x27, x21, [sp, #0x30]
0xfffffff0087dadcc: c851ff90  adrp	x8, #0xfffffff007212000
0xfffffff0087dadd0: 08e11191  add	x8, x8, #0x478
0xfffffff0087dadd4: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087dadd8: c851ff90  adrp	x8, #0xfffffff007212000
0xfffffff0087daddc: 081d0291  add	x8, x8, #0x87
0xfffffff0087dade0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087dade4: 280a8052  mov	w8, #0x51
0xfffffff0087dade8: f62300a9  stp	x22, x8, [sp]
0xfffffff0087dadec: 6050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087dadf0: 00003a91  add	x0, x0, #0xe80
0xfffffff0087dadf4: 6191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087dadf8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087dadfc: 0353ffb0  adrp	x3, #0xfffffff00723b000
0xfffffff0087dae00: 63e03d91  add	x3, x3, #0xf78
0xfffffff0087dae04: 02008052  mov	w2, #0
0xfffffff0087dae08: ca60ed97  bl	#0xfffffff008333130
0xfffffff0087dae0c: b91a40f9  ldr	x25, [x21, #0x30]
0xfffffff0087dae10: f90000b4  cbz	x25, #0xfffffff0087dae2c
0xfffffff0087dae14: ba3a40b9  ldr	w26, [x21, #0x38]
0xfffffff0087dae18: ba000034  cbz	w26, #0xfffffff0087dae2c
0xfffffff0087dae1c: 160080d2  mov	x22, #0
0xfffffff0087dae20: 180080d2  mov	x24, #0
0xfffffff0087dae24: 590600b5  cbnz	x25, #0xfffffff0087daeec
0xfffffff0087dae28: 52000014  b	#0xfffffff0087daf70
0xfffffff0087dae2c: b62240f9  ldr	x22, [x21, #0x40]
0xfffffff0087dae30: b60900b4  cbz	x22, #0xfffffff0087daf64
0xfffffff0087dae34: d00240f9  ldr	x16, [x22]
0xfffffff0087dae38: f10316aa  mov	x17, x22
0xfffffff0087dae3c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087dae40: 301ac1da  autda	x16, x17
0xfffffff0087dae44: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff0087dae48: e90310aa  mov	x9, x16
0xfffffff0087dae4c: e00316aa  mov	x0, x22
0xfffffff0087dae50: 01008052  mov	w1, #0
0xfffffff0087dae54: f10309aa  mov	x17, x9
0xfffffff0087dae58: 71b6fef2  movk	x17, #0xf5b3, lsl #48
0xfffffff0087dae5c: 11093fd7  blraa	x8, x17
0xfffffff0087dae60: d00240f9  ldr	x16, [x22]
0xfffffff0087dae64: f10316aa  mov	x17, x22
0xfffffff0087dae68: 31b4f9f2  movk	x17, #0xcda1, lsl #48
