; Candidate 9250
; ADRP+ADD at VM 0xfffffff008a14d70 (fileoff 0x1a10d70): page=0x1fe885000 add_imm=0xe40

0xfffffff008a14cf0: f50300aa  mov	x21, x0
0xfffffff008a14cf4: 40050034  cbz	w0, #0xfffffff008a14d9c
0xfffffff008a14cf8: 900240f9  ldr	x16, [x20]
0xfffffff008a14cfc: f10314aa  mov	x17, x20
0xfffffff008a14d00: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a14d04: 301ac1da  autda	x16, x17
0xfffffff008a14d08: 113d80d2  mov	x17, #0x1e8
0xfffffff008a14d0c: 1002118b  add	x16, x16, x17
0xfffffff008a14d10: 080240f9  ldr	x8, [x16]
0xfffffff008a14d14: e90310aa  mov	x9, x16
0xfffffff008a14d18: e00314aa  mov	x0, x20
0xfffffff008a14d1c: 010080d2  mov	x1, #0
0xfffffff008a14d20: f10309aa  mov	x17, x9
0xfffffff008a14d24: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a14d28: 11093fd7  blraa	x8, x17
0xfffffff008a14d2c: 900240f9  ldr	x16, [x20]
0xfffffff008a14d30: f10314aa  mov	x17, x20
0xfffffff008a14d34: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a14d38: 301ac1da  autda	x16, x17
0xfffffff008a14d3c: 113d80d2  mov	x17, #0x1e8
0xfffffff008a14d40: 1002118b  add	x16, x16, x17
0xfffffff008a14d44: 080240f9  ldr	x8, [x16]
0xfffffff008a14d48: e90310aa  mov	x9, x16
0xfffffff008a14d4c: e00314aa  mov	x0, x20
0xfffffff008a14d50: 010080d2  mov	x1, #0
0xfffffff008a14d54: f10309aa  mov	x17, x9
0xfffffff008a14d58: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a14d5c: 11093fd7  blraa	x8, x17
0xfffffff008a14d60: 2844fff0  adrp	x8, #0xfffffff00729b000
0xfffffff008a14d64: 08cd3991  add	x8, x8, #0xe73
0xfffffff008a14d68: e8d700a9  stp	x8, x21, [sp, #8]
0xfffffff008a14d6c: e00300f9  str	x0, [sp]
0xfffffff008a14d70: 2044ffb0  adrp	x0, #0xfffffff007299000
0xfffffff008a14d74: 00003991  add	x0, x0, #0xe40
0xfffffff008a14d78: a181fff0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a14d7c: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a14d80: 4344fff0  adrp	x3, #0xfffffff00729f000
0xfffffff008a14d84: 63382391  add	x3, x3, #0x8ce
0xfffffff008a14d88: 02008052  mov	w2, #0
0xfffffff008a14d8c: e978e497  bl	#0xfffffff008333130
0xfffffff008a14d90: e00314aa  mov	x0, x20
0xfffffff008a14d94: 010080d2  mov	x1, #0
0xfffffff008a14d98: 893be697  bl	#0xfffffff0083a3bbc
0xfffffff008a14d9c: e80240b9  ldr	w8, [x23]
0xfffffff008a14da0: 1f791c72  tst	w8, #0xfffffff7
0xfffffff008a14da4: 40010054  b.eq	#0xfffffff008a14dcc
0xfffffff008a14da8: c0060011  add	w0, w22, #1
0xfffffff008a14dac: e10314aa  mov	x1, x20
0xfffffff008a14db0: e20313aa  mov	x2, x19
0xfffffff008a14db4: 030080d2  mov	x3, #0
0xfffffff008a14db8: 64008052  mov	w4, #3
0xfffffff008a14dbc: 050080d2  mov	x5, #0
0xfffffff008a14dc0: 51a4dd97  bl	#0xfffffff00817df04
0xfffffff008a14dc4: 02000014  b	#0xfffffff008a14dcc
0xfffffff008a14dc8: 15008052  mov	w21, #0
0xfffffff008a14dcc: e00315aa  mov	x0, x21
0xfffffff008a14dd0: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008a14dd4: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008a14dd8: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008a14ddc: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008a14de0: ff830191  add	sp, sp, #0x60
0xfffffff008a14de4: ff0f5fd6  retab	
0xfffffff008a14de8: 7f2303d5  pacibsp	
0xfffffff008a14dec: f44fbea9  stp	x20, x19, [sp, #-0x20]!
