; Candidate 10686
; ADRP+ADD at VM 0xfffffff008de3228 (fileoff 0x1ddf228): page=0x1fe5e1000 add_imm=0xe15

0xfffffff008de31a8: 0b2fffb0  adrp	x11, #0xfffffff0073c4000
0xfffffff008de31ac: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de31b0: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de31b4: eb0300f9  str	x11, [sp]
0xfffffff008de31b8: 002fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de31bc: 00543891  add	x0, x0, #0xe15
0xfffffff008de31c0: 98cfd597  bl	#0xfffffff008357020
0xfffffff008de31c4: ffc30091  add	sp, sp, #0x30
0xfffffff008de31c8: c8088052  mov	w8, #0x46
0xfffffff008de31cc: 9f030091  mov	sp, x28
0xfffffff008de31d0: c4ffff17  b	#0xfffffff008de30e0
0xfffffff008de31d4: ffc300d1  sub	sp, sp, #0x30
0xfffffff008de31d8: 68a88052  mov	w8, #0x543
0xfffffff008de31dc: e92effd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de31e0: 29490d91  add	x9, x9, #0x352
0xfffffff008de31e4: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de31e8: 082fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de31ec: 08493991  add	x8, x8, #0xe52
0xfffffff008de31f0: ea2efff0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de31f4: 4a410491  add	x10, x10, #0x110
0xfffffff008de31f8: 0a000014  b	#0xfffffff008de3220
0xfffffff008de31fc: ffc300d1  sub	sp, sp, #0x30
0xfffffff008de3200: 88a88052  mov	w8, #0x544
0xfffffff008de3204: e92effd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de3208: 29490d91  add	x9, x9, #0x352
0xfffffff008de320c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de3210: 082fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de3214: 08493991  add	x8, x8, #0xe52
0xfffffff008de3218: ea2efff0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de321c: 4a750591  add	x10, x10, #0x15d
0xfffffff008de3220: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008de3224: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008de3228: 002fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de322c: 00543891  add	x0, x0, #0xe15
0xfffffff008de3230: 7ccfd597  bl	#0xfffffff008357020
0xfffffff008de3234: ffc30091  add	sp, sp, #0x30
0xfffffff008de3238: c8088052  mov	w8, #0x46
0xfffffff008de323c: 53008012  mov	w19, #-3
0xfffffff008de3240: acffff17  b	#0xfffffff008de30f0
0xfffffff008de3244: 02ebbd97  bl	#0xfffffff007d5de4c
0xfffffff008de3248: 7f2303d5  pacibsp	
0xfffffff008de324c: ff0302d1  sub	sp, sp, #0x80
0xfffffff008de3250: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff008de3254: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff008de3258: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008de325c: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008de3260: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008de3264: fdc30191  add	x29, sp, #0x70
0xfffffff008de3268: f30303aa  mov	x19, x3
0xfffffff008de326c: f50302aa  mov	x21, x2
0xfffffff008de3270: f60301aa  mov	x22, x1
0xfffffff008de3274: f40300aa  mov	x20, x0
0xfffffff008de3278: f9a80090  adrp	x25, #0xfffffff00a2ff000
0xfffffff008de327c: 39432c91  add	x25, x25, #0xb10
0xfffffff008de3280: 28034039  ldrb	w8, [x25]
0xfffffff008de3284: f72efff0  adrp	x23, #0xfffffff0073c2000
0xfffffff008de3288: f7860691  add	x23, x23, #0x1a1
0xfffffff008de328c: f82effd0  adrp	x24, #0xfffffff0073c1000
0xfffffff008de3290: 189f0c91  add	x24, x24, #0x327
0xfffffff008de3294: 1f290071  cmp	w8, #0xa
0xfffffff008de3298: a8000054  b.hi	#0xfffffff008de32ac
0xfffffff008de329c: f85f00a9  stp	x24, x23, [sp]
0xfffffff008de32a0: 002fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de32a4: 00843491  add	x0, x0, #0xd21
