; Candidate 11162
; ADRP+ADD at VM 0xfffffff008e8247c (fileoff 0x1e7e47c): page=0x1fec8b000 add_imm=0xdc0

0xfffffff008e823fc: 10020591  add	x16, x16, #0x140
0xfffffff008e82400: 91b790d2  mov	x17, #0x85bc
0xfffffff008e82404: 3002c1da  pacia	x16, x17
0xfffffff008e82408: e20310aa  mov	x2, x16
0xfffffff008e8240c: 61088052  mov	w1, #0x43
0xfffffff008e82410: e30313aa  mov	x3, x19
0xfffffff008e82414: 0f000094  bl	#0xfffffff008e82450
0xfffffff008e82418: 604e48f9  ldr	x0, [x19, #0x1098]
0xfffffff008e8241c: 100000b0  adrp	x16, #0xfffffff008e83000
0xfffffff008e82420: 10920691  add	x16, x16, #0x1a4
0xfffffff008e82424: 91b790d2  mov	x17, #0x85bc
0xfffffff008e82428: 3002c1da  pacia	x16, x17
0xfffffff008e8242c: e20310aa  mov	x2, x16
0xfffffff008e82430: 41088052  mov	w1, #0x42
0xfffffff008e82434: e30313aa  mov	x3, x19
0xfffffff008e82438: 06000094  bl	#0xfffffff008e82450
0xfffffff008e8243c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008e82440: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008e82444: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff008e82448: ff430191  add	sp, sp, #0x50
0xfffffff008e8244c: ff0f5fd6  retab	
0xfffffff008e82450: 7f2303d5  pacibsp	
0xfffffff008e82454: ff4301d1  sub	sp, sp, #0x50
0xfffffff008e82458: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff008e8245c: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff008e82460: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008e82464: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008e82468: fd030191  add	x29, sp, #0x40
0xfffffff008e8246c: f60303aa  mov	x22, x3
0xfffffff008e82470: f70302aa  mov	x23, x2
0xfffffff008e82474: f50301aa  mov	x21, x1
0xfffffff008e82478: f30300aa  mov	x19, x0
0xfffffff008e8247c: 4064fff0  adrp	x0, #0xfffffff007b0d000
0xfffffff008e82480: 00003791  add	x0, x0, #0xdc0
0xfffffff008e82484: 1c50d397  bl	#0xfffffff0083564f4
0xfffffff008e82488: f40300aa  mov	x20, x0
0xfffffff008e8248c: 16fc00a9  stp	x22, xzr, [x0, #8]
0xfffffff008e82490: 15600039  strb	w21, [x0, #0x18]
0xfffffff008e82494: 1f7c02a9  stp	xzr, xzr, [x0, #0x20]
0xfffffff008e82498: 1fc00039  strb	wzr, [x0, #0x30]
0xfffffff008e8249c: 1f1c00f9  str	xzr, [x0, #0x38]
0xfffffff008e824a0: 1064ffb0  adrp	x16, #0xfffffff007b03000
0xfffffff008e824a4: 10e23f91  add	x16, x16, #0xff8
0xfffffff008e824a8: 10420091  add	x16, x16, #0x10
0xfffffff008e824ac: f10300aa  mov	x17, x0
0xfffffff008e824b0: 116bfff2  movk	x17, #0xfb58, lsl #48
0xfffffff008e824b4: 300ac1da  pacda	x16, x17
0xfffffff008e824b8: 100000f9  str	x16, [x0]
0xfffffff008e824bc: 1f4000b9  str	wzr, [x0, #0x40]
0xfffffff008e824c0: 172400f9  str	x23, [x0, #0x48]
0xfffffff008e824c4: e00315aa  mov	x0, x21
0xfffffff008e824c8: 6b4d2b94  bl	#0xfffffff009955a74
0xfffffff008e824cc: 1f080071  cmp	w0, #2
0xfffffff008e824d0: 20010054  b.eq	#0xfffffff008e824f4
0xfffffff008e824d4: e00315aa  mov	x0, x21
0xfffffff008e824d8: 95542b94  bl	#0xfffffff00995772c
0xfffffff008e824dc: e82aff90  adrp	x8, #0xfffffff0073de000
0xfffffff008e824e0: 08ad2991  add	x8, x8, #0xa6b
0xfffffff008e824e4: e80300a9  stp	x8, x0, [sp]
0xfffffff008e824e8: a02aff90  adrp	x0, #0xfffffff0073d6000
0xfffffff008e824ec: 00ac1e91  add	x0, x0, #0x7ab
0xfffffff008e824f0: cc52d397  bl	#0xfffffff008357020
0xfffffff008e824f4: e00313aa  mov	x0, x19
0xfffffff008e824f8: e10314aa  mov	x1, x20
