; Candidate 16106
; ADRP+ADD at VM 0xfffffff009e1db40 (fileoff 0x2e19b40): page=0x1fd9fc000 add_imm=0xe54

0xfffffff009e1dac0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009e1dac4: ff2303d5  autibsp	
0xfffffff009e1dac8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009e1dacc: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009e1dad4
0xfffffff009e1dad0: 208e38d4  brk	#0xc471
0xfffffff009e1dad4: 03340014  b	#0xfffffff009e2aae0
0xfffffff009e1dad8: 7f2303d5  pacibsp	
0xfffffff009e1dadc: ff4302d1  sub	sp, sp, #0x90
0xfffffff009e1dae0: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff009e1dae4: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff009e1dae8: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff009e1daec: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff009e1daf0: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff009e1daf4: fd030291  add	x29, sp, #0x80
0xfffffff009e1daf8: f40301aa  mov	x20, x1
0xfffffff009e1dafc: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009e1db00: e00301ad  stp	q0, q0, [sp, #0x20]
0xfffffff009e1db04: 18dc40a9  ldp	x24, x23, [x0, #8]
0xfffffff009e1db08: 16e441a9  ldp	x22, x25, [x0, #0x18]
0xfffffff009e1db0c: 1a2840b9  ldr	w26, [x0, #0x28]
0xfffffff009e1db10: 080040b9  ldr	w8, [x0]
0xfffffff009e1db14: 1f010071  cmp	w8, #0
0xfffffff009e1db18: f3079f1a  cset	w19, ne
0xfffffff009e1db1c: e0830091  add	x0, sp, #0x20
0xfffffff009e1db20: 010080d2  mov	x1, #0
0xfffffff009e1db24: 02108052  mov	w2, #0x80
0xfffffff009e1db28: 23008052  mov	w3, #1
0xfffffff009e1db2c: 32758f97  bl	#0xfffffff0081faff4
0xfffffff009e1db30: a00800b4  cbz	x0, #0xfffffff009e1dc44
0xfffffff009e1db34: 082d00d0  adrp	x8, #0xfffffff00a3bf000
0xfffffff009e1db38: 087944b9  ldr	w8, [x8, #0x478]
0xfffffff009e1db3c: a8000035  cbnz	w8, #0xfffffff009e1db50
0xfffffff009e1db40: e0cffe90  adrp	x0, #0xfffffff007819000
0xfffffff009e1db44: 00503991  add	x0, x0, #0xe54
0xfffffff009e1db48: 319eff97  bl	#0xfffffff009e0540c
0xfffffff009e1db4c: c0030034  cbz	w0, #0xfffffff009e1dbc4
0xfffffff009e1db50: 35008052  mov	w21, #1
0xfffffff009e1db54: 736e1c53  lsl	w19, w19, #4
0xfffffff009e1db58: 94010034  cbz	w20, #0xfffffff009e1db88
0xfffffff009e1db5c: e8cffed0  adrp	x8, #0xfffffff00781b000
0xfffffff009e1db60: 08453a91  add	x8, x8, #0xe91
0xfffffff009e1db64: e9cffef0  adrp	x9, #0xfffffff00781c000
0xfffffff009e1db68: 29250a91  add	x9, x9, #0x289
0xfffffff009e1db6c: 9f060071  cmp	w20, #1
0xfffffff009e1db70: 2801889a  csel	x8, x9, x8, eq
0xfffffff009e1db74: f42300a9  stp	x20, x8, [sp]
0xfffffff009e1db78: e1cffed0  adrp	x1, #0xfffffff00781b000
0xfffffff009e1db7c: 21d83991  add	x1, x1, #0xe76
0xfffffff009e1db80: e0830091  add	x0, sp, #0x20
0xfffffff009e1db84: 27768f97  bl	#0xfffffff0081fb420
0xfffffff009e1db88: f9eb00a9  stp	x25, x26, [sp, #8]
0xfffffff009e1db8c: f80300f9  str	x24, [sp]
0xfffffff009e1db90: e1cffed0  adrp	x1, #0xfffffff00781b000
0xfffffff009e1db94: 214c3a91  add	x1, x1, #0xe93
0xfffffff009e1db98: e0830091  add	x0, sp, #0x20
0xfffffff009e1db9c: 21768f97  bl	#0xfffffff0081fb420
0xfffffff009e1dba0: d70000b4  cbz	x23, #0xfffffff009e1dbb8
0xfffffff009e1dba4: b60000b4  cbz	x22, #0xfffffff009e1dbb8
0xfffffff009e1dba8: f75b00a9  stp	x23, x22, [sp]
0xfffffff009e1dbac: e1cffed0  adrp	x1, #0xfffffff00781b000
0xfffffff009e1dbb0: 217c3a91  add	x1, x1, #0xe9f
0xfffffff009e1dbb4: 0a000014  b	#0xfffffff009e1dbdc
0xfffffff009e1dbb8: b70000b4  cbz	x23, #0xfffffff009e1dbcc
0xfffffff009e1dbbc: f70300f9  str	x23, [sp]
