; Candidate 5046
; ADRP+ADD at VM 0xfffffff0087d4550 (fileoff 0x17d0550): page=0x1fea15000 add_imm=0xe80

0xfffffff0087d44d0: 19020034  cbz	w25, #0xfffffff0087d4510
0xfffffff0087d44d4: e80317aa  mov	x8, x23
0xfffffff0087d44d8: f62304a9  stp	x22, x8, [sp, #0x40]
0xfffffff0087d44dc: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff0087d44e0: e851ffb0  adrp	x8, #0xfffffff007211000
0xfffffff0087d44e4: 08952391  add	x8, x8, #0x8e5
0xfffffff0087d44e8: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087d44ec: e851ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087d44f0: 08712591  add	x8, x8, #0x95c
0xfffffff0087d44f4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d44f8: 080a8052  mov	w8, #0x50
0xfffffff0087d44fc: e051ffb0  adrp	x0, #0xfffffff007211000
0xfffffff0087d4500: 00e02291  add	x0, x0, #0x8b8
0xfffffff0087d4504: f82300a9  stp	x24, x8, [sp]
0xfffffff0087d4508: d68bd797  bl	#0xfffffff007db7460
0xfffffff0087d450c: 19000014  b	#0xfffffff0087d4570
0xfffffff0087d4510: 277f0394  bl	#0xfffffff0088b41ac
0xfffffff0087d4514: f80300aa  mov	x24, x0
0xfffffff0087d4518: 00018052  mov	w0, #8
0xfffffff0087d451c: cd9c0294  bl	#0xfffffff00887b850
0xfffffff0087d4520: e80317aa  mov	x8, x23
0xfffffff0087d4524: f62304a9  stp	x22, x8, [sp, #0x40]
0xfffffff0087d4528: e80315aa  mov	x8, x21
0xfffffff0087d452c: f42303a9  stp	x20, x8, [sp, #0x30]
0xfffffff0087d4530: e851ffb0  adrp	x8, #0xfffffff007211000
0xfffffff0087d4534: 08952391  add	x8, x8, #0x8e5
0xfffffff0087d4538: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087d453c: e851ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087d4540: 08712591  add	x8, x8, #0x95c
0xfffffff0087d4544: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d4548: 080a8052  mov	w8, #0x50
0xfffffff0087d454c: f82300a9  stp	x24, x8, [sp]
0xfffffff0087d4550: a050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d4554: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d4558: a191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087d455c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d4560: 2353fff0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d4564: 63bc1091  add	x3, x3, #0x42f
0xfffffff0087d4568: 02008052  mov	w2, #0
0xfffffff0087d456c: f17aed97  bl	#0xfffffff008333130
0xfffffff0087d4570: 825a40b9  ldr	w2, [x20, #0x58]
0xfffffff0087d4574: 99138052  mov	w25, #0x9c
0xfffffff0087d4578: d974a572  movk	w25, #0x2ba6, lsl #16
0xfffffff0087d457c: 80138052  mov	w0, #0x9c
0xfffffff0087d4580: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff0087d4584: 41018052  mov	w1, #0xa
0xfffffff0087d4588: 030080d2  mov	x3, #0
0xfffffff0087d458c: 040080d2  mov	x4, #0
0xfffffff0087d4590: 050080d2  mov	x5, #0
0xfffffff0087d4594: 5ca6e697  bl	#0xfffffff00817df04
0xfffffff0087d4598: 605a40f9  ldr	x0, [x19, #0xb0]
0xfffffff0087d459c: e303152a  mov	w3, w21
0xfffffff0087d45a0: e57e4093  sxtw	x5, w23
0xfffffff0087d45a4: 100040f9  ldr	x16, [x0]
0xfffffff0087d45a8: f10300aa  mov	x17, x0
0xfffffff0087d45ac: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087d45b0: 301ac1da  autda	x16, x17
0xfffffff0087d45b4: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff0087d45b8: e90310aa  mov	x9, x16
0xfffffff0087d45bc: 700300d0  adrp	x16, #0xfffffff008842000
0xfffffff0087d45c0: 10d23191  add	x16, x16, #0xc74
0xfffffff0087d45c4: 31a897d2  mov	x17, #0xbd41
0xfffffff0087d45c8: 3002c1da  pacia	x16, x17
0xfffffff0087d45cc: e10310aa  mov	x1, x16
