; Candidate 8243
; ADRP+ADD at VM 0xfffffff00889e710 (fileoff 0x189a710): page=0x1fe94b000 add_imm=0xe80

0xfffffff00889e690: fc43fe97  bl	#0xfffffff00882f680
0xfffffff00889e694: f60300aa  mov	x22, x0
0xfffffff00889e698: e00315aa  mov	x0, x21
0xfffffff00889e69c: 7846fe97  bl	#0xfffffff00883007c
0xfffffff00889e6a0: df0200eb  cmp	x22, x0
0xfffffff00889e6a4: 01f6ff54  b.ne	#0xfffffff00889e564
0xfffffff00889e6a8: 15008052  mov	w21, #0
0xfffffff00889e6ac: b4835af8  ldur	x20, [x29, #-0x58]
0xfffffff00889e6b0: 1f000014  b	#0xfffffff00889e72c
0xfffffff00889e6b4: 15008052  mov	w21, #0
0xfffffff00889e6b8: 1d000014  b	#0xfffffff00889e72c
0xfffffff00889e6bc: bc560094  bl	#0xfffffff0088b41ac
0xfffffff00889e6c0: f60300aa  mov	x22, x0
0xfffffff00889e6c4: 80008052  mov	w0, #4
0xfffffff00889e6c8: 6274ff97  bl	#0xfffffff00887b850
0xfffffff00889e6cc: 680240b9  ldr	w8, [x19]
0xfffffff00889e6d0: f4d704a9  stp	x20, x21, [sp, #0x48]
0xfffffff00889e6d4: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00889e6d8: 884cffd0  adrp	x8, #0xfffffff007230000
0xfffffff00889e6dc: 0a993a91  add	x10, x8, #0xea6
0xfffffff00889e6e0: 28638052  mov	w8, #0x319
0xfffffff00889e6e4: 894cffd0  adrp	x9, #0xfffffff007230000
0xfffffff00889e6e8: 29553991  add	x9, x9, #0xe55
0xfffffff00889e6ec: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00889e6f0: 884cfff0  adrp	x8, #0xfffffff007231000
0xfffffff00889e6f4: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889e6f8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00889e6fc: a80f8052  mov	w8, #0x7d
0xfffffff00889e700: 034effd0  adrp	x3, #0xfffffff007260000
0xfffffff00889e704: 63283991  add	x3, x3, #0xe4a
0xfffffff00889e708: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00889e70c: f60300f9  str	x22, [sp]
0xfffffff00889e710: 404afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889e714: 00003a91  add	x0, x0, #0xe80
0xfffffff00889e718: 418bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00889e71c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889e720: 02008052  mov	w2, #0
0xfffffff00889e724: 8352ea97  bl	#0xfffffff008333130
0xfffffff00889e728: 157d8012  mov	w21, #-0x3e9
0xfffffff00889e72c: a00f8052  mov	w0, #0x7d
0xfffffff00889e730: e1008052  mov	w1, #7
0xfffffff00889e734: 2774ff97  bl	#0xfffffff00887b7d0
0xfffffff00889e738: 00060034  cbz	w0, #0xfffffff00889e7f8
0xfffffff00889e73c: a00f8052  mov	w0, #0x7d
0xfffffff00889e740: 3674ff97  bl	#0xfffffff00887b818
0xfffffff00889e744: f70300aa  mov	x23, x0
0xfffffff00889e748: 99560094  bl	#0xfffffff0088b41ac
0xfffffff00889e74c: f60300aa  mov	x22, x0
0xfffffff00889e750: e0008052  mov	w0, #7
0xfffffff00889e754: 3f74ff97  bl	#0xfffffff00887b850
0xfffffff00889e758: 17020034  cbz	w23, #0xfffffff00889e798
0xfffffff00889e75c: 680240b9  ldr	w8, [x19]
0xfffffff00889e760: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00889e764: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00889e768: 884cffd0  adrp	x8, #0xfffffff007230000
0xfffffff00889e76c: 09553991  add	x9, x8, #0xe55
0xfffffff00889e770: 884cfff0  adrp	x8, #0xfffffff007231000
0xfffffff00889e774: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889e778: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00889e77c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00889e780: a80f8052  mov	w8, #0x7d
0xfffffff00889e784: 804cffd0  adrp	x0, #0xfffffff007230000
0xfffffff00889e788: 00743d91  add	x0, x0, #0xf5d
0xfffffff00889e78c: f62300a9  stp	x22, x8, [sp]
