; Candidate 13580
; ADRP+ADD at VM 0xfffffff0093abff4 (fileoff 0x23a7ff4): page=0x1fe157000 add_imm=0xd20

0xfffffff0093abf74: 20050054  b.eq	#0xfffffff0093ac018
0xfffffff0093abf78: 1f090071  cmp	w8, #2
0xfffffff0093abf7c: 81090054  b.ne	#0xfffffff0093ac0ac
0xfffffff0093abf80: e00313aa  mov	x0, x19
0xfffffff0093abf84: 41008052  mov	w1, #2
0xfffffff0093abf88: 22008052  mov	w2, #1
0xfffffff0093abf8c: d8010094  bl	#0xfffffff0093ac6ec
0xfffffff0093abf90: e00313aa  mov	x0, x19
0xfffffff0093abf94: 61008052  mov	w1, #3
0xfffffff0093abf98: 22008052  mov	w2, #1
0xfffffff0093abf9c: d4010094  bl	#0xfffffff0093ac6ec
0xfffffff0093abfa0: e00313aa  mov	x0, x19
0xfffffff0093abfa4: 23020094  bl	#0xfffffff0093ac830
0xfffffff0093abfa8: a1b300d1  sub	x1, x29, #0x2c
0xfffffff0093abfac: e00313aa  mov	x0, x19
0xfffffff0093abfb0: 9c020094  bl	#0xfffffff0093aca20
0xfffffff0093abfb4: b47e00b0  adrp	x20, #0xfffffff00a380000
0xfffffff0093abfb8: 94622b91  add	x20, x20, #0xad8
0xfffffff0093abfbc: e00314aa  mov	x0, x20
0xfffffff0093abfc0: 66e2bc97  bl	#0xfffffff0082e4958
0xfffffff0093abfc4: e00314aa  mov	x0, x20
0xfffffff0093abfc8: 64e2bc97  bl	#0xfffffff0082e4958
0xfffffff0093abfcc: a8435d38  ldurb	w8, [x29, #-0x2c]
0xfffffff0093abfd0: a9535d38  ldurb	w9, [x29, #-0x2b]
0xfffffff0093abfd4: aa635d38  ldurb	w10, [x29, #-0x2a]
0xfffffff0093abfd8: ab735d38  ldurb	w11, [x29, #-0x29]
0xfffffff0093abfdc: ac835d38  ldurb	w12, [x29, #-0x28]
0xfffffff0093abfe0: ad935d38  ldurb	w13, [x29, #-0x27]
0xfffffff0093abfe4: ec3703a9  stp	x12, x13, [sp, #0x30]
0xfffffff0093abfe8: ea2f02a9  stp	x10, x11, [sp, #0x20]
0xfffffff0093abfec: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0093abff0: e05700a9  stp	x0, x21, [sp]
0xfffffff0093abff4: a00afff0  adrp	x0, #0xfffffff007502000
0xfffffff0093abff8: 00803491  add	x0, x0, #0xd20
0xfffffff0093abffc: e140fff0  adrp	x1, #0xfffffff007bca000
0xfffffff0093ac000: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093ac004: c30aff90  adrp	x3, #0xfffffff007504000
0xfffffff0093ac008: 63e01591  add	x3, x3, #0x578
0xfffffff0093ac00c: 22008052  mov	w2, #1
0xfffffff0093ac010: 481cbe97  bl	#0xfffffff008333130
0xfffffff0093ac014: 26000014  b	#0xfffffff0093ac0ac
0xfffffff0093ac018: e00313aa  mov	x0, x19
0xfffffff0093ac01c: 41008052  mov	w1, #2
0xfffffff0093ac020: 02008052  mov	w2, #0
0xfffffff0093ac024: b2010094  bl	#0xfffffff0093ac6ec
0xfffffff0093ac028: e00313aa  mov	x0, x19
0xfffffff0093ac02c: 61008052  mov	w1, #3
0xfffffff0093ac030: 02008052  mov	w2, #0
0xfffffff0093ac034: ae010094  bl	#0xfffffff0093ac6ec
0xfffffff0093ac038: e00313aa  mov	x0, x19
0xfffffff0093ac03c: fd010094  bl	#0xfffffff0093ac830
0xfffffff0093ac040: a1b300d1  sub	x1, x29, #0x2c
0xfffffff0093ac044: e00313aa  mov	x0, x19
0xfffffff0093ac048: 76020094  bl	#0xfffffff0093aca20
0xfffffff0093ac04c: b47e0090  adrp	x20, #0xfffffff00a380000
0xfffffff0093ac050: 94622b91  add	x20, x20, #0xad8
0xfffffff0093ac054: e00314aa  mov	x0, x20
0xfffffff0093ac058: 40e2bc97  bl	#0xfffffff0082e4958
0xfffffff0093ac05c: e00314aa  mov	x0, x20
0xfffffff0093ac060: 3ee2bc97  bl	#0xfffffff0082e4958
0xfffffff0093ac064: a8435d38  ldurb	w8, [x29, #-0x2c]
0xfffffff0093ac068: a9535d38  ldurb	w9, [x29, #-0x2b]
0xfffffff0093ac06c: aa635d38  ldurb	w10, [x29, #-0x2a]
0xfffffff0093ac070: ab735d38  ldurb	w11, [x29, #-0x29]
