; Candidate 16677
; ADRP+ADD at VM 0xfffffff009f230b8 (fileoff 0x2f1f0b8): page=0x1fd935000 add_imm=0xde2

0xfffffff009f23038: 740000b4  cbz	x20, #0xfffffff009f23044
0xfffffff009f2303c: 083b40f9  ldr	x8, [x24, #0x70]
0xfffffff009f23040: 884e00a9  stp	x8, x19, [x20]
0xfffffff009f23044: 00c30291  add	x0, x24, #0xb0
0xfffffff009f23048: ed2d7a97  bl	#0xfffffff007dae7fc
0xfffffff009f2304c: e00318aa  mov	x0, x24
0xfffffff009f23050: fc4f0094  bl	#0xfffffff009f37040
0xfffffff009f23054: 18ffff17  b	#0xfffffff009f22cb4
0xfffffff009f23058: e3f30191  add	x3, sp, #0x7c
0xfffffff009f2305c: e4e30191  add	x4, sp, #0x78
0xfffffff009f23060: e00318aa  mov	x0, x24
0xfffffff009f23064: e13340f9  ldr	x1, [sp, #0x60]
0xfffffff009f23068: e20317aa  mov	x2, x23
0xfffffff009f2306c: 38ecff97  bl	#0xfffffff009f1e14c
0xfffffff009f23070: 20eaff35  cbnz	w0, #0xfffffff009f22db4
0xfffffff009f23074: e87b40b9  ldr	w8, [sp, #0x78]
0xfffffff009f23078: e8e9ff34  cbz	w8, #0xfffffff009f22db4
0xfffffff009f2307c: fc4f00b9  str	w28, [sp, #0x4c]
0xfffffff009f23080: f62b00f9  str	x22, [sp, #0x50]
0xfffffff009f23084: 086340f9  ldr	x8, [x24, #0xc0]
0xfffffff009f23088: 08414079  ldrh	w8, [x8, #0x20]
0xfffffff009f2308c: e8f50f37  tbnz	w8, #1, #0xfffffff009f22f48
0xfffffff009f23090: d8ffff17  b	#0xfffffff009f22ff0
0xfffffff009f23094: 6eeb7897  bl	#0xfffffff007d5de4c
0xfffffff009f23098: e86f40b9  ldr	w8, [sp, #0x6c]
0xfffffff009f2309c: a9c9feb0  adrp	x9, #0xfffffff007858000
0xfffffff009f230a0: 29e93891  add	x9, x9, #0xe3a
0xfffffff009f230a4: 2a048252  mov	w10, #0x1021
0xfffffff009f230a8: e92b03a9  stp	x9, x10, [sp, #0x30]
0xfffffff009f230ac: f84f02a9  stp	x24, x19, [sp, #0x20]
0xfffffff009f230b0: e93340f9  ldr	x9, [sp, #0x60]
0xfffffff009f230b4: e95f01a9  stp	x9, x23, [sp, #0x10]
0xfffffff009f230b8: a0c9feb0  adrp	x0, #0xfffffff007858000
0xfffffff009f230bc: 00883791  add	x0, x0, #0xde2
0xfffffff009f230c0: f62300a9  stp	x22, x8, [sp]
0xfffffff009f230c4: 12c59597  bl	#0xfffffff00849450c
0xfffffff009f230c8: 7f2303d5  pacibsp	
0xfffffff009f230cc: e923b96d  stp	d9, d8, [sp, #-0x70]!
0xfffffff009f230d0: fc6f01a9  stp	x28, x27, [sp, #0x10]
0xfffffff009f230d4: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff009f230d8: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff009f230dc: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff009f230e0: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff009f230e4: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff009f230e8: fd830191  add	x29, sp, #0x60
0xfffffff009f230ec: ff0307d1  sub	sp, sp, #0x1c0
0xfffffff009f230f0: 48f0fef0  adrp	x8, #0xfffffff007d2e000
0xfffffff009f230f4: 08d147f9  ldr	x8, [x8, #0xfa0]
0xfffffff009f230f8: 080140f9  ldr	x8, [x8]
0xfffffff009f230fc: a88318f8  stur	x8, [x29, #-0x78]
0xfffffff009f23100: e41f01b9  str	w4, [sp, #0x11c]
0xfffffff009f23104: b3c302d1  sub	x19, x29, #0xb0
0xfffffff009f23108: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009f2310c: 608200ad  stp	q0, q0, [x19, #0x10]
0xfffffff009f23110: 6002803d  str	q0, [x19]
0xfffffff009f23114: ffff10a9  stp	xzr, xzr, [sp, #0x108]
0xfffffff009f23118: bf0314f8  stur	xzr, [x29, #-0xc0]
0xfffffff009f2311c: a00339ad  stp	q0, q0, [x29, #-0xe0]
0xfffffff009f23120: a00338ad  stp	q0, q0, [x29, #-0x100]
0xfffffff009f23124: ffff0fa9  stp	xzr, xzr, [sp, #0xf8]
0xfffffff009f23128: ff7b00f9  str	xzr, [sp, #0xf0]
0xfffffff009f2312c: ffef00b9  str	wzr, [sp, #0xec]
0xfffffff009f23130: 088040f9  ldr	x8, [x0, #0x100]
0xfffffff009f23134: a80100b4  cbz	x8, #0xfffffff009f23168
