; Candidate 4226
; ADRP+ADD at VM 0xfffffff008797630 (fileoff 0x1793630): page=0x1fe99a000 add_imm=0xd90

0xfffffff0087975b0: 530500f9  str	x19, [x10, #8]
0xfffffff0087975b4: 29050011  add	w9, w9, #1
0xfffffff0087975b8: 09e101b9  str	w9, [x8, #0x1e0]
0xfffffff0087975bc: 25000014  b	#0xfffffff008797650
0xfffffff0087975c0: 17008052  mov	w23, #0
0xfffffff0087975c4: 23000014  b	#0xfffffff008797650
0xfffffff0087975c8: 284eff90  adrp	x8, #0xfffffff00715b000
0xfffffff0087975cc: 08151891  add	x8, x8, #0x605
0xfffffff0087975d0: e85f00a9  stp	x8, x23, [sp]
0xfffffff0087975d4: c04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087975d8: 00403691  add	x0, x0, #0xd90
0xfffffff0087975dc: 2193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087975e0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087975e4: 834dffb0  adrp	x3, #0xfffffff007148000
0xfffffff0087975e8: 63082891  add	x3, x3, #0xa02
0xfffffff0087975ec: 02008052  mov	w2, #0
0xfffffff0087975f0: d06eee97  bl	#0xfffffff008333130
0xfffffff0087975f4: 97578052  mov	w23, #0x2bc
0xfffffff0087975f8: 1700bc72  movk	w23, #0xe000, lsl #16
0xfffffff0087975fc: 15000014  b	#0xfffffff008797650
0xfffffff008797600: c06e40f9  ldr	x0, [x22, #0xd8]
0xfffffff008797604: c3726cb9  ldr	w3, [x22, #0x2c70]
0xfffffff008797608: e10318aa  mov	x1, x24
0xfffffff00879760c: 02008052  mov	w2, #0
0xfffffff008797610: f4befe97  bl	#0xfffffff0087471e0
0xfffffff008797614: c0020034  cbz	w0, #0xfffffff00879766c
0xfffffff008797618: f70300aa  mov	x23, x0
0xfffffff00879761c: c84241b9  ldr	w8, [x22, #0x140]
0xfffffff008797620: f75701a9  stp	x23, x21, [sp, #0x10]
0xfffffff008797624: 294eff90  adrp	x9, #0xfffffff00715b000
0xfffffff008797628: 29151891  add	x9, x9, #0x605
0xfffffff00879762c: e92300a9  stp	x9, x8, [sp]
0xfffffff008797630: c04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff008797634: 00403691  add	x0, x0, #0xd90
0xfffffff008797638: 2193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879763c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008797640: 834dffb0  adrp	x3, #0xfffffff007148000
0xfffffff008797644: 63082991  add	x3, x3, #0xa42
0xfffffff008797648: 02008052  mov	w2, #0
0xfffffff00879764c: b96eee97  bl	#0xfffffff008333130
0xfffffff008797650: e00317aa  mov	x0, x23
0xfffffff008797654: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008797658: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00879765c: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008797660: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008797664: ff830191  add	sp, sp, #0x60
0xfffffff008797668: ff0f5fd6  retab	
0xfffffff00879766c: 28008052  mov	w8, #1
0xfffffff008797670: 08f70139  strb	w8, [x24, #0x7d]
0xfffffff008797674: 080b40f9  ldr	x8, [x24, #0x10]
0xfffffff008797678: 48f6ffb5  cbnz	x8, #0xfffffff008797540
0xfffffff00879767c: 284eff90  adrp	x8, #0xfffffff00715b000
0xfffffff008797680: 08151891  add	x8, x8, #0x605
0xfffffff008797684: e87f00a9  stp	x8, xzr, [sp]
0xfffffff008797688: c04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff00879768c: 00403691  add	x0, x0, #0xd90
0xfffffff008797690: 2193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008797694: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008797698: 834dffb0  adrp	x3, #0xfffffff007148000
0xfffffff00879769c: 637c2a91  add	x3, x3, #0xa9f
0xfffffff0087976a0: 02008052  mov	w2, #0
0xfffffff0087976a4: a36eee97  bl	#0xfffffff008333130
0xfffffff0087976a8: a6ffff17  b	#0xfffffff008797540
0xfffffff0087976ac: c04dff90  adrp	x0, #0xfffffff00714f000
