; Candidate 4012
; ADRP+ADD at VM 0xfffffff008783248 (fileoff 0x177f248): page=0x1fe9ae000 add_imm=0xd90

0xfffffff0087831c8: 0801092a  orr	w8, w8, w9
0xfffffff0087831cc: 684e01b9  str	w8, [x19, #0x14c]
0xfffffff0087831d0: 150e40f9  ldr	x21, [x16, #0x18]
0xfffffff0087831d4: b4b24bb9  ldr	w20, [x21, #0xbb0]
0xfffffff0087831d8: a8224bb9  ldr	w8, [x21, #0xb20]
0xfffffff0087831dc: 88040034  cbz	w8, #0xfffffff00878326c
0xfffffff0087831e0: ff7f03a9  stp	xzr, xzr, [sp, #0x30]
0xfffffff0087831e4: b00240f9  ldr	x16, [x21]
0xfffffff0087831e8: f10315aa  mov	x17, x21
0xfffffff0087831ec: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff0087831f0: 301ac1da  autda	x16, x17
0xfffffff0087831f4: 113580d2  mov	x17, #0x1a8
0xfffffff0087831f8: 1002118b  add	x16, x16, x17
0xfffffff0087831fc: 080240f9  ldr	x8, [x16]
0xfffffff008783200: e90310aa  mov	x9, x16
0xfffffff008783204: e2e30091  add	x2, sp, #0x38
0xfffffff008783208: e3c30091  add	x3, sp, #0x30
0xfffffff00878320c: e00315aa  mov	x0, x21
0xfffffff008783210: e11340f9  ldr	x1, [sp, #0x20]
0xfffffff008783214: f10309aa  mov	x17, x9
0xfffffff008783218: 516aeff2  movk	x17, #0x7b52, lsl #48
0xfffffff00878321c: 11093fd7  blraa	x8, x17
0xfffffff008783220: 00070034  cbz	w0, #0xfffffff008783300
0xfffffff008783224: e81f40f9  ldr	x8, [sp, #0x38]
0xfffffff008783228: 180940f9  ldr	x24, [x8, #0x10]
0xfffffff00878322c: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff008783230: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff008783234: 290600b4  cbz	x9, #0xfffffff0087832f8
0xfffffff008783238: 88ab8052  mov	w8, #0x55c
0xfffffff00878323c: 894eff90  adrp	x9, #0xfffffff007153000
0xfffffff008783240: 29593f91  add	x9, x9, #0xfd6
0xfffffff008783244: e92300a9  stp	x9, x8, [sp]
0xfffffff008783248: 604dffd0  adrp	x0, #0xfffffff007131000
0xfffffff00878324c: 00403691  add	x0, x0, #0xd90
0xfffffff008783250: c193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008783254: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008783258: 034effd0  adrp	x3, #0xfffffff007145000
0xfffffff00878325c: 63c41d91  add	x3, x3, #0x771
0xfffffff008783260: 02008052  mov	w2, #0
0xfffffff008783264: b3bfee97  bl	#0xfffffff008333130
0xfffffff008783268: 23000014  b	#0xfffffff0087832f4
0xfffffff00878326c: ff7f03a9  stp	xzr, xzr, [sp, #0x30]
0xfffffff008783270: b00240f9  ldr	x16, [x21]
0xfffffff008783274: f10315aa  mov	x17, x21
0xfffffff008783278: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff00878327c: 301ac1da  autda	x16, x17
0xfffffff008783280: 113580d2  mov	x17, #0x1a8
0xfffffff008783284: 1002118b  add	x16, x16, x17
0xfffffff008783288: 080240f9  ldr	x8, [x16]
0xfffffff00878328c: e90310aa  mov	x9, x16
0xfffffff008783290: e2e30091  add	x2, sp, #0x38
0xfffffff008783294: e3c30091  add	x3, sp, #0x30
0xfffffff008783298: e00315aa  mov	x0, x21
0xfffffff00878329c: e11340f9  ldr	x1, [sp, #0x20]
0xfffffff0087832a0: f10309aa  mov	x17, x9
0xfffffff0087832a4: 516aeff2  movk	x17, #0x7b52, lsl #48
0xfffffff0087832a8: 11093fd7  blraa	x8, x17
0xfffffff0087832ac: a0020034  cbz	w0, #0xfffffff008783300
0xfffffff0087832b0: e81f40f9  ldr	x8, [sp, #0x38]
0xfffffff0087832b4: 180940f9  ldr	x24, [x8, #0x10]
0xfffffff0087832b8: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff0087832bc: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff0087832c0: c90100b4  cbz	x9, #0xfffffff0087832f8
0xfffffff0087832c4: 68ad8052  mov	w8, #0x56b
