; Candidate 3561
; ADRP+ADD at VM 0xfffffff008745dc4 (fileoff 0x1741dc4): page=0x1fe9ec000 add_imm=0xd90

0xfffffff008745d44: 9f2403d5  bti	j
0xfffffff008745d48: f50308aa  mov	x21, x8
0xfffffff008745d4c: 983eda97  bl	#0xfffffff007dd57ac
0xfffffff008745d50: e30300aa  mov	x3, x0
0xfffffff008745d54: f70315aa  mov	x23, x21
0xfffffff008745d58: e00315aa  mov	x0, x21
0xfffffff008745d5c: e10314aa  mov	x1, x20
0xfffffff008745d60: 62008052  mov	w2, #3
0xfffffff008745d64: 1735f297  bl	#0xfffffff0083d31c0
0xfffffff008745d68: 601300b4  cbz	x0, #0xfffffff008745fd4
0xfffffff008745d6c: f50300aa  mov	x21, x0
0xfffffff008745d70: 833af297  bl	#0xfffffff0083d477c
0xfffffff008745d74: 01000032  orr	w1, w0, #1
0xfffffff008745d78: e00315aa  mov	x0, x21
0xfffffff008745d7c: 7d3af297  bl	#0xfffffff0083d4770
0xfffffff008745d80: b00240f9  ldr	x16, [x21]
0xfffffff008745d84: f10315aa  mov	x17, x21
0xfffffff008745d88: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008745d8c: 301ac1da  autda	x16, x17
0xfffffff008745d90: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff008745d94: e90310aa  mov	x9, x16
0xfffffff008745d98: e00315aa  mov	x0, x21
0xfffffff008745d9c: 01008052  mov	w1, #0
0xfffffff008745da0: f10309aa  mov	x17, x9
0xfffffff008745da4: 71b6fef2  movk	x17, #0xf5b3, lsl #48
0xfffffff008745da8: 11093fd7  blraa	x8, x17
0xfffffff008745dac: 803b0034  cbz	w0, #0xfffffff00874651c
0xfffffff008745db0: 98578052  mov	w24, #0x2bc
0xfffffff008745db4: 1800bc72  movk	w24, #0xe000, lsl #16
0xfffffff008745db8: 8850ffd0  adrp	x8, #0xfffffff007157000
0xfffffff008745dbc: 08893791  add	x8, x8, #0xde2
0xfffffff008745dc0: e80300a9  stp	x8, x0, [sp]
0xfffffff008745dc4: 604fff90  adrp	x0, #0xfffffff007131000
0xfffffff008745dc8: 00403691  add	x0, x0, #0xd90
0xfffffff008745dcc: c195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008745dd0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008745dd4: c34fffb0  adrp	x3, #0xfffffff00713e000
0xfffffff008745dd8: 634c3191  add	x3, x3, #0xc53
0xfffffff008745ddc: 02008052  mov	w2, #0
0xfffffff008745de0: d4b4ef97  bl	#0xfffffff008333130
0xfffffff008745de4: b00240f9  ldr	x16, [x21]
0xfffffff008745de8: f10315aa  mov	x17, x21
0xfffffff008745dec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008745df0: 301ac1da  autda	x16, x17
0xfffffff008745df4: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008745df8: e90310aa  mov	x9, x16
0xfffffff008745dfc: e00315aa  mov	x0, x21
0xfffffff008745e00: f10309aa  mov	x17, x9
0xfffffff008745e04: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008745e08: 11093fd7  blraa	x8, x17
0xfffffff008745e0c: 80048052  mov	w0, #0x24
0xfffffff008745e10: 006da572  movk	w0, #0x2b68, lsl #16
0xfffffff008745e14: 010080d2  mov	x1, #0
0xfffffff008745e18: 020080d2  mov	x2, #0
0xfffffff008745e1c: 030080d2  mov	x3, #0
0xfffffff008745e20: 040080d2  mov	x4, #0
0xfffffff008745e24: 050080d2  mov	x5, #0
0xfffffff008745e28: 37e0e897  bl	#0xfffffff00817df04
0xfffffff008745e2c: 0d030014  b	#0xfffffff008746a60
0xfffffff008745e30: 88578052  mov	w8, #0x2bc
0xfffffff008745e34: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008745e38: 18010032  orr	w24, w8, #1
0xfffffff008745e3c: 8850ffd0  adrp	x8, #0xfffffff007157000
0xfffffff008745e40: 08893791  add	x8, x8, #0xde2
