; Candidate 9945
; ADRP+ADD at VM 0xfffffff008bce7bc (fileoff 0x1bca7bc): page=0x1fe762000 add_imm=0xdf3

0xfffffff008bce73c: 080c40f9  ldr	x8, [x0, #0x18]
0xfffffff008bce740: 0109138b  add	x1, x8, x19, lsl #2
0xfffffff008bce744: e00302aa  mov	x0, x2
0xfffffff008bce748: 82008052  mov	w2, #4
0xfffffff008bce74c: 91f8c597  bl	#0xfffffff007d4c990
0xfffffff008bce750: 0c000014  b	#0xfffffff008bce780
0xfffffff008bce754: 283bffd0  adrp	x8, #0xfffffff007334000
0xfffffff008bce758: 08c50491  add	x8, x8, #0x131
0xfffffff008bce75c: e80300f9  str	x8, [sp]
0xfffffff008bce760: a039fff0  adrp	x0, #0xfffffff007305000
0xfffffff008bce764: 00400c91  add	x0, x0, #0x310
0xfffffff008bce768: e175fff0  adrp	x1, #0xfffffff007a8d000
0xfffffff008bce76c: 21a441f9  ldr	x1, [x1, #0x348]
0xfffffff008bce770: e33aff90  adrp	x3, #0xfffffff00732a000
0xfffffff008bce774: 63bc3391  add	x3, x3, #0xcef
0xfffffff008bce778: 02008052  mov	w2, #0
0xfffffff008bce77c: 6d92dd97  bl	#0xfffffff008333130
0xfffffff008bce780: 9f0213eb  cmp	x20, x19
0xfffffff008bce784: e0979f1a  cset	w0, hi
0xfffffff008bce788: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008bce78c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008bce790: ff030191  add	sp, sp, #0x40
0xfffffff008bce794: ff0f5fd6  retab	
0xfffffff008bce798: 083bffd0  adrp	x8, #0xfffffff007330000
0xfffffff008bce79c: 08e13c91  add	x8, x8, #0xf38
0xfffffff008bce7a0: 093bffd0  adrp	x9, #0xfffffff007330000
0xfffffff008bce7a4: 29a53c91  add	x9, x9, #0xf29
0xfffffff008bce7a8: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008bce7ac: 083bffd0  adrp	x8, #0xfffffff007330000
0xfffffff008bce7b0: 08493891  add	x8, x8, #0xe12
0xfffffff008bce7b4: 093f8052  mov	w9, #0x1f8
0xfffffff008bce7b8: e82700a9  stp	x8, x9, [sp]
0xfffffff008bce7bc: 003bffd0  adrp	x0, #0xfffffff007330000
0xfffffff008bce7c0: 00cc3791  add	x0, x0, #0xdf3
0xfffffff008bce7c4: 24cdff97  bl	#0xfffffff008bc1c54
0xfffffff008bce7c8: 7f2303d5  pacibsp	
0xfffffff008bce7cc: ffc300d1  sub	sp, sp, #0x30
0xfffffff008bce7d0: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008bce7d4: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008bce7d8: fd830091  add	x29, sp, #0x20
0xfffffff008bce7dc: f30307aa  mov	x19, x7
0xfffffff008bce7e0: e80304aa  mov	x8, x4
0xfffffff008bce7e4: f40301aa  mov	x20, x1
0xfffffff008bce7e8: e10300aa  mov	x1, x0
0xfffffff008bce7ec: ff0f00b9  str	wzr, [sp, #0xc]
0xfffffff008bce7f0: e0330091  add	x0, sp, #0xc
0xfffffff008bce7f4: e40305aa  mov	x4, x5
0xfffffff008bce7f8: e50308aa  mov	x5, x8
0xfffffff008bce7fc: 53f0ff97  bl	#0xfffffff008bca948
0xfffffff008bce800: 02008052  mov	w2, #0
0xfffffff008bce804: ff2f0039  strb	wzr, [sp, #0xb]
0xfffffff008bce808: e0010034  cbz	w0, #0xfffffff008bce844
0xfffffff008bce80c: e10f80b9  ldrsw	x1, [sp, #0xc]
0xfffffff008bce810: 800640f9  ldr	x0, [x20, #8]
0xfffffff008bce814: 100040f9  ldr	x16, [x0]
0xfffffff008bce818: f10300aa  mov	x17, x0
0xfffffff008bce81c: b1e1e7f2  movk	x17, #0x3f0d, lsl #48
0xfffffff008bce820: 301ac1da  autda	x16, x17
0xfffffff008bce824: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff008bce828: e90310aa  mov	x9, x16
0xfffffff008bce82c: e22f0091  add	x2, sp, #0xb
0xfffffff008bce830: f10309aa  mov	x17, x9
0xfffffff008bce834: 5110e9f2  movk	x17, #0x4882, lsl #48
0xfffffff008bce838: 11093fd7  blraa	x8, x17
