; Candidate 15200
; ADRP+ADD at VM 0xfffffff009b365f4 (fileoff 0x2b325f4): page=0x1fdaf0000 add_imm=0xd06

0xfffffff009b36574: f1031caa  mov	x17, x28
0xfffffff009b36578: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b3657c: 301ac1da  autda	x16, x17
0xfffffff009b36580: 088e49f8  ldr	x8, [x16, #0x98]!
0xfffffff009b36584: e90310aa  mov	x9, x16
0xfffffff009b36588: e0031caa  mov	x0, x28
0xfffffff009b3658c: f10309aa  mov	x17, x9
0xfffffff009b36590: d1d1faf2  movk	x17, #0xd68e, lsl #48
0xfffffff009b36594: 11093fd7  blraa	x8, x17
0xfffffff009b36598: f30300aa  mov	x19, x0
0xfffffff009b3659c: 100340f9  ldr	x16, [x24]
0xfffffff009b365a0: f10318aa  mov	x17, x24
0xfffffff009b365a4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b365a8: 301ac1da  autda	x16, x17
0xfffffff009b365ac: 088e49f8  ldr	x8, [x16, #0x98]!
0xfffffff009b365b0: e90310aa  mov	x9, x16
0xfffffff009b365b4: e00318aa  mov	x0, x24
0xfffffff009b365b8: f10309aa  mov	x17, x9
0xfffffff009b365bc: d1d1faf2  movk	x17, #0xd68e, lsl #48
0xfffffff009b365c0: 11093fd7  blraa	x8, x17
0xfffffff009b365c4: e903002a  mov	w9, w0
0xfffffff009b365c8: e803132a  mov	w8, w19
0xfffffff009b365cc: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff009b365d0: 88d7fe90  adrp	x8, #0xfffffff007626000
0xfffffff009b365d4: 08412c91  add	x8, x8, #0xb10
0xfffffff009b365d8: e8e701a9  stp	x8, x25, [sp, #0x18]
0xfffffff009b365dc: 68d7fef0  adrp	x8, #0xfffffff007625000
0xfffffff009b365e0: 09513791  add	x9, x8, #0xdd4
0xfffffff009b365e4: e82740f9  ldr	x8, [sp, #0x48]
0xfffffff009b365e8: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009b365ec: e82b40f9  ldr	x8, [sp, #0x50]
0xfffffff009b365f0: e80300f9  str	x8, [sp]
0xfffffff009b365f4: 80d7fe90  adrp	x0, #0xfffffff007626000
0xfffffff009b365f8: 00183491  add	x0, x0, #0xd06
0xfffffff009b365fc: 8982a097  bl	#0xfffffff008357020
0xfffffff009b36600: b38356f8  ldur	x19, [x29, #-0x98]
0xfffffff009b36604: 900340f9  ldr	x16, [x28]
0xfffffff009b36608: 501bc1da  autda	x16, x26
0xfffffff009b3660c: 088e49f8  ldr	x8, [x16, #0x98]!
0xfffffff009b36610: e90310aa  mov	x9, x16
0xfffffff009b36614: e0031caa  mov	x0, x28
0xfffffff009b36618: f10309aa  mov	x17, x9
0xfffffff009b3661c: d1d1faf2  movk	x17, #0xd68e, lsl #48
0xfffffff009b36620: 11093fd7  blraa	x8, x17
0xfffffff009b36624: e10300aa  mov	x1, x0
0xfffffff009b36628: e00313aa  mov	x0, x19
0xfffffff009b3662c: 45e3ff97  bl	#0xfffffff009b2f340
0xfffffff009b36630: a00e00b4  cbz	x0, #0xfffffff009b36804
0xfffffff009b36634: e00313aa  mov	x0, x19
0xfffffff009b36638: 2de3ff97  bl	#0xfffffff009b2f2ec
0xfffffff009b3663c: f30300aa  mov	x19, x0
0xfffffff009b36640: 900340f9  ldr	x16, [x28]
0xfffffff009b36644: 501bc1da  autda	x16, x26
0xfffffff009b36648: 088e49f8  ldr	x8, [x16, #0x98]!
0xfffffff009b3664c: e90310aa  mov	x9, x16
0xfffffff009b36650: e0031caa  mov	x0, x28
0xfffffff009b36654: f10309aa  mov	x17, x9
0xfffffff009b36658: d1d1faf2  movk	x17, #0xd68e, lsl #48
0xfffffff009b3665c: 11093fd7  blraa	x8, x17
0xfffffff009b36660: f90300aa  mov	x25, x0
0xfffffff009b36664: 100340f9  ldr	x16, [x24]
0xfffffff009b36668: f10318aa  mov	x17, x24
0xfffffff009b3666c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b36670: 301ac1da  autda	x16, x17
