; Candidate 2245
; ADRP+ADD at VM 0xfffffff0085bf110 (fileoff 0x15bb110): page=0x1feb39000 add_imm=0xd78

0xfffffff0085bf090: 800100b4  cbz	x0, #0xfffffff0085bf0c0
0xfffffff0085bf094: 100040f9  ldr	x16, [x0]
0xfffffff0085bf098: f10300aa  mov	x17, x0
0xfffffff0085bf09c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085bf0a0: 301ac1da  autda	x16, x17
0xfffffff0085bf0a4: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff0085bf0a8: e90310aa  mov	x9, x16
0xfffffff0085bf0ac: f10309aa  mov	x17, x9
0xfffffff0085bf0b0: 1148faf2  movk	x17, #0xd240, lsl #48
0xfffffff0085bf0b4: 11093fd7  blraa	x8, x17
0xfffffff0085bf0b8: 080040b9  ldr	w8, [x0]
0xfffffff0085bf0bc: 68ee00b9  str	w8, [x19, #0xec]
0xfffffff0085bf0c0: e00313aa  mov	x0, x19
0xfffffff0085bf0c4: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0085bf0c8: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0085bf0cc: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0085bf0d0: ff430191  add	sp, sp, #0x50
0xfffffff0085bf0d4: ff0f5fd6  retab	
0xfffffff0085bf0d8: 700240f9  ldr	x16, [x19]
0xfffffff0085bf0dc: f10313aa  mov	x17, x19
0xfffffff0085bf0e0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085bf0e4: 301ac1da  autda	x16, x17
0xfffffff0085bf0e8: 113d80d2  mov	x17, #0x1e8
0xfffffff0085bf0ec: 1002118b  add	x16, x16, x17
0xfffffff0085bf0f0: 080240f9  ldr	x8, [x16]
0xfffffff0085bf0f4: e90310aa  mov	x9, x16
0xfffffff0085bf0f8: e00313aa  mov	x0, x19
0xfffffff0085bf0fc: 010080d2  mov	x1, #0
0xfffffff0085bf100: f10309aa  mov	x17, x9
0xfffffff0085bf104: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0085bf108: 11093fd7  blraa	x8, x17
0xfffffff0085bf10c: e05700a9  stp	x0, x21, [sp]
0xfffffff0085bf110: c059ffb0  adrp	x0, #0xfffffff0070f8000
0xfffffff0085bf114: 00e03591  add	x0, x0, #0xd78
0xfffffff0085bf118: 92ffff17  b	#0xfffffff0085bef60
0xfffffff0085bf11c: 7f2303d5  pacibsp	
0xfffffff0085bf120: ffc303d1  sub	sp, sp, #0xf0
0xfffffff0085bf124: ed33066d  stp	d13, d12, [sp, #0x60]
0xfffffff0085bf128: eb2b076d  stp	d11, d10, [sp, #0x70]
0xfffffff0085bf12c: e923086d  stp	d9, d8, [sp, #0x80]
0xfffffff0085bf130: fc6f09a9  stp	x28, x27, [sp, #0x90]
0xfffffff0085bf134: fa670aa9  stp	x26, x25, [sp, #0xa0]
0xfffffff0085bf138: f85f0ba9  stp	x24, x23, [sp, #0xb0]
0xfffffff0085bf13c: f6570ca9  stp	x22, x21, [sp, #0xc0]
0xfffffff0085bf140: f44f0da9  stp	x20, x19, [sp, #0xd0]
0xfffffff0085bf144: fd7b0ea9  stp	x29, x30, [sp, #0xe0]
0xfffffff0085bf148: fd830391  add	x29, sp, #0xe0
0xfffffff0085bf14c: f50301aa  mov	x21, x1
0xfffffff0085bf150: f40300aa  mov	x20, x0
0xfffffff0085bf154: e89fff90  adrp	x8, #0xfffffff0079bb000
0xfffffff0085bf158: 08211291  add	x8, x8, #0x488
0xfffffff0085bf15c: 09411591  add	x9, x8, #0x550
0xfffffff0085bf160: 08a942f9  ldr	x8, [x8, #0x550]
0xfffffff0085bf164: f10309aa  mov	x17, x9
0xfffffff0085bf168: 71d8f2f2  movk	x17, #0x96c3, lsl #48
0xfffffff0085bf16c: 11093fd7  blraa	x8, x17
0xfffffff0085bf170: fb0300aa  mov	x27, x0
0xfffffff0085bf174: 80240034  cbz	w0, #0xfffffff0085bf604
0xfffffff0085bf178: 99c60a91  add	x25, x20, #0x2b1
0xfffffff0085bf17c: 9f320a39  strb	wzr, [x20, #0x28c]
0xfffffff0085bf180: 88324739  ldrb	w8, [x20, #0x1cc]
0xfffffff0085bf184: 88360a39  strb	w8, [x20, #0x28d]
0xfffffff0085bf188: 887a4739  ldrb	w8, [x20, #0x1de]
0xfffffff0085bf18c: 883a0a39  strb	w8, [x20, #0x28e]
