; Candidate 14365
; ADRP+ADD at VM 0xfffffff00976d040 (fileoff 0x2769040): page=0xc1e000 add_imm=0xea8

0xfffffff00976cfc0: c00100b5  cbnz	x0, #0xfffffff00976cff8
0xfffffff00976cfc4: 700240f9  ldr	x16, [x19]
0xfffffff00976cfc8: f10313aa  mov	x17, x19
0xfffffff00976cfcc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976cfd0: 301ac1da  autda	x16, x17
0xfffffff00976cfd4: 113d80d2  mov	x17, #0x1e8
0xfffffff00976cfd8: 1002118b  add	x16, x16, x17
0xfffffff00976cfdc: 080240f9  ldr	x8, [x16]
0xfffffff00976cfe0: e90310aa  mov	x9, x16
0xfffffff00976cfe4: e00313aa  mov	x0, x19
0xfffffff00976cfe8: 010080d2  mov	x1, #0
0xfffffff00976cfec: f10309aa  mov	x17, x9
0xfffffff00976cff0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00976cff4: 11093fd7  blraa	x8, x17
0xfffffff00976cff8: e00313aa  mov	x0, x19
0xfffffff00976cffc: 98eefc97  bl	#0xfffffff0096a8a5c
0xfffffff00976d000: e00313aa  mov	x0, x19
0xfffffff00976d004: 96eefc97  bl	#0xfffffff0096a8a5c
0xfffffff00976d008: c00100b5  cbnz	x0, #0xfffffff00976d040
0xfffffff00976d00c: 700240f9  ldr	x16, [x19]
0xfffffff00976d010: f10313aa  mov	x17, x19
0xfffffff00976d014: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976d018: 301ac1da  autda	x16, x17
0xfffffff00976d01c: 114380d2  mov	x17, #0x218
0xfffffff00976d020: 1002118b  add	x16, x16, x17
0xfffffff00976d024: 080240f9  ldr	x8, [x16]
0xfffffff00976d028: e90310aa  mov	x9, x16
0xfffffff00976d02c: e00313aa  mov	x0, x19
0xfffffff00976d030: 010080d2  mov	x1, #0
0xfffffff00976d034: f10309aa  mov	x17, x9
0xfffffff00976d038: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff00976d03c: 11093fd7  blraa	x8, x17
0xfffffff00976d040: e06000d0  adrp	x0, #0xfffffff00a38b000
0xfffffff00976d044: 00a03a91  add	x0, x0, #0xea8
0xfffffff00976d048: 44dead97  bl	#0xfffffff0082e4958
0xfffffff00976d04c: f50300aa  mov	x21, x0
0xfffffff00976d050: e00313aa  mov	x0, x19
0xfffffff00976d054: 82eefc97  bl	#0xfffffff0096a8a5c
0xfffffff00976d058: f60300aa  mov	x22, x0
0xfffffff00976d05c: e00100b5  cbnz	x0, #0xfffffff00976d098
0xfffffff00976d060: 700240f9  ldr	x16, [x19]
0xfffffff00976d064: f10313aa  mov	x17, x19
0xfffffff00976d068: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976d06c: 301ac1da  autda	x16, x17
0xfffffff00976d070: 113d80d2  mov	x17, #0x1e8
0xfffffff00976d074: 1002118b  add	x16, x16, x17
0xfffffff00976d078: 080240f9  ldr	x8, [x16]
0xfffffff00976d07c: e90310aa  mov	x9, x16
0xfffffff00976d080: e00313aa  mov	x0, x19
0xfffffff00976d084: 010080d2  mov	x1, #0
0xfffffff00976d088: f10309aa  mov	x17, x9
0xfffffff00976d08c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00976d090: 11093fd7  blraa	x8, x17
0xfffffff00976d094: f60300aa  mov	x22, x0
0xfffffff00976d098: e00313aa  mov	x0, x19
0xfffffff00976d09c: 70eefc97  bl	#0xfffffff0096a8a5c
0xfffffff00976d0a0: 1f0000f1  cmp	x0, #0
0xfffffff00976d0a4: 5703949a  csel	x23, x26, x20, eq
0xfffffff00976d0a8: e00313aa  mov	x0, x19
0xfffffff00976d0ac: 6ceefc97  bl	#0xfffffff0096a8a5c
0xfffffff00976d0b0: e80300aa  mov	x8, x0
0xfffffff00976d0b4: e00314aa  mov	x0, x20
0xfffffff00976d0b8: c80100b5  cbnz	x8, #0xfffffff00976d0f0
0xfffffff00976d0bc: 700240f9  ldr	x16, [x19]
