; Candidate 16045
; ADRP+ADD at VM 0xfffffff009e10064 (fileoff 0x2e0c064): page=0x1fd893000 add_imm=0xe00

0xfffffff009e0ffe4: 80030035  cbnz	w0, #0xfffffff009e10054
0xfffffff009e0ffe8: 9feb00f9  str	xzr, [x28, #0x1d0]
0xfffffff009e0ffec: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009e0fff0: 80830dad  stp	q0, q0, [x28, #0x1b0]
0xfffffff009e0fff4: 80830cad  stp	q0, q0, [x28, #0x190]
0xfffffff009e0fff8: 80830bad  stp	q0, q0, [x28, #0x170]
0xfffffff009e0fffc: 80830aad  stp	q0, q0, [x28, #0x150]
0xfffffff009e10000: 808309ad  stp	q0, q0, [x28, #0x130]
0xfffffff009e10004: 808308ad  stp	q0, q0, [x28, #0x110]
0xfffffff009e10008: 808307ad  stp	q0, q0, [x28, #0xf0]
0xfffffff009e1000c: 808306ad  stp	q0, q0, [x28, #0xd0]
0xfffffff009e10010: 808305ad  stp	q0, q0, [x28, #0xb0]
0xfffffff009e10014: 808304ad  stp	q0, q0, [x28, #0x90]
0xfffffff009e10018: 808303ad  stp	q0, q0, [x28, #0x70]
0xfffffff009e1001c: 808302ad  stp	q0, q0, [x28, #0x50]
0xfffffff009e10020: 8013803d  str	q0, [x28, #0x40]
0xfffffff009e10024: 932b00f9  str	x19, [x28, #0x50]
0xfffffff009e10028: 62d0fef0  adrp	x2, #0xfffffff00781f000
0xfffffff009e1002c: 42842391  add	x2, x2, #0x8e1
0xfffffff009e10030: e1030491  add	x1, sp, #0x100
0xfffffff009e10034: 000080d2  mov	x0, #0
0xfffffff009e10038: 230080d2  mov	x3, #1
0xfffffff009e1003c: 8300c0f2  movk	x3, #4, lsl #32
0xfffffff009e10040: 0300e4f2  movk	x3, #0x2000, lsl #48
0xfffffff009e10044: 040080d2  mov	x4, #0
0xfffffff009e10048: 3b370094  bl	#0xfffffff009e1dd34
0xfffffff009e1004c: e0030491  add	x0, sp, #0x100
0xfffffff009e10050: ea140094  bl	#0xfffffff009e153f8
0xfffffff009e10054: 14008052  mov	w20, #0
0xfffffff009e10058: e8a20091  add	x8, x23, #0x28
0xfffffff009e1005c: 1b000014  b	#0xfffffff009e100c8
0xfffffff009e10060: e80300f9  str	x8, [sp]
0xfffffff009e10064: 80c4fef0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e10068: 00003891  add	x0, x0, #0xe00
0xfffffff009e1006c: c1f8feb0  adrp	x1, #0xfffffff007d29000
0xfffffff009e10070: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e10074: 83d0fe90  adrp	x3, #0xfffffff007820000
0xfffffff009e10078: 63681791  add	x3, x3, #0x5da
0xfffffff009e1007c: 02028052  mov	w2, #0x10
0xfffffff009e10080: 2c8c9497  bl	#0xfffffff008333130
0xfffffff009e10084: c8028052  mov	w8, #0x16
0xfffffff009e10088: 88a302b9  str	w8, [x28, #0x2a0]
0xfffffff009e1008c: 37010014  b	#0xfffffff009e10568
0xfffffff009e10090: c80242b9  ldr	w8, [x22, #0x200]
0xfffffff009e10094: e80300f9  str	x8, [sp]
0xfffffff009e10098: 80c4fef0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e1009c: 00003891  add	x0, x0, #0xe00
0xfffffff009e100a0: c1f8feb0  adrp	x1, #0xfffffff007d29000
0xfffffff009e100a4: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e100a8: 83d0feb0  adrp	x3, #0xfffffff007821000
0xfffffff009e100ac: 630c0e91  add	x3, x3, #0x383
0xfffffff009e100b0: 02028052  mov	w2, #0x10
0xfffffff009e100b4: 1f8c9497  bl	#0xfffffff008333130
0xfffffff009e100b8: d5028052  mov	w21, #0x16
0xfffffff009e100bc: 967341f9  ldr	x22, [x28, #0x2e0]
0xfffffff009e100c0: 0a000014  b	#0xfffffff009e100e8
0xfffffff009e100c4: e8c20091  add	x8, x23, #0x30
0xfffffff009e100c8: 010140f9  ldr	x1, [x8]
0xfffffff009e100cc: e00317aa  mov	x0, x23
0xfffffff009e100d0: e20316aa  mov	x2, x22
0xfffffff009e100d4: e30314aa  mov	x3, x20
0xfffffff009e100d8: 504e0094  bl	#0xfffffff009e23a18
0xfffffff009e100dc: f50300aa  mov	x21, x0
0xfffffff009e100e0: e00317aa  mov	x0, x23
