; Candidate 804
; ADRP+ADD at VM 0xfffffff0080b703c (fileoff 0x10b303c): page=0x1fefbd000 add_imm=0xe0e

0xfffffff0080b6fbc: a8000034  cbz	w8, #0xfffffff0080b6fd0
0xfffffff0080b6fc0: 692e40f9  ldr	x9, [x19, #0x58]
0xfffffff0080b6fc4: 292140f9  ldr	x9, [x9, #0x40]
0xfffffff0080b6fc8: 29214039  ldrb	w9, [x9, #8]
0xfffffff0080b6fcc: 69001837  tbnz	w9, #3, #0xfffffff0080b6fd8
0xfffffff0080b6fd0: c80701b0  adrp	x8, #0xfffffff00a1af000
0xfffffff0080b6fd4: 087943b9  ldr	w8, [x8, #0x378]
0xfffffff0080b6fd8: 698242b9  ldr	w9, [x19, #0x280]
0xfffffff0080b6fdc: ca0701b0  adrp	x10, #0xfffffff00a1af000
0xfffffff0080b6fe0: 4a8143b9  ldr	w10, [x10, #0x380]
0xfffffff0080b6fe4: 3f010071  cmp	w9, #0
0xfffffff0080b6fe8: 4901891a  csel	w9, w10, w9, eq
0xfffffff0080b6fec: 6a7e42b9  ldr	w10, [x19, #0x27c]
0xfffffff0080b6ff0: d70701b0  adrp	x23, #0xfffffff00a1af000
0xfffffff0080b6ff4: eb7e43b9  ldr	w11, [x23, #0x37c]
0xfffffff0080b6ff8: 5f010071  cmp	w10, #0
0xfffffff0080b6ffc: 6a018a1a  csel	w10, w11, w10, eq
0xfffffff0080b7000: 4821091b  madd	w8, w10, w9, w8
0xfffffff0080b7004: e00313aa  mov	x0, x19
0xfffffff0080b7008: bf02086b  cmp	w21, w8
0xfffffff0080b700c: 022b0054  b.hs	#0xfffffff0080b756c
0xfffffff0080b7010: ff030094  bl	#0xfffffff0080b800c
0xfffffff0080b7014: 00020034  cbz	w0, #0xfffffff0080b7054
0xfffffff0080b7018: 68024b39  ldrb	w8, [x19, #0x2c0]
0xfffffff0080b701c: 88003836  tbz	w8, #7, #0xfffffff0080b702c
0xfffffff0080b7020: 68fe4439  ldrb	w8, [x19, #0x13f]
0xfffffff0080b7024: 08050011  add	w8, w8, #1
0xfffffff0080b7028: 68fe0439  strb	w8, [x19, #0x13f]
0xfffffff0080b702c: e00313aa  mov	x0, x19
0xfffffff0080b7030: 81008052  mov	w1, #4
0xfffffff0080b7034: b0030094  bl	#0xfffffff0080b7ef4
0xfffffff0080b7038: e0000034  cbz	w0, #0xfffffff0080b7054
0xfffffff0080b703c: e07dffb0  adrp	x0, #0xfffffff007074000
0xfffffff0080b7040: 00383891  add	x0, x0, #0xe0e
0xfffffff0080b7044: e1bc8052  mov	w1, #0x5e7
0xfffffff0080b7048: e20313aa  mov	x2, x19
0xfffffff0080b704c: e30315aa  mov	x3, x21
0xfffffff0080b7050: 4c2d0094  bl	#0xfffffff0080c2580
0xfffffff0080b7054: c83e49b9  ldr	w8, [x22, #0x93c]
0xfffffff0080b7058: 697e42b9  ldr	w9, [x19, #0x27c]
0xfffffff0080b705c: ea7e43b9  ldr	w10, [x23, #0x37c]
0xfffffff0080b7060: 3f010071  cmp	w9, #0
0xfffffff0080b7064: 4901891a  csel	w9, w10, w9, eq
0xfffffff0080b7068: 9b010014  b	#0xfffffff0080b76d4
0xfffffff0080b706c: 690a01d0  adrp	x9, #0xfffffff00a205000
0xfffffff0080b7070: 2a254bb9  ldr	w10, [x9, #0xb24]
0xfffffff0080b7074: 4a050011  add	w10, w10, #1
0xfffffff0080b7078: 2a250bb9  str	w10, [x9, #0xb24]
0xfffffff0080b707c: 08010a32  orr	w8, w8, #0x400000
0xfffffff0080b7080: 686603b9  str	w8, [x19, #0x364]
0xfffffff0080b7084: 686240b9  ldr	w8, [x19, #0x60]
0xfffffff0080b7088: 08010032  orr	w8, w8, #1
0xfffffff0080b708c: 686200b9  str	w8, [x19, #0x60]
0xfffffff0080b7090: 81030014  b	#0xfffffff0080b7e94
0xfffffff0080b7094: 09d540b9  ldr	w9, [x8, #0xd4]
0xfffffff0080b7098: 29010035  cbnz	w9, #0xfffffff0080b70bc
0xfffffff0080b709c: 09d940b9  ldr	w9, [x8, #0xd8]
0xfffffff0080b70a0: e9000035  cbnz	w9, #0xfffffff0080b70bc
0xfffffff0080b70a4: 09dd40b9  ldr	w9, [x8, #0xdc]
0xfffffff0080b70a8: a9000035  cbnz	w9, #0xfffffff0080b70bc
0xfffffff0080b70ac: 09e140b9  ldr	w9, [x8, #0xe0]
0xfffffff0080b70b0: 0a20a052  mov	w10, #0x1000000
0xfffffff0080b70b4: 3f010a6b  cmp	w9, w10
0xfffffff0080b70b8: e0dcff54  b.eq	#0xfffffff0080b6c54
