; Candidate 3987
; ADRP+ADD at VM 0xfffffff00877f160 (fileoff 0x177b160): page=0x1fe9b2000 add_imm=0xd90

0xfffffff00877f0e0: f30300aa  mov	x19, x0
0xfffffff00877f0e4: 08606339  ldrb	w8, [x0, #0x8d8]
0xfffffff00877f0e8: 08020035  cbnz	w8, #0xfffffff00877f128
0xfffffff00877f0ec: a84effd0  adrp	x8, #0xfffffff007155000
0xfffffff00877f0f0: 08ad2a91  add	x8, x8, #0xaab
0xfffffff00877f0f4: e80300f9  str	x8, [sp]
0xfffffff00877f0f8: 804dffd0  adrp	x0, #0xfffffff007131000
0xfffffff00877f0fc: 00403691  add	x0, x0, #0xd90
0xfffffff00877f100: e193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00877f104: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00877f108: 234effd0  adrp	x3, #0xfffffff007145000
0xfffffff00877f10c: 63300091  add	x3, x3, #0xc
0xfffffff00877f110: 02008052  mov	w2, #0
0xfffffff00877f114: 07d0ee97  bl	#0xfffffff008333130
0xfffffff00877f118: e00313aa  mov	x0, x19
0xfffffff00877f11c: eefbff97  bl	#0xfffffff00877e0d4
0xfffffff00877f120: 28008052  mov	w8, #1
0xfffffff00877f124: 68622339  strb	w8, [x19, #0x8d8]
0xfffffff00877f128: 94048052  mov	w20, #0x24
0xfffffff00877f12c: f420a072  movk	w20, #0x107, lsl #16
0xfffffff00877f130: 68d242f9  ldr	x8, [x19, #0x5a0]
0xfffffff00877f134: 156d40f9  ldr	x21, [x8, #0xd8]
0xfffffff00877f138: f50300b4  cbz	x21, #0xfffffff00877f1b4
0xfffffff00877f13c: a80a40f9  ldr	x8, [x21, #0x10]
0xfffffff00877f140: e920a052  mov	w9, #0x1070000
0xfffffff00877f144: 0801098b  add	x8, x8, x9
0xfffffff00877f148: 09fd64d3  lsr	x9, x8, #0x24
0xfffffff00877f14c: 090200b4  cbz	x9, #0xfffffff00877f18c
0xfffffff00877f150: 48648052  mov	w8, #0x322
0xfffffff00877f154: a94effd0  adrp	x9, #0xfffffff007155000
0xfffffff00877f158: 29ad2a91  add	x9, x9, #0xaab
0xfffffff00877f15c: e92300a9  stp	x9, x8, [sp]
0xfffffff00877f160: 804dffd0  adrp	x0, #0xfffffff007131000
0xfffffff00877f164: 00403691  add	x0, x0, #0xd90
0xfffffff00877f168: e193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00877f16c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00877f170: 234effd0  adrp	x3, #0xfffffff007145000
0xfffffff00877f174: 63b00091  add	x3, x3, #0x2c
0xfffffff00877f178: 02008052  mov	w2, #0
0xfffffff00877f17c: edcfee97  bl	#0xfffffff008333130
0xfffffff00877f180: a80a40f9  ldr	x8, [x21, #0x10]
0xfffffff00877f184: e920a052  mov	w9, #0x1070000
0xfffffff00877f188: 0801098b  add	x8, x8, x9
0xfffffff00877f18c: 02fd44d3  lsr	x2, x8, #4
0xfffffff00877f190: e00313aa  mov	x0, x19
0xfffffff00877f194: 81048052  mov	w1, #0x24
0xfffffff00877f198: e120a072  movk	w1, #0x107, lsl #16
0xfffffff00877f19c: 8ee6fe97  bl	#0xfffffff008738bd4
0xfffffff00877f1a0: a80a40f9  ldr	x8, [x21, #0x10]
0xfffffff00877f1a4: e920a052  mov	w9, #0x1070000
0xfffffff00877f1a8: 0801098b  add	x8, x8, x9
0xfffffff00877f1ac: 02fd64d3  lsr	x2, x8, #0x24
0xfffffff00877f1b0: 08000014  b	#0xfffffff00877f1d0
0xfffffff00877f1b4: e00313aa  mov	x0, x19
0xfffffff00877f1b8: 81048052  mov	w1, #0x24
0xfffffff00877f1bc: e120a072  movk	w1, #0x107, lsl #16
0xfffffff00877f1c0: 02008e52  mov	w2, #0x7000
0xfffffff00877f1c4: 0242a772  movk	w2, #0x3a10, lsl #16
0xfffffff00877f1c8: 83e6fe97  bl	#0xfffffff008738bd4
0xfffffff00877f1cc: 02008052  mov	w2, #0
0xfffffff00877f1d0: 81320311  add	w1, w20, #0xcc
0xfffffff00877f1d4: e00313aa  mov	x0, x19
0xfffffff00877f1d8: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff00877f1dc: f44f42a9  ldp	x20, x19, [sp, #0x20]
