; Candidate 12339
; ADRP+ADD at VM 0xfffffff00908c458 (fileoff 0x2088458): page=0x1fe3d0000 add_imm=0xd79

0xfffffff00908c3d8: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00908c3dc: eb0300f9  str	x11, [sp]
0xfffffff00908c3e0: 601effb0  adrp	x0, #0xfffffff007459000
0xfffffff00908c3e4: 00d42c91  add	x0, x0, #0xb35
0xfffffff00908c3e8: 0e2bcb97  bl	#0xfffffff008357020
0xfffffff00908c3ec: 93578052  mov	w19, #0x2bc
0xfffffff00908c3f0: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff00908c3f4: c8088052  mov	w8, #0x46
0xfffffff00908c3f8: dfffff17  b	#0xfffffff00908c374
0xfffffff00908c3fc: 7f2303d5  pacibsp	
0xfffffff00908c400: ff0302d1  sub	sp, sp, #0x80
0xfffffff00908c404: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff00908c408: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff00908c40c: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff00908c410: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff00908c414: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff00908c418: fdc30191  add	x29, sp, #0x70
0xfffffff00908c41c: f50302aa  mov	x21, x2
0xfffffff00908c420: f60301aa  mov	x22, x1
0xfffffff00908c424: f30300aa  mov	x19, x0
0xfffffff00908c428: 399400b0  adrp	x25, #0xfffffff00a311000
0xfffffff00908c42c: 39a30391  add	x25, x25, #0xe8
0xfffffff00908c430: 28034039  ldrb	w8, [x25]
0xfffffff00908c434: 971eff90  adrp	x23, #0xfffffff00745c000
0xfffffff00908c438: f7823691  add	x23, x23, #0xda0
0xfffffff00908c43c: 981effb0  adrp	x24, #0xfffffff00745d000
0xfffffff00908c440: 187b2f91  add	x24, x24, #0xbde
0xfffffff00908c444: 1f790071  cmp	w8, #0x1e
0xfffffff00908c448: e8000054  b.hi	#0xfffffff00908c464
0xfffffff00908c44c: e706b997  bl	#0xfffffff007ecdfe8
0xfffffff00908c450: f60301a9  stp	x22, x0, [sp, #0x10]
0xfffffff00908c454: f85f00a9  stp	x24, x23, [sp]
0xfffffff00908c458: 801eff90  adrp	x0, #0xfffffff00745c000
0xfffffff00908c45c: 00e43591  add	x0, x0, #0xd79
0xfffffff00908c460: f02acb97  bl	#0xfffffff008357020
0xfffffff00908c464: 601640f9  ldr	x0, [x19, #0x28]
0xfffffff00908c468: 997db497  bl	#0xfffffff007dabacc
0xfffffff00908c46c: 681a40f9  ldr	x8, [x19, #0x30]
0xfffffff00908c470: 09050091  add	x9, x8, #1
0xfffffff00908c474: 3f4100f1  cmp	x9, #0x10
0xfffffff00908c478: 82030054  b.hs	#0xfffffff00908c4e8
0xfffffff00908c47c: 14008052  mov	w20, #0
0xfffffff00908c480: ea0313aa  mov	x10, x19
0xfffffff00908c484: 490d03f8  str	x9, [x10, #0x30]!
0xfffffff00908c488: 89018052  mov	w9, #0xc
0xfffffff00908c48c: 0829099b  madd	x8, x8, x9, x10
0xfffffff00908c490: 160500f9  str	x22, [x8, #8]
0xfffffff00908c494: 151100b9  str	w21, [x8, #0x10]
0xfffffff00908c498: 55018052  mov	w21, #0xa
0xfffffff00908c49c: 601640f9  ldr	x0, [x19, #0x28]
0xfffffff00908c4a0: a780b497  bl	#0xfffffff007dac73c
0xfffffff00908c4a4: 28034039  ldrb	w8, [x25]
0xfffffff00908c4a8: bf02086b  cmp	w21, w8
0xfffffff00908c4ac: e3000054  b.lo	#0xfffffff00908c4c8
0xfffffff00908c4b0: 887e4093  sxtw	x8, w20
0xfffffff00908c4b4: f85f00a9  stp	x24, x23, [sp]
0xfffffff00908c4b8: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00908c4bc: 601effb0  adrp	x0, #0xfffffff007459000
0xfffffff00908c4c0: 00903891  add	x0, x0, #0xe24
0xfffffff00908c4c4: d72acb97  bl	#0xfffffff008357020
0xfffffff00908c4c8: e00314aa  mov	x0, x20
0xfffffff00908c4cc: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00908c4d0: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00908c4d4: f65745a9  ldp	x22, x21, [sp, #0x50]
