; Candidate 15957
; ADRP+ADD at VM 0xfffffff009df07c0 (fileoff 0x2dec7c0): page=0x1fd8b1000 add_imm=0xed1

0xfffffff009df0740: f147c1da  xpacd	x17
0xfffffff009df0744: 1f0211eb  cmp	x16, x17
0xfffffff009df0748: 40000054  b.eq	#0xfffffff009df0750
0xfffffff009df074c: 408e38d4  brk	#0xc472
0xfffffff009df0750: 08420491  add	x8, x16, #0x110
0xfffffff009df0754: 098a40f9  ldr	x9, [x16, #0x110]
0xfffffff009df0758: e10316aa  mov	x1, x22
0xfffffff009df075c: 03008052  mov	w3, #0
0xfffffff009df0760: f10308aa  mov	x17, x8
0xfffffff009df0764: 311ce2f2  movk	x17, #0x10e1, lsl #48
0xfffffff009df0768: 31093fd7  blraa	x9, x17
0xfffffff009df076c: 68de40b9  ldr	w8, [x19, #0xdc]
0xfffffff009df0770: 1f110071  cmp	w8, #4
0xfffffff009df0774: 20060054  b.eq	#0xfffffff009df0838
0xfffffff009df0778: f50300aa  mov	x21, x0
0xfffffff009df077c: 40fbff34  cbz	w0, #0xfffffff009df06e4
0xfffffff009df0780: 604240f9  ldr	x0, [x19, #0x80]
0xfffffff009df0784: e00900b4  cbz	x0, #0xfffffff009df08c0
0xfffffff009df0788: 100040f9  ldr	x16, [x0]
0xfffffff009df078c: f10300aa  mov	x17, x0
0xfffffff009df0790: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009df0794: 301ac1da  autda	x16, x17
0xfffffff009df0798: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009df079c: e90310aa  mov	x9, x16
0xfffffff009df07a0: f10309aa  mov	x17, x9
0xfffffff009df07a4: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009df07a8: 11093fd7  blraa	x8, x17
0xfffffff009df07ac: 68de40b9  ldr	w8, [x19, #0xdc]
0xfffffff009df07b0: 46000014  b	#0xfffffff009df08c8
0xfffffff009df07b4: 40c5fed0  adrp	x0, #0xfffffff00769a000
0xfffffff009df07b8: 00c02d91  add	x0, x0, #0xb70
0xfffffff009df07bc: e05700a9  stp	x0, x21, [sp]
0xfffffff009df07c0: 80c5feb0  adrp	x0, #0xfffffff0076a1000
0xfffffff009df07c4: 00443b91  add	x0, x0, #0xed1
0xfffffff009df07c8: 169a9597  bl	#0xfffffff008357020
0xfffffff009df07cc: e00315aa  mov	x0, x21
0xfffffff009df07d0: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff009df07d4: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff009df07d8: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff009df07dc: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff009df07e0: ffc30191  add	sp, sp, #0x70
0xfffffff009df07e4: ff0f5fd6  retab	
0xfffffff009df07e8: e1000054  b.ne	#0xfffffff009df0804
0xfffffff009df07ec: 697e40f9  ldr	x9, [x19, #0xf8]
0xfffffff009df07f0: e80318aa  mov	x8, x24
0xfffffff009df07f4: 3f0114eb  cmp	x9, x20
0xfffffff009df07f8: 61000054  b.ne	#0xfffffff009df0804
0xfffffff009df07fc: 15008052  mov	w21, #0
0xfffffff009df0800: f3ffff17  b	#0xfffffff009df07cc
0xfffffff009df0804: 604240f9  ldr	x0, [x19, #0x80]
0xfffffff009df0808: 000300b4  cbz	x0, #0xfffffff009df0868
0xfffffff009df080c: 100040f9  ldr	x16, [x0]
0xfffffff009df0810: f10300aa  mov	x17, x0
0xfffffff009df0814: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009df0818: 301ac1da  autda	x16, x17
0xfffffff009df081c: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009df0820: e90310aa  mov	x9, x16
0xfffffff009df0824: f10309aa  mov	x17, x9
0xfffffff009df0828: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009df082c: 11093fd7  blraa	x8, x17
0xfffffff009df0830: 68de40b9  ldr	w8, [x19, #0xdc]
0xfffffff009df0834: 0f000014  b	#0xfffffff009df0870
0xfffffff009df0838: 604240f9  ldr	x0, [x19, #0x80]
0xfffffff009df083c: a00200b4  cbz	x0, #0xfffffff009df0890
