; Candidate 8052
; ADRP+ADD at VM 0xfffffff008890878 (fileoff 0x188c878): page=0x1fe959000 add_imm=0xe80

0xfffffff0088907f8: e8f303a9  stp	x8, x28, [sp, #0x38]
0xfffffff0088907fc: e91b00f9  str	x9, [sp, #0x30]
0xfffffff008890800: 084cff90  adrp	x8, #0xfffffff007210000
0xfffffff008890804: 08b92791  add	x8, x8, #0x9ee
0xfffffff008890808: a94e8052  mov	w9, #0x275
0xfffffff00889080c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008890810: e84cfff0  adrp	x8, #0xfffffff00722f000
0xfffffff008890814: 089d0e91  add	x8, x8, #0x3a7
0xfffffff008890818: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889081c: 88098052  mov	w8, #0x4c
0xfffffff008890820: e04cfff0  adrp	x0, #0xfffffff00722f000
0xfffffff008890824: 00f81091  add	x0, x0, #0x43e
0xfffffff008890828: f62300a9  stp	x22, x8, [sp]
0xfffffff00889082c: 0d9bd497  bl	#0xfffffff007db7460
0xfffffff008890830: 89000014  b	#0xfffffff008890a54
0xfffffff008890834: 5e8e0094  bl	#0xfffffff0088b41ac
0xfffffff008890838: f60300aa  mov	x22, x0
0xfffffff00889083c: 80008052  mov	w0, #4
0xfffffff008890840: 04acff97  bl	#0xfffffff00887b850
0xfffffff008890844: e80315aa  mov	x8, x21
0xfffffff008890848: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00889084c: e8830291  add	x8, sp, #0xa0
0xfffffff008890850: e81b00f9  str	x8, [sp, #0x30]
0xfffffff008890854: 084cff90  adrp	x8, #0xfffffff007210000
0xfffffff008890858: 08b92791  add	x8, x8, #0x9ee
0xfffffff00889085c: c9408052  mov	w9, #0x206
0xfffffff008890860: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008890864: e84cfff0  adrp	x8, #0xfffffff00722f000
0xfffffff008890868: 089d0e91  add	x8, x8, #0x3a7
0xfffffff00889086c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008890870: 88098052  mov	w8, #0x4c
0xfffffff008890874: f62300a9  stp	x22, x8, [sp]
0xfffffff008890878: c04affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889087c: 00003a91  add	x0, x0, #0xe80
0xfffffff008890880: c18bff90  adrp	x1, #0xfffffff007a08000
0xfffffff008890884: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008890888: 634effd0  adrp	x3, #0xfffffff00725e000
0xfffffff00889088c: 636c1d91  add	x3, x3, #0x75b
0xfffffff008890890: 02008052  mov	w2, #0
0xfffffff008890894: 278aea97  bl	#0xfffffff008333130
0xfffffff008890898: 55fdff17  b	#0xfffffff00888fdec
0xfffffff00889089c: 448e0094  bl	#0xfffffff0088b41ac
0xfffffff0088908a0: f60300aa  mov	x22, x0
0xfffffff0088908a4: 80008052  mov	w0, #4
0xfffffff0088908a8: eaabff97  bl	#0xfffffff00887b850
0xfffffff0088908ac: e80315aa  mov	x8, x21
0xfffffff0088908b0: f3a304a9  stp	x19, x8, [sp, #0x48]
0xfffffff0088908b4: e84b40f9  ldr	x8, [sp, #0x90]
0xfffffff0088908b8: e82300f9  str	x8, [sp, #0x40]
0xfffffff0088908bc: e83740f9  ldr	x8, [sp, #0x68]
0xfffffff0088908c0: e9830291  add	x9, sp, #0xa0
0xfffffff0088908c4: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff0088908c8: 084cff90  adrp	x8, #0xfffffff007210000
0xfffffff0088908cc: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088908d0: 694a8052  mov	w9, #0x253
0xfffffff0088908d4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088908d8: e84cfff0  adrp	x8, #0xfffffff00722f000
0xfffffff0088908dc: 089d0e91  add	x8, x8, #0x3a7
0xfffffff0088908e0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088908e4: 88098052  mov	w8, #0x4c
0xfffffff0088908e8: 634effd0  adrp	x3, #0xfffffff00725e000
0xfffffff0088908ec: 63482091  add	x3, x3, #0x812
0xfffffff0088908f0: f62300a9  stp	x22, x8, [sp]
0xfffffff0088908f4: c04affb0  adrp	x0, #0xfffffff0071e9000
